interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"56-97-76-00","Yes","No","more than 2000 m","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,10000,,,,,,,,,,
"37-93-28-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"03-58-95-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-23-04-89","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"51-35-95-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"32-54-58-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"45-15-07-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-16-11-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-92-27-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-78-22-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"61-90-23-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-41-14-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-24-20-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-30-97-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-39-49-91","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-93-31-47","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",,12000,,,,,,,,,,
"41-29-34-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-91-36-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-94-51-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-53-82-60","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"79-66-45-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-15-69-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-49-72-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-30-66-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-62-86-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-72-05-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-59-07-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-20-80-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-03-04-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-24-05-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-23-20-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-44-39-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-64-28-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-72-38-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-95-25-26","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-25-25-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"61-27-42-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-23-15-41","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",,5000,,,,,,,,,,
"19-28-77-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"68-18-94-35","Yes","Yes",,"Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No",,10000,,,,,,,,,,
"93-17-92-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-76-84-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"44-86-19-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"99-24-36-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-82-63-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-57-20-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
