interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"83-60-66-04","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"20-14-81-13","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,1,"Yes","No",,"No",,,,,,"No","Yes","No","Yes","No","No","No","No",,"Yes","Yes","No","No","No","No","No",
"97-46-80-41","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","No","Yes","Yes","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"65-11-27-59","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","No","No","No","Yes","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"88-74-63-20","Dirt road/ bush road","Well passable","No","No","Yes","No","No","No","No","No",,2,"Yes","No",,"No",,,,,,"No","Yes","No","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"74-15-98-92","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","Yes","No","No","No","No",,1,"Yes","No",,"No",,,,,,"Yes","No","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"53-98-64-81","Dirt road/ bush road","Almost not passable","Yes","No","Yes","No","Yes","No","Yes","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"79-94-33-31","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","Yes","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"44-47-90-17","Dirt road/ bush road","Very well passable, in both rainy and dry season","No","No","Yes","No","No","No","No","No",,15,"Yes","No",,"No",,,,,,"No","No","No","Yes","No","No","No","No",,"No","No","No","No","No","Yes","No",
"29-83-03-47","Dirt road/ bush road","Well passable","Yes","Yes","Yes","No","No","No","Yes","No",,3,"Yes","No",,"No",,,,,,"No","No","No","No","No","No","Yes","No",,,"Yes","No","No","Yes","No","No",
"50-57-96-51","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","No","Yes","Yes","Yes","No","No","No",,20,"Yes","No",,"No",,,,,,"No","No","Yes","No","No","No","No","No",,"No","No","No","No","No","Yes","No",
"55-37-25-70","Dirt road/ bush road","Well passable","Yes","Yes","Yes","No","Yes","No","Yes","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"71-34-06-10","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","No","No","No",,5,"Yes","No",,"No",,,,,,"No","No","No","No","No","No","Yes","No",,,"No","No","No","No","Yes","No",
"19-06-46-71","Tarmac road","Almost not passable","Yes","Yes","Yes","No","Yes","Yes","No","No",,8,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"38-40-25-06","Dirt road/ bush road","Well passable","No","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"01-06-26-91","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","No","No","No",,5,"Yes","Yes","No","No",,,,,,"No","Yes","Yes","No","No","No","No","No",,"No","No","No","No","No","Yes","No",
"58-64-10-38","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","Yes","No",,3,"Yes","No",,"No",,,,,,"No","No","No","Yes","Yes","No","No","No",,"Yes","Yes","No","No","No","No","No",
