interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"44-00-42-23",,,,,,,,,,,,"",,,,
"49-30-59-44","No",,,,,,,,,,,"",,1,,"No"
"08-14-33-80",,,,,,,,,,,,"",,,,
"03-68-26-31",,,,,,,,,,,,"",,,,
"76-88-86-20","No",,,,,,,,,,,"",,2,,"No"
"41-48-09-97","No",,,,,,,,,,,"",,2,,"No"
"21-76-07-53","No",,,,,,,,,,,"",,.1,,"No"
"01-41-01-54","No",,,,,,,,,,,"",,.1,,"No"
"13-11-49-85","No",,,,,,,,,,,"",,30,,"No"
"72-37-75-96","No",,,,,,,,,,,"",,4,,"No"
"71-85-96-60",,,,,,,,,,,,"",,,,
"92-03-64-77","No",,,,,,,,,,,"",,40,,"No"
"33-40-16-02",,,,,,,,,,,,"",,,,
"55-06-75-57","No",,,,,,,,,,,"",,48,,"No"
"01-05-06-43","No",,,,,,,,,,,"",,30,,"No"
"12-46-80-99",,,,,,,,,,,,"",,,,
"34-76-42-19",,,,,,,,,,,,"",,,,
"62-44-56-00","No",,,,,,,,,,,"",,1.5,,"No"
"35-05-05-79","No",,,,,,,,,,,"",,2,,"No"
"00-88-32-67",,,,,,,,,,,,"",,,,
"65-77-01-81","No",,,,,,,,,,,"",,52,,"No"
"68-46-66-56","No",,,,,,,,,,,"",,2,,"No"
"30-46-23-21",,,,,,,,,,,,"",,,,
"13-17-41-36",,,,,,,,,,,,"",,,,
"99-55-34-47","No",,,,,,,,,,,"",,2,,"No"
"82-90-83-43",,,,,,,,,,,,"",,,,
"98-51-51-03",,,,,,,,,,,,"",,,,
"10-71-84-42","No",,,,,,,,,,,"",,1,,"No"
"49-18-02-61",,,,,,,,,,,,"",,,,
"58-97-08-64","No",,,,,,,,,,,"",,1,,"No"
"61-93-54-26","No",,,,,,,,,,,"",,40,,"No"
"51-95-58-91","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,1,"No"
"32-49-75-13","No",,,,,,,,,,,"",,5,,"No"
"68-39-51-63",,,,,,,,,,,,"",,,,
"46-13-75-58","No",,,,,,,,,,,"",,10,,"No"
"40-78-00-02",,,,,,,,,,,,"",,,,
"69-63-50-52","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",5,3000,"No"
"20-96-52-92","No",,,,,,,,,,,"",,20,,"No"
"37-33-23-29","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",20,20,"No"
"55-09-60-79","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Urban market (town) in this region",10,30000,"No"
"13-88-02-80","No",,,,,,,,,,,"",,2,,"No"
"50-55-09-07",,,,,,,,,,,,"",,,,
"85-93-95-50",,,,,,,,,,,,"",,,,
"97-19-27-00","No",,,,,,,,,,,"",,1,,"No"
"60-48-30-05",,,,,,,,,,,,"",,,,
"80-01-40-08","No",,,,,,,,,,,"",,2,,"No"
"29-52-09-79","No",,,,,,,,,,,"",,35,,"No"
"07-76-06-35","No",,,,,,,,,,,"",,20,,"No"
"73-75-27-37",,,,,,,,,,,,"",,,,
"99-26-76-45",,,,,,,,,,,,"",,,,
"91-46-41-86","No",,,,,,,,,,,"",,1,,"No"
"67-86-22-06",,,,,,,,,,,,"",,,,
"98-64-51-77",,,,,,,,,,,,"",,,,
"83-59-27-80","No",,,,,,,,,,,"",,15,,"No"
"12-54-62-85",,,,,,,,,,,,"",,,,
"47-32-93-31","No",,,,,,,,,,,"",,1,,"No"
"45-06-90-36","No",,,,,,,,,,,"",,5,,"No"
"24-42-82-26","No",,,,,,,,,,,"",,20,,"No"
"22-27-70-86","No",,,,,,,,,,,"",,5,,"No"
"04-24-78-04","No",,,,,,,,,,,"",,5,,"No"
"83-44-01-42","No",,,,,,,,,,,"",,.1,,"No"
"55-32-62-10","No",,,,,,,,,,,"",,20,,"No"
"16-97-28-87","No",,,,,,,,,,,"",,2,,"No"
"79-79-53-26","No",,,,,,,,,,,"",,4,,"No"
"86-05-40-89",,,,,,,,,,,,"",,,,
"06-02-25-50",,,,,,,,,,,,"",,,,
"07-64-12-97","No",,,,,,,,,,,"",,1,,"No"
"67-73-53-75",,,,,,,,,,,,"",,,,
"96-07-74-28",,,,,,,,,,,,"",,,,
"13-42-68-56",,,,,,,,,,,,"",,,,
"78-89-03-74","No",,,,,,,,,,,"",,45,,"No"
"29-15-86-87","No",,,,,,,,,,,"",,45,,"No"
"83-15-50-69",,,,,,,,,,,,"",,,,
"96-73-61-56",,,,,,,,,,,,"",,,,
"68-46-53-43","No",,,,,,,,,,,"",,15,,"No"
"65-84-91-55",,,,,,,,,,,,"",,,,
"79-25-63-35","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",45,12000,"No"
"80-29-04-22",,,,,,,,,,,,"",,,,
"15-34-92-71",,,,,,,,,,,,"",,,,
"28-29-76-59","No",,,,,,,,,,,"",,45,,"No"
"26-01-09-21",,,,,,,,,,,,"",,,,
"29-37-06-51","No",,,,,,,,,,,"",,45,,"No"
"81-06-47-80","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",25,10000,"No"
"65-79-07-96",,,,,,,,,,,,"",,,,
"10-31-70-66","No",,,,,,,,,,,"",,5,,"No"
"32-61-55-41","No",,,,,,,,,,,"",,1,,"No"
"33-65-05-28","No",,,,,,,,,,,"",,45,,"No"
"37-31-29-27","No",,,,,,,,,,,"",,14.6,,"No"
"13-98-20-22","No",,,,,,,,,,,"",,50,,"No"
"04-80-94-39","No",,,,,,,,,,,"",,50,,"No"
"28-75-01-80","No",,,,,,,,,,,"",,14.6,,"No"
"30-19-51-31","No",,,,,,,,,,,"",,.1,,"No"
"29-29-81-12","No",,,,,,,,,,,"",,45,,"No"
"83-66-69-06",,,,,,,,,,,,"",,,,
"26-43-59-91","No",,,,,,,,,,,"",,5,,"No"
"97-96-91-38",,,,,,,,,,,,"",,,,
"27-34-90-31","No",,,,,,,,,,,"",,2,,"No"
"23-72-17-40","No",,,,,,,,,,,"",,1,,"No"
"39-58-22-39","No",,,,,,,,,,,"",,2,,"No"
"97-79-33-71","No",,,,,,,,,,,"",,5,,"No"
"69-57-31-01","No",,,,,,,,,,,"",,1,,"No"
"60-54-64-58","Yes","No","Yes","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",8,8,"No"
"89-99-48-67","No",,,,,,,,,,,"",,3,,"No"
"44-61-50-65",,,,,,,,,,,,"",,,,
"12-80-78-48","No",,,,,,,,,,,"",,2,,"No"
"28-02-97-48",,,,,,,,,,,,"",,,,
"70-19-76-68","No",,,,,,,,,,,"",,5,,"No"
