interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"88-78-79-65","No","No","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"72-36-26-24","No","No","No","No","Yes",100000,"Yes","No","No","No","No","No","No","No","No","No",,"No","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No"
"07-13-49-69","Yes","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"02-58-47-09","Yes","No","No","Yes","Yes",40000,"Yes","Yes","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"22-68-37-41","Yes","No","No","No","Yes",50000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"75-57-77-41","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"04-02-68-66","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"02-25-96-16","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"48-71-75-24","Yes","No","No","No","Yes",200000,"No","No","No","No","No","No","No","No","No","Yes",,"No","No",,,,,,,,,,,,
"81-80-02-23","No","No","No","No","Yes",200000,"Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"42-14-73-23","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"76-93-41-01","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"95-12-78-81","No","No","No","No","Yes",500000,"No","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"20-49-21-26","No","No","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"93-19-03-86","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"83-16-53-05","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"96-79-62-23","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"45-89-04-52","No","No","Yes","Yes","Yes",300000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"12-50-51-44","No","No","No","No","Yes",20000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"64-36-21-26","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"78-84-99-05","Yes","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"37-66-37-12","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"52-54-55-08","Yes","No","No","No","Yes",20000,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"32-13-89-08","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"85-25-22-09","No","No","No","Yes","Yes",10000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"72-82-24-11","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"36-18-65-12","No","No","Yes","No","Yes",50000,"No","No","No","No","No","No","No","No","No","Yes",,"Yes","No",,,,,,,,,,,,
"42-45-66-86","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"44-14-86-31","No","No","No","Yes","Yes",160000,"Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"84-19-29-35","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"39-19-67-67","Yes","Yes","No","Yes","Yes",160000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"43-82-97-85","No","No","No","Yes","Yes",50000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"91-14-48-53","Yes","Yes","No","Yes","Yes",50000,"No","No","No","No","No","No","No","No","No","Yes",,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"20-26-28-94","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"23-89-23-81","Yes","Yes","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"52-40-25-11","Yes","No","No","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"58-44-00-29","No","No","No","No","Yes",20000,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"94-81-60-01","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"00-76-76-29","No","No","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"30-24-92-73","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"23-53-41-46","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"62-55-13-64","No","No","No","No","Yes",90000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"42-85-64-91","Yes","No","No","Yes","Yes",3000000,"Yes","Yes","No","No","No","No","No","Yes","No","No",,"No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"90-50-65-07","No","No","No","No","Yes",200000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"54-70-24-21","No","No","No","Yes","Yes",44000,"No","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"38-66-21-90","Yes","No","Yes","Yes","Yes",300000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"32-53-90-85","No","Yes","No","Yes","Yes",20000,"No","No","Yes","No","No","No","No","No","No","No",,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"67-43-43-96","No","No","No","No","Yes",30000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"30-12-86-30","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"18-64-04-51","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"44-00-42-23","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"49-30-59-44","No","No","No","No","Yes",40000,"No","No","No","No","No","No","No","Yes","No","No",,"No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"08-14-33-80","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"03-68-26-31","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"76-88-86-20","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"41-48-09-97","No","Yes","No","No","Yes",30000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"21-76-07-53","No","Yes","No","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"01-41-01-54","Yes","No","Yes","Yes","Yes",260000,"Yes","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"13-11-49-85","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
"72-37-75-96","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"71-85-96-60","No","No","No","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"92-03-64-77","No","No","No","No","Yes",200000,"Yes","No","Yes","No","No","No","Yes","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"33-40-16-02","No","No","No","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
