interview__key,r_members__id,f_time__id,f_prim,f_prim_o,f_sec,f_seca
"15-76-60-42",1,"3:00 - 3:30am","Sleeping and resting","","No",
"15-76-60-42",1,"3:31 - 4:00am","Sleeping and resting","","No",
"15-76-60-42",1,"4:01 - 4:30am","Sleeping and resting","","No",
"15-76-60-42",1,"4:31 - 5:00am","Sleeping and resting","","No",
"15-76-60-42",1,"5:01 - 5:30am","Sleeping and resting","","No",
"15-76-60-42",1,"5:31 - 6:00am","Sleeping and resting","","No",
"15-76-60-42",1,"6:01 - 6:30am","Personal care","","No",
"15-76-60-42",1,"6:31 - 7:00am","Food crop farming","","No",
"15-76-60-42",1,"7:01 - 7:30am","Food crop farming","","No",
"15-76-60-42",1,"7:31 - 8:00am","Food crop farming","","No",
"15-76-60-42",1,"8:01 - 8:30am","Food crop farming","","No",
"15-76-60-42",1,"8:31 - 9:00am","Food crop farming","","No",
"15-76-60-42",1,"9:01 - 9:30am","Food crop farming","","No",
"15-76-60-42",1,"9:31 - 10:00am","Eating and drinking","","No",
"15-76-60-42",1,"10:01 -10:30am","Eating and drinking","","No",
"15-76-60-42",1,"10:31 - 11:00am","Food crop farming","","No",
"15-76-60-42",1,"11:01 - 11:30am","Food crop farming","","No",
"15-76-60-42",1,"11:31 - 12:00pm","Food crop farming","","No",
"15-76-60-42",1,"12:01 - 12:30pm","Food crop farming","","No",
"15-76-60-42",1,"12:31 - 1:00pm","Food crop farming","","No",
"15-76-60-42",1,"1:01 - 1:30pm","Eating and drinking","","No",
"15-76-60-42",1,"1:31 - 2:00pm","Food crop farming","","No",
"15-76-60-42",1,"2:01 - 2:30pm","Food crop farming","","No",
"15-76-60-42",1,"2:31 - 3:00pm","Food crop farming","","No",
"15-76-60-42",1,"3:00 - 3:30pm","Food crop farming","","No",
"15-76-60-42",1,"3:31 - 4:00pm","Food crop farming","","No",
"15-76-60-42",1,"4:01 - 4:30pm","Personal care","","No",
"15-76-60-42",1,"4:31 - 5:00pm","Sleeping and resting","","No",
"15-76-60-42",1,"5:01 - 5:30pm","Sleeping and resting","","No",
"15-76-60-42",1,"5:31 - 6:00pm","Sleeping and resting","","No",
"15-76-60-42",1,"6:01 - 6:30pm","Poultry raising (e.g. chickens, ducks, turkeys)","","No",
"15-76-60-42",1,"6:31 - 7:00pm","Poultry raising (e.g. chickens, ducks, turkeys)","","No",
"15-76-60-42",1,"7:01 - 7:30pm","Sleeping and resting","","No",
"15-76-60-42",1,"7:31 - 8:00pm","Eating and drinking","","No",
"15-76-60-42",1,"8:01 - 8:30pm","Sleeping and resting","","No",
"15-76-60-42",1,"8:31 - 9:00pm","Sleeping and resting","","No",
"15-76-60-42",1,"9:01 - 9:30pm","Sleeping and resting","","No",
"15-76-60-42",1,"9:31 - 10:00pm","Sleeping and resting","","No",
"15-76-60-42",1,"10:01 - 10:30pm","Sleeping and resting","","No",
"15-76-60-42",1,"10:31 - 11:00pm","Sleeping and resting","","No",
"15-76-60-42",1,"11:01 - 11:30pm","Sleeping and resting","","No",
"15-76-60-42",1,"11:31 - 12:00am","Sleeping and resting","","No",
"15-76-60-42",1,"12:01 - 12:30pm","Sleeping and resting","","No",
"15-76-60-42",1,"12:31 - 1:00am","Sleeping and resting","","No",
"15-76-60-42",1,"1:01 - 1:30am","Sleeping and resting","","No",
"15-76-60-42",1,"1:31 - 2:00am","Sleeping and resting","","No",
"15-76-60-42",1,"2:01 - 2:30am","Sleeping and resting","","No",
"15-76-60-42",1,"2:31 - 3:00am","Sleeping and resting","","No",
"15-76-60-42",2,"3:00 - 3:30am",,"",,
"15-76-60-42",2,"3:31 - 4:00am",,"",,
"15-76-60-42",2,"4:01 - 4:30am",,"",,
"15-76-60-42",2,"4:31 - 5:00am",,"",,
"15-76-60-42",2,"5:01 - 5:30am",,"",,
"15-76-60-42",2,"5:31 - 6:00am",,"",,
"15-76-60-42",2,"6:01 - 6:30am",,"",,
"15-76-60-42",2,"6:31 - 7:00am",,"",,
"15-76-60-42",2,"7:01 - 7:30am",,"",,
"15-76-60-42",2,"7:31 - 8:00am",,"",,
"15-76-60-42",2,"8:01 - 8:30am",,"",,
"15-76-60-42",2,"8:31 - 9:00am",,"",,
"15-76-60-42",2,"9:01 - 9:30am",,"",,
"15-76-60-42",2,"9:31 - 10:00am",,"",,
"15-76-60-42",2,"10:01 -10:30am",,"",,
"15-76-60-42",2,"10:31 - 11:00am",,"",,
"15-76-60-42",2,"11:01 - 11:30am",,"",,
"15-76-60-42",2,"11:31 - 12:00pm",,"",,
"15-76-60-42",2,"12:01 - 12:30pm",,"",,
"15-76-60-42",2,"12:31 - 1:00pm",,"",,
"15-76-60-42",2,"1:01 - 1:30pm",,"",,
"15-76-60-42",2,"1:31 - 2:00pm",,"",,
"15-76-60-42",2,"2:01 - 2:30pm",,"",,
"15-76-60-42",2,"2:31 - 3:00pm",,"",,
"15-76-60-42",2,"3:00 - 3:30pm",,"",,
"15-76-60-42",2,"3:31 - 4:00pm",,"",,
"15-76-60-42",2,"4:01 - 4:30pm",,"",,
"15-76-60-42",2,"4:31 - 5:00pm",,"",,
"15-76-60-42",2,"5:01 - 5:30pm",,"",,
"15-76-60-42",2,"5:31 - 6:00pm",,"",,
"15-76-60-42",2,"6:01 - 6:30pm",,"",,
"15-76-60-42",2,"6:31 - 7:00pm",,"",,
"15-76-60-42",2,"7:01 - 7:30pm",,"",,
"15-76-60-42",2,"7:31 - 8:00pm",,"",,
"15-76-60-42",2,"8:01 - 8:30pm",,"",,
"15-76-60-42",2,"8:31 - 9:00pm",,"",,
"15-76-60-42",2,"9:01 - 9:30pm",,"",,
"15-76-60-42",2,"9:31 - 10:00pm",,"",,
"15-76-60-42",2,"10:01 - 10:30pm",,"",,
"15-76-60-42",2,"10:31 - 11:00pm",,"",,
"15-76-60-42",2,"11:01 - 11:30pm",,"",,
"15-76-60-42",2,"11:31 - 12:00am",,"",,
"15-76-60-42",2,"12:01 - 12:30pm",,"",,
"15-76-60-42",2,"12:31 - 1:00am",,"",,
"15-76-60-42",2,"1:01 - 1:30am",,"",,
"15-76-60-42",2,"1:31 - 2:00am",,"",,
"15-76-60-42",2,"2:01 - 2:30am",,"",,
"15-76-60-42",2,"2:31 - 3:00am",,"",,
"31-41-38-46",1,"3:00 - 3:30am",,"",,
"31-41-38-46",1,"3:31 - 4:00am",,"",,
"31-41-38-46",1,"4:01 - 4:30am",,"",,
"31-41-38-46",1,"4:31 - 5:00am",,"",,
"31-41-38-46",1,"5:01 - 5:30am",,"",,
"31-41-38-46",1,"5:31 - 6:00am",,"",,
"31-41-38-46",1,"6:01 - 6:30am",,"",,
"31-41-38-46",1,"6:31 - 7:00am",,"",,
"31-41-38-46",1,"7:01 - 7:30am",,"",,
"31-41-38-46",1,"7:31 - 8:00am",,"",,
"31-41-38-46",1,"8:01 - 8:30am",,"",,
"31-41-38-46",1,"8:31 - 9:00am",,"",,
"31-41-38-46",1,"9:01 - 9:30am",,"",,
"31-41-38-46",1,"9:31 - 10:00am",,"",,
"31-41-38-46",1,"10:01 -10:30am",,"",,
"31-41-38-46",1,"10:31 - 11:00am",,"",,
"31-41-38-46",1,"11:01 - 11:30am",,"",,
"31-41-38-46",1,"11:31 - 12:00pm",,"",,
"31-41-38-46",1,"12:01 - 12:30pm",,"",,
"31-41-38-46",1,"12:31 - 1:00pm",,"",,
"31-41-38-46",1,"1:01 - 1:30pm",,"",,
