interview__key,r_food_ind__id,numdays_7d,food_source_7d__1,food_source_7d__2,food_source_7d__3,food_source_7d__4,food_source_7d__5,food_source_7d__6,food_source_7d__7,food_source_7d__8,food_source_7d__9,food_source_7d__96,foos_source_oth
"86-17-23-69","Oil/fats- oil, fat, butter, ghee, etc",3,"No","No","No","No","Yes","No","No","No","No","No",""
"86-17-23-69","Miscellaneous- tea, coffee, beverages, condiments, spices",4,"Yes","No","No","No","No","No","No","No","No","No",""
"35-55-11-33","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"Yes","No","No","No","No","No","No","No","No","No",""
"35-55-11-33","Roots and tubers- potato, sweet potato, cassava, arrow roots, cooking banana",2,"No","No","No","No","Yes","No","No","No","No","No",""
"35-55-11-33","Vegetables- spinach, pumpkin, cabbage, tomato, onion",7,"No","No","No","No","Yes","No","No","No","No","No",""
"35-55-11-33","Fruits- orange, mango, guava, rice paw paw/papaya, pineapple, etc",2,"No","No","No","No","Yes","No","No","No","No","No",""
"35-55-11-33","Meat, poultry, organ meat- goat, sheep, cow, chicken, liver, kidney, intestines",1,"No","No","No","No","Yes","No","No","No","No","No",""
"35-55-11-33","Pulses, legumes, nuts, seeds",2,"Yes","No","No","No","No","No","No","No","No","No",""
"35-55-11-33","Oil/fats- oil, fat, butter, ghee, etc",3,"No","No","No","No","Yes","No","No","No","No","No",""
"74-41-75-97","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"74-41-75-97","Vegetables- spinach, pumpkin, cabbage, tomato, onion",7,"No","No","No","No","Yes","No","No","No","No","No",""
"74-41-75-97","Fish and seafood (dried or fresh)- sardines, dagaa/omena",5,"No","No","No","No","Yes","No","No","No","No","No",""
"74-41-75-97","Oil/fats- oil, fat, butter, ghee, etc",5,"No","No","No","No","Yes","No","No","No","No","No",""
"75-64-48-24","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"75-64-48-24","Roots and tubers- potato, sweet potato, cassava, arrow roots, cooking banana",2,"No","No","No","No","Yes","No","No","No","No","No",""
"75-64-48-24","Vegetables- spinach, pumpkin, cabbage, tomato, onion",7,"Yes","No","No","No","Yes","No","No","No","No","No",""
"75-64-48-24","Fruits- orange, mango, guava, rice paw paw/papaya, pineapple, etc",3,"No","No","No","No","Yes","No","No","No","No","No",""
"75-64-48-24","Fish and seafood (dried or fresh)- sardines, dagaa/omena",2,"No","No","No","No","Yes","No","No","No","No","No",""
"75-64-48-24","Pulses, legumes, nuts, seeds",7,"Yes","No","No","No","No","No","No","No","No","No",""
"75-64-48-24","Oil/fats- oil, fat, butter, ghee, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"75-64-48-24","Sugar and sweets- sugar, honey, sweets, desserts",3,"No","No","No","No","Yes","No","No","No","No","No",""
"46-90-31-29","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"Yes","No","No","No","No","No","No","No","No","No",""
"46-90-31-29","Vegetables- spinach, pumpkin, cabbage, tomato, onion",7,"Yes","No","No","No","No","No","No","No","No","No",""
"32-45-37-94","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"32-45-37-94","Vegetables- spinach, pumpkin, cabbage, tomato, onion",2,"No","No","No","No","Yes","No","No","No","No","No",""
"32-45-37-94","Pulses, legumes, nuts, seeds",2,"No","No","No","No","No","No","No","Yes","No","No",""
"32-45-37-94","Sugar and sweets- sugar, honey, sweets, desserts",7,"No","No","No","No","Yes","No","No","No","No","No",""
"32-45-37-94","Miscellaneous- tea, coffee, beverages, condiments, spices",7,"No","No","No","No","Yes","No","No","No","No","No",""
"29-06-99-56","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"Yes","No","No","No","No","No","No","No","No","No",""
"29-06-99-56","Vegetables- spinach, pumpkin, cabbage, tomato, onion",7,"No","No","No","No","Yes","No","No","No","No","No",""
"29-06-99-56","Oil/fats- oil, fat, butter, ghee, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"86-92-94-72","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"Yes","No","No","No","No","No","No","No","No","No",""
"86-92-94-72","Roots and tubers- potato, sweet potato, cassava, arrow roots, cooking banana",3,"No","No","No","No","No","No","No","Yes","No","No",""
"86-92-94-72","Vegetables- spinach, pumpkin, cabbage, tomato, onion",3,"No","No","Yes","No","No","No","No","No","No","No",""
"86-92-94-72","Fruits- orange, mango, guava, rice paw paw/papaya, pineapple, etc",7,"No","No","Yes","No","No","No","No","No","No","No",""
"86-92-94-72","Pulses, legumes, nuts, seeds",2,"Yes","No","No","No","No","No","No","No","No","No",""
"86-92-94-72","Sugar and sweets- sugar, honey, sweets, desserts",2,"No","No","No","No","Yes","No","No","No","No","No",""
