interview__key,ctry,region,dist,ward,village,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"00-01-36-74","Tanzania","Iringa","Iringa","Kiwere","MGELA","Luganga","20003748","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"07-23-47-52","Tanzania","Iringa","Iringa","Itunundu","Kimande","Mwatenga","20001155","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"07-42-94-81","Tanzania","Iringa","Iringa","Itunundu","Mbugani","Uwanja wa Ndege 'B'","20001244","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"23-53-17-58","Tanzania","Iringa","Iringa","Itunundu","mbugani","Uwanja wa Ndege 'B'","20001243","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-44-48-22","Tanzania","Iringa","Iringa","Itunundu","Mbugani","Uwanja wa Ndege 'B'","20001246","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"66-23-65-75","Tanzania","Iringa","Kilolo","Boma la Ng'ombe","ukumbi","Ibumila","20004543","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"94-52-36-12","Tanzania","Iringa","Iringa","Itunundu","Kimande","Mwatenga","20001147","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"34-33-60-75","Tanzania","Iringa","Iringa","Mlenge","mbuyuni","Mbuyuni","20003949","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"94-14-40-52","Tanzania","Iringa","Iringa","Mlenge","mbuyuni","Mbuyuni","20003941","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"85-43-64-12","Tanzania","Iringa","Iringa","Nyang'oro","Ikengeza","Mseke 'A'","20004346","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"48-73-27-78","Tanzania","Iringa","Iringa","Nyang'oro","ikengeza","Mseke 'A'","20004349","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"95-30-04-02","Tanzania","Iringa","Iringa","Itunundu","mbugani","Uwanja wa Ndege 'B'","20001254","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"92-70-85-41","Tanzania","Iringa","Iringa","Mlenge","Kinyika","Mbuyuni","20003953","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"48-49-97-86","Tanzania","Iringa","Iringa","Wasa","ihomasa","Vikula","20003448","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"84-79-52-42","Tanzania","Iringa","Iringa","Itunundu","Mbugani","Uwanja wa Ndege 'B'","20001250","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"49-71-84-27","Tanzania","Iringa","Iringa","Wasa","ihomasa","Vikula","20003455","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"62-50-68-38","Tanzania","Iringa","Iringa","Maguliwa","Mivinjeni","Mivinjeni","20002453","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"27-08-48-72","Tanzania","Iringa","Iringa","Itunundu","Kimande","Mwatenga","20001144","Yes",,,"",,"No",1,"Representative of the head","Granddaughter","Yes"
"77-27-65-41","Tanzania","Iringa","Iringa","Wasa","Ulata","Mwefu & Nganawasi","20003346","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"70-31-22-22","Tanzania","Iringa","Iringa","Wasa","ihomasa","Vikula","20003445","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"94-42-67-72","Tanzania","Iringa","Iringa","Wasa","mahanzi","Mahanzi & Kibulilo","20003547","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"44-03-12-81","Tanzania","Iringa","Iringa","Maguliwa","Ndiwili","Mivinjeni","20002444","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"02-54-15-71","Tanzania","Iringa","Iringa","Wasa","mahanzi","Mahanzi & Kibulilo","20003548","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"62-99-04-33","Tanzania","Iringa","Iringa","Wasa","mahanzi","Mahanzi & Kibulilo","20003545","No","Yes","Household moved to another village/town/district","","Yes","Yes",,,,
"42-85-59-02","Tanzania","Iringa","Iringa","Wasa","Ulata","Mwefu & Nganawasi","20003348","No","Yes","Other (Specify)","Household  died no any member found","Yes","Yes",,,,
"02-53-80-77","Tanzania","Iringa","Iringa","Kiwere","Mgera","Luganga","20003744","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"50-80-96-28","Tanzania","Iringa","Iringa","Itunundu","Mbugani","Uwanja wa Ndege 'B'","20001253","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"11-91-04-75","Tanzania","Iringa","Iringa","Wasa","ulata","Mwefu & Nganawasi","20003343","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"25-18-28-61","Tanzania","Iringa","Iringa","Wasa","ihomasa","Vikula","20003454","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"59-58-64-54","Tanzania","Iringa","Iringa","Wasa","ihomasa","Vikula","20003450","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"68-47-48-14","Tanzania","Iringa","Iringa","Mlenge","kinyika","Mbuyuni","20003945","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"64-84-94-47","Tanzania","Iringa","Iringa","Wasa","ihomasa","Vikula","20003453","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"47-86-51-93","Tanzania","Iringa","Iringa","Wasa","mahanzi","Mahanzi & Kibulilo","20003549","No","Yes","Household moved to another village/town/district","","Yes","Yes",,,,
"89-64-71-91","Tanzania","Iringa","Iringa","Lumuli","lumuli","Kibalali","20001950","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"32-24-09-18","Tanzania","Iringa","Iringa","Kiwere","mgera","Luganga","20003746","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"54-13-98-82","Tanzania","Iringa","Iringa","Itunundu","Kimande","Mwatenga","20001150","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"21-11-21-29","Tanzania","Iringa","Iringa","Lumuli","Kibalali","Kibalali","20001944","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"81-55-77-74","Tanzania","Iringa","Iringa","Wasa","MAHANZI","Mahanzi & Kibulilo","20003541","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"23-00-40-40","Tanzania","Iringa","Iringa","Kiwere","mgera","Luganga","20003741","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"17-59-86-59","Tanzania","Iringa","Iringa","Wasa","Ihomasa","Vikula","20003444","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"89-73-28-02","Tanzania","Iringa","Iringa","Wasa","Ihomasa","Vikula","20003451","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"14-55-50-79","Tanzania","Iringa","Iringa","Nyang'oro","ikengeza","Mseke 'A'","20004353","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"60-36-21-40","Tanzania","Iringa","Iringa","Wasa","Mahanzi","Mahanzi & Kibulilo","20003544","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"57-25-85-63","Tanzania","Iringa","Iringa","Wasa","ihomasa","Vikula","20003452","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"80-36-08-51","Tanzania","Iringa","Iringa","Wasa","ihomasa","Vikula","20003446","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"73-98-72-78","Tanzania","Iringa","Iringa","Kiwere","mgera","Luganga","20003750","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"48-58-14-95","Tanzania","Iringa","Iringa","Mlenge","KINYIKA","Mbuyuni","20003950","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"08-00-46-02","Tanzania","Iringa","Iringa","Maguliwa","Mivinjeni","Mivinjeni","20002449","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"45-96-62-88","Tanzania","Iringa","Iringa","Wasa","ulata","Mwefu & Nganawasi","20003345","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"58-44-41-63","Tanzania","Iringa","Iringa","Maguliwa","Ndiwili","Mivinjeni","20002452","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"36-02-91-03","Tanzania","Iringa","Iringa","Mlenge","mbuyuni","Mbuyuni","20003954","Yes",,,"",,"No",1,"Representative of the head","Mother","Yes"
"29-24-40-33","Tanzania","Iringa","Iringa","Kiwere","Mgera","Luganga","20003743","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"64-42-73-18","Tanzania","Iringa","Iringa","Kiwere","Mgera","Luganga","20003753","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"56-97-76-00","Tanzania","Iringa","Iringa","Wasa","ihomasa","Vikula","20003449","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"37-93-28-73","Tanzania","Iringa","Iringa","Nyang'oro","Ikengeza","Mseke 'A'","20004342","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"03-58-95-42","Tanzania","Iringa","Iringa","Wasa","Ulata","Mwefu & Nganawasi","20003344","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"15-23-04-89","Tanzania","Iringa","Iringa","Lumuli","Kibalali","Kibalali","20001954","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"51-35-95-32","Tanzania","Iringa","Iringa","Mlenge","kinyika","Mbuyuni","20003943","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"32-54-58-03","Tanzania","Iringa","Iringa","Kiwere","MGERA","Luganga","20003742","Yes",,,"",,"No",1,"Head of the household",,"Yes"
