interview__key,buyers__1,buyers__2,buyers__3,buyers__4,buyers__5,buyers__6,buyers__7,buyers__96,sl_oth_1,cp03__1,cp03__2,cp03__3,cp03__4,cp03__5,cp03__6,cp03__7,cp03__8,cp03__9,cp03__10,cp03__11,cp03__12,cp02__1,cp02__2,cp02__3,cp02__96,cp0_other,markt_output_dist,markt_input_dist,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3
"39-46-43-34",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","she did not sell any of her crop",0,0,"No","","yes","No","Yes","No","No","Yes","No","No"
"83-88-85-49",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","buyers comes to home stead",30,30,"No","","no",,,,,,,
"86-33-34-77",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","buyers came to homestead",6,7,"No","","yes","No","Yes","No","No","Yes","No","No"
"85-40-54-06",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","buyers came at homestead",7,7,"No","","yes","No","Yes","No","No","Yes","No","No"
"99-20-43-65",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No crop was sold",11,11,"No","","no",,,,,,,
"84-47-44-08",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","",6,6,"No","","yes","No","Yes","No","No","Yes","No","No"
"95-71-45-18",1,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","",10,1,"No","","no",,,,,,,
"43-23-29-59",1,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No","",10,10,"No","","no",,,,,,,
"65-07-52-31",1,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","",10,10,"No","","yes","No","Yes","No","No","Yes","No","No"
"24-72-94-40",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","I did not sale the crops because the harvest was so little, we used it as food.",10,10,"No","","no",,,,,,,
"27-52-71-52",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","",12,12,"No","","no",,,,,,,
"21-67-72-81",1,1,0,0,0,0,0,0,"","Yes","No","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","",7,7,"No","","yes","No","Yes","No","No","Yes","No","No"
"40-08-15-69",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"40-09-03-46",1,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","Yes","No","No","No","",5,5,"No","","no",,,,,,,
"88-78-79-65",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","I didn't cultivate any crop",0,0,"No","","no",,,,,,,
"72-36-26-24",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Maize was used for consumption, it was not sold.",5,10,"No","","no",,,,,,,
"07-13-49-69",1,1,0,0,0,0,0,0,"","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","",1,1,"No","","yes","No","Yes","No","No","Yes","No","No"
"02-58-47-09",0,1,0,0,0,0,0,0,"","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","No","",15,15,"No","","no",,,,,,,
"22-68-37-41",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","DIDNT SELL",9,9,"No","","no",,,,,,,
"75-57-77-41",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Didint sell",5,5,"No","","no",,,,,,,
"04-02-68-66",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","",50,40,"No","","yes","No","Yes","No","No","Yes","No","No"
"02-25-96-16",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","",0,0,"No","","no",,,,,,,
"48-71-75-24",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","",30,15,"No","","no",,,,,,,
"81-80-02-23",1,0,0,0,0,0,0,0,"","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","",30,.5,"No","","no",,,,,,,
"42-14-73-23",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes","No","No","",50,50,"No","","no",,,,,,,
"76-93-41-01",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","he doesn't sell",50,20,"No","","no",,,,,,,
"95-12-78-81",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","",30,15,"No","","no",,,,,,,
"20-49-21-26",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","",9,9,"No","","no",,,,,,,
