interview__key,buyers__1,buyers__2,buyers__3,buyers__4,buyers__5,buyers__6,buyers__7,buyers__96,sl_oth_1,cp03__1,cp03__2,cp03__3,cp03__4,cp03__5,cp03__6,cp03__7,cp03__8,cp03__9,cp03__10,cp03__11,cp03__12,cp02__1,cp02__2,cp02__3,cp02__96,cp0_other,markt_output_dist,markt_input_dist,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3
"91-46-41-86",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"67-86-22-06",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","did not transport any",45,45,"No","","no",,,,,,,
"98-64-51-77",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","",65,60,"No","","no",,,,,,,
"83-59-27-80",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","never transporting",15,15,"No","","no",,,,,,,
"12-54-62-85",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","",20,7,"No","","no",,,,,,,
"47-32-93-31",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"45-06-90-36",0,1,0,0,0,0,0,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","",5,5,"No","","no",,,,,,,
"24-42-82-26",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","",20,20,"No","","no",,,,,,,
"22-27-70-86",1,0,0,0,0,0,0,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","",7,7,"No","","no",,,,,,,
"04-24-78-04",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","",5,5,"No","","no",,,,,,,
"83-44-01-42",0,1,0,0,0,0,0,0,"","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","",30,9,"No","","yes","Yes","Yes","No","No","No","No","Yes"
"55-32-62-10",0,1,0,0,0,0,0,0,"","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",65,65,"No","","yes","Yes","Yes","Yes","No","No","No","Yes"
"16-97-28-87",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","",2,2,"No","","no",,,,,,,
"79-79-53-26",0,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","",4,4,"No","","no",,,,,,,
"86-05-40-89",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","",20,20,"No","","no",,,,,,,
"06-02-25-50",1,0,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","",65,65,"No","","no",,,,,,,
"07-64-12-97",1,0,0,0,0,0,0,0,"","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"67-73-53-75",0,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","",45,45,"No","","no",,,,,,,
"96-07-74-28",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",50,2,"No","","yes","Yes","Yes","No","No","No","No","Yes"
"13-42-68-56",1,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","",25,25,"No","","yes","No","Yes","No","No","Yes","No","No"
"78-89-03-74",0,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","",45,45,"No","","no",,,,,,,
"29-15-86-87",1,0,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","",45,45,"No","","yes","No","Yes","No","No","Yes","No","No"
"83-15-50-69",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","no produce sold",25,.25,"No","","no",,,,,,,
"96-73-61-56",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","",30,30,"No","","yes","No","Yes","No","No","Yes","No","No"
"68-46-53-43",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","not transported",15,15,"No","","no",,,,,,,
"65-84-91-55",0,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","",45,45,"No","","no",,,,,,,
"79-25-63-35",0,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","",45,45,"No","","yes","No","Yes","No","No","Yes","No","Yes"
"80-29-04-22",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","",8,8,"No","","no",,,,,,,
"15-34-92-71",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","",0,0,"No","","no",,,,,,,
"28-29-76-59",0,1,0,0,0,0,0,0,"","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","",45,45,"No","","yes","No","Yes","No","No","Yes","No","No"
"26-01-09-21",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","",30,30,"No","","no",,,,,,,
"29-37-06-51",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","did not transport any",45,45,"No","","yes","No","Yes","No","No","Yes","No","No"
"81-06-47-80",1,0,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","",25,25,"No","","yes","No","Yes","No","No","Yes","No","No"
"65-79-07-96",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","",50,5,"No","","no",,,,,,,
"10-31-70-66",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","",5,14,"No","","no",,,,,,,
"32-61-55-41",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none of the above  they just consume all of it",0,0,"No","","no",,,,,,,
"33-65-05-28",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","",45,45,"No","","yes","No","Yes","No","No","Yes","No","No"
"37-31-29-27",0,0,0,0,0,0,1,0,"","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","none",14.6,14.6,"No","","no",,,,,,,
"13-98-20-22",0,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","",50,2,"No","","no",,,,,,,
"04-80-94-39",1,0,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","",50,3,"No","","no",,,,,,,
"28-75-01-80",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","none",4,14.6,"No","","no",,,,,,,
"30-19-51-31",0,1,0,0,0,0,0,0,"","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","",12,12,"No","","yes","Yes","Yes","No","No","No","No","Yes"
"29-29-81-12",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","NO SOLD PRODUCT",45,45,"No","","no",,,,,,,
"83-66-69-06",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","",0,0,"No","","no",,,,,,,
"26-43-59-91",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","",8,8,"No","","no",,,,,,,
"97-96-91-38",1,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","",5,5,"No","","no",,,,,,,
"27-34-90-31",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","",7,7,"No","","yes","No","Yes","No","No","Yes","No","No"
"23-72-17-40",1,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","",8,8,"No","","yes","No","Yes","No","No","Yes","No","No"
"39-58-22-39",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","",8,8,"No","","no",,,,,,,
"97-79-33-71",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","",8,8,"No","","no",,,,,,,
"69-57-31-01",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","we didn't sell our crops",5,5,"No","","no",,,,,,,
"60-54-64-58",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","has not yet sell",8,8,"No","","yes","No","Yes","No","No","Yes","No","No"
"89-99-48-67",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",3,3,"No","","no",,,,,,,
"44-61-50-65",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","",3,3,"No","","yes","No","Yes","No","No","Yes","No","No"
"12-80-78-48",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No","",2,2,"No","","yes","No","Yes","No","No","Yes","No","No"
"28-02-97-48",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","I didn't sell any crop",6,6,"No","","no",,,,,,,
"70-19-76-68",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","",25,25,"No","","no",,,,,,,
"46-78-87-50",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","",7,1,"No","","yes","No","Yes","No","No","Yes","No","No"
"18-43-40-98",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","",15,10,"No","","yes","No","Yes","No","No","Yes","No","No"
"50-39-55-52",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",40,40,"No","","no",,,,,,,
"82-64-50-66",1,0,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes","No","Yes","No","",30,30,"No","","yes","No","Yes","No","No","Yes","No","No"
"46-02-32-25",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","came to homestead",2,2,"No","","yes","No","Yes","No","No","Yes","No","No"
"51-99-40-78",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","",1,7,"No","","no",,,,,,,
"45-83-32-93",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","",10,5,"No","","yes","No","Yes","No","No","Yes","No","No"
"33-22-63-71",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","",6,6,"No","","yes","No","Yes","No","No","Yes","No","No"
"95-96-92-75",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","came to home",1,1,"No","","yes","No","Yes","No","No","Yes","No","No"
"19-37-18-76",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",1,1,"No","","no",,,,,,,
"74-28-59-17",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","not transported",25,25,"No","","no",,,,,,,
"48-48-94-57",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","",2.5,2.5,"No","","yes","No","Yes","No","No","Yes","No","No"
"03-43-60-42",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","",5,5,"No","","yes","No","Yes","No","No","Yes","No","No"
"58-75-54-61",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","",15,15,"No","","yes","No","Yes","No","No","Yes","No","No"
"49-89-37-09",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","no produce sold",15,1,"No","","yes","No","Yes","No","No","Yes","No","No"
"76-49-10-53",1,0,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","",100,100,"No","","no",,,,,,,
"76-59-40-83",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","",2,100,"No","","no",,,,,,,
"32-82-77-77",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",1,1,"No","","no",,,,,,,
"83-91-87-26",0,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","",4,4,"No","","no",,,,,,,
"51-80-93-49",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","",5,5,"No","","no",,,,,,,
"29-06-51-62",0,0,0,0,0,0,1,0,"","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","not transported",52,52,"No","","no",,,,,,,
"47-99-10-89",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","",65,65,"No","","no",,,,,,,
"81-41-75-01",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none of the above",1,1,"No","","no",,,,,,,
"76-68-21-05",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","did not transport any",2,2,"No","","yes","No","Yes","No","No","Yes","No","No"
"47-73-43-68",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",1,1,"No","","no",,,,,,,
"51-60-71-39",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","",15,15,"No","","yes","No","Yes","No","No","Yes","No","No"
"10-22-07-48",0,0,0,0,0,0,1,0,"","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","doesn't sell any",10,52,"No","","no",,,,,,,
"36-41-17-07",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","",25,2,"No","","yes","No","Yes","No","No","Yes","No","No"
"52-56-02-56",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",30,30,"No","","no",,,,,,,
"32-96-32-91",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","No","",6,6,"No","","no",,,,,,,
"54-77-99-69",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","nothing was cultivated",30,30,"No","","no",,,,,,,
"10-69-04-21",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","not transported",3,52,"No","","no",,,,,,,
"25-34-66-08",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","",1.5,1.5,"No","","no",,,,,,,
"29-70-97-81",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","",2,2,"No","","yes","No","Yes","No","No","Yes","No","No"
"16-38-85-69",0,1,0,0,0,0,0,0,"","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"34-85-34-32",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","nothing was transported",1,1,"No","","no",,,,,,,
"87-75-27-62",1,0,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","",50,3,"No","","yes","No","Yes","No","No","Yes","No","No"
"03-56-68-20",1,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","",102,102,"No","","no",,,,,,,
"96-99-31-77",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","came at home",10,10,"No","","no",,,,,,,
"43-76-23-18",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","",60,5,"No","","no",,,,,,,
"47-55-12-39",0,1,0,0,0,0,0,0,"","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","",1,50,"No","","yes","No","Yes","No","No","Yes","No","No"
"26-14-45-15",1,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","",80,2,"No","","yes","No","Yes","No","No","Yes","No","No"
"92-21-19-80",1,0,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","",1,1,"No","","no",,,,,,,
"69-22-78-98",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","nothing was transported",7,7,"No","","no",,,,,,,
"72-81-88-52",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","",18,18,"No","","yes","No","Yes","No","No","Yes","No","No"
"99-60-35-75",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","",0,30,"No","","yes","Yes","Yes","No","No","Yes","No","Yes"
"22-09-50-57",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","",80,80,"No","","no",,,,,,,
"88-99-86-73",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","",11,.5,"No","","yes","Yes","Yes","No","No","No","No","Yes"
"71-42-32-14",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","",24,1,"No","","no",,,,,,,
"30-04-61-14",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","did not transport any",45,45,"No","","no",,,,,,,
"67-60-72-31",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",1,1,"No","","no",,,,,,,
"32-10-01-18",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","",10,5,"No","","no",,,,,,,
"22-48-15-22",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","",50,50,"No","","no",,,,,,,
"06-04-90-02",1,0,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","",1,1,"No","","no",,,,,,,
"89-93-26-33",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","",30,30,"No","","no",,,,,,,
"16-51-24-24",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","",75,75,"No","","no",,,,,,,
"85-00-63-86",1,0,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"24-74-06-95",0,1,0,0,0,0,0,0,"","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"76-24-30-21",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","No","",30,30,"No","","yes","No","Yes","No","No","Yes","No","No"
"56-71-52-33",1,0,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","",2,2,"No","","no",,,,,,,
"27-56-82-36",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","",45,5,"No","","no",,,,,,,
"98-24-74-63",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",25,25,"No","","no",,,,,,,
"33-63-66-85",0,1,0,0,0,0,0,0,"","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","",33,33,"No","","no",,,,,,,
"36-81-79-37",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",1,1,"No","","no",,,,,,,
"98-23-40-44",0,1,0,0,0,0,0,0,"","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","came at homestead",3,1,"No","","no",,,,,,,
"37-22-37-99",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","",50,5,"No","","no",,,,,,,
"00-67-21-61",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",12,12,"No","","no",,,,,,,
"51-87-88-69",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","",22,22,"No","","no",,,,,,,
"00-01-36-74",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","",5,5,"No","","no",,,,,,,
"07-23-47-52",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"07-42-94-81",1,0,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","",70,70,"No","","no",,,,,,,
"23-53-17-58",0,1,0,0,0,0,0,0,"","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","",1,76,"No","","no",,,,,,,
"36-44-48-22",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","",55,55,"No","","no",,,,,,,
"66-23-65-75",1,0,0,0,0,0,0,0,"","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","came to homestead",50,1,"No","","yes","No","Yes","No","No","Yes","No","No"
"94-52-36-12",0,1,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","",5,8,"No","","no",,,,,,,
"34-33-60-75",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",3,50,"No","","no",,,,,,,
"94-14-40-52",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",4,2,"No","","no",,,,,,,
"85-43-64-12",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",50,2,"No","","no",,,,,,,
"48-73-27-78",0,0,0,0,0,0,1,0,"","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","",1,30,"No","","no",,,,,,,
"95-30-04-02",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",3,3,"No","","no",,,,,,,
"92-70-85-41",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","",75,75,"No","","no",,,,,,,
"48-49-97-86",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",70,70,"No","","no",,,,,,,
"84-79-52-42",1,0,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"49-71-84-27",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","No","",120,120,"No","","yes","No","Yes","No","No","No","No","Yes"
"62-50-68-38",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"27-08-48-72",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",12,5,"No","","no",,,,,,,
"77-27-65-41",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","",102,15,"No","","no",,,,,,,
"70-31-22-22",0,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","",120,120,"No","","no",,,,,,,
"94-42-67-72",1,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes","No","No","No","",30,30,"No","","no",,,,,,,
"44-03-12-81",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none of the above",.5,.5,"No","","no",,,,,,,
"02-54-15-71",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","Yes","No","No","",35,35,"No","","no",,,,,,,
"62-99-04-33",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",45,45,"No","","yes","No","Yes","No","No","Yes","No","No"
"42-85-59-02",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","",102,102,"No","","no",,,,,,,
"02-53-80-77",0,1,0,0,0,0,0,0,"","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",12,12,"No","","yes","No","Yes","No","No","Yes","No","No"
"50-80-96-28",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",65,65,"No","","no",,,,,,,
"11-91-04-75",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",.1,9,"No","","no",,,,,,,
"25-18-28-61",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","did not transport any",120,120,"No","","yes","No","Yes","No","No","Yes","No","No"
"59-58-64-54",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","did not transport to buyers",120,120,"No","","no",,,,,,,
"68-47-48-14",0,1,0,0,0,0,0,0,"","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","",5,.5,"No","","no",,,,,,,
"64-84-94-47",1,0,0,0,0,0,0,0,"","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","",85,85,"No","","yes","No","Yes","No","No","Yes","No","No"
