interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,who_other_income__2,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"71-85-96-60","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"62-44-56-00","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,3,2,0,0,0,""
"00-88-32-67","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"13-17-41-36","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",40000,"Lump sum (single payment)",5,.a,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"13-17-41-36","Rental income, residential property (apartment, house)",120000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,2,1,0,0,0,0,0,""
"99-55-34-47","Savings, interest or other investment income",36000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",1,0,0,0,0,0,0,0,""
"10-71-84-42","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",38000,"Every three months",2,.a,.a,"Healthcare benefits","","Both national and local governments","","Cash","",0,0,0,1,0,0,0,0,""
"49-18-02-61","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"58-97-08-64","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",15000,"Every three months",2,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"61-93-54-26","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",150000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"51-95-58-91","Savings, interest or other investment income",720000,"Monthly",1,2,.a,,"",,"",,"",1,2,3,5,4,0,0,0,""
"68-39-51-63","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",24000,"Every three months",1,.a,.a,"Older persons cash transfer","","Both national and local governments","","Cash","",0,1,0,0,0,0,0,0,""
"71-91-68-16","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",3,.a,.a,,"",,"",,"",0,0,0,0,1,0,0,0,""
"46-13-75-58","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",150000,"Lump sum (single payment)",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,2,"agri inputs"
"69-63-50-52","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"37-33-23-29","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200000,"Monthly",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"37-33-23-29","Savings, interest or other investment income",100000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"agricultural input"
"13-88-02-80","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",10000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
