interview__key,r_buyers__id,sl_amt
"13-88-02-80","Direct buyers /open-air market","less than 20%"
"85-93-95-50","Direct buyers /open-air market","less than 20%"
"85-93-95-50","Brokers/ middleman","More than 80%"
"97-19-27-00","Direct buyers /open-air market","61-80%"
"29-52-09-79","Brokers/ middleman","less than 20%"
"07-76-06-35","Brokers/ middleman","41-60%"
"99-26-76-45","Brokers/ middleman","More than 80%"
"91-46-41-86","Direct buyers /open-air market","21-40%"
"98-64-51-77","Brokers/ middleman","More than 80%"
"47-32-93-31","Direct buyers /open-air market","61-80%"
"45-06-90-36","Brokers/ middleman","less than 20%"
"22-27-70-86","Direct buyers /open-air market","less than 20%"
"04-24-78-04","Direct buyers /open-air market","less than 20%"
"83-44-01-42","Brokers/ middleman","21-40%"
"55-32-62-10","Brokers/ middleman","61-80%"
"16-97-28-87","Direct buyers /open-air market","less than 20%"
"79-79-53-26","Brokers/ middleman","less than 20%"
"86-05-40-89","Direct buyers /open-air market","less than 20%"
"06-02-25-50","Direct buyers /open-air market","More than 80%"
"07-64-12-97","Direct buyers /open-air market","21-40%"
"67-73-53-75","Brokers/ middleman","less than 20%"
"96-07-74-28","Brokers/ middleman","More than 80%"
"13-42-68-56","Direct buyers /open-air market","less than 20%"
"13-42-68-56","Brokers/ middleman","More than 80%"
"78-89-03-74","Brokers/ middleman","less than 20%"
"29-15-86-87","Direct buyers /open-air market","41-60%"
"65-84-91-55","Brokers/ middleman","less than 20%"
"79-25-63-35","Brokers/ middleman","41-60%"
"80-29-04-22","Direct buyers /open-air market","less than 20%"
"28-29-76-59","Brokers/ middleman","41-60%"
"81-06-47-80","Direct buyers /open-air market","More than 80%"
"65-79-07-96","Direct buyers /open-air market","More than 80%"
"10-31-70-66","Brokers/ middleman","More than 80%"
"13-98-20-22","Brokers/ middleman","More than 80%"
"04-80-94-39","Direct buyers /open-air market","More than 80%"
"30-19-51-31","Brokers/ middleman","21-40%"
"26-43-59-91","Direct buyers /open-air market","41-60%"
"97-96-91-38","Direct buyers /open-air market","less than 20%"
"97-96-91-38","Brokers/ middleman","less than 20%"
"23-72-17-40","Direct buyers /open-air market","More than 80%"
"23-72-17-40","Brokers/ middleman","41-60%"
