interview__key,r_buyers__id,sl_amt
"88-50-89-00","Brokers/ middleman","less than 20%"
"25-45-17-13","Direct buyers /open-air market","less than 20%"
"20-14-81-13","Direct buyers /open-air market","21-40%"
"97-46-80-41","Brokers/ middleman","61-80%"
"65-11-27-59","Brokers/ middleman","less than 20%"
"74-15-98-92","Direct buyers /open-air market","21-40%"
"79-94-33-31","Direct buyers /open-air market","More than 80%"
"79-94-33-31","Cooperatives / farmer association?","less than 20%"
"71-34-06-10","Brokers/ middleman","More than 80%"
"01-06-26-91","Brokers/ middleman","61-80%"
"58-64-10-38","Brokers/ middleman","More than 80%"
"11-11-66-21","Direct buyers /open-air market","61-80%"
"20-65-75-92","Brokers/ middleman","41-60%"
"12-80-86-60","Brokers/ middleman","less than 20%"
"79-49-70-48","Direct buyers /open-air market","21-40%"
"17-50-60-85","Brokers/ middleman","less than 20%"
"50-18-09-61","Brokers/ middleman","21-40%"
"92-88-71-89","Direct buyers /open-air market","41-60%"
"60-45-66-66","Brokers/ middleman","21-40%"
"74-33-74-42","Brokers/ middleman","More than 80%"
"62-89-56-95","Brokers/ middleman","less than 20%"
"12-39-62-46","Brokers/ middleman","61-80%"
"15-16-01-28","Brokers/ middleman","More than 80%"
"12-72-22-77","Brokers/ middleman","21-40%"
"32-65-79-67","Direct buyers /open-air market","61-80%"
"44-89-53-23","Brokers/ middleman","41-60%"
"18-93-14-98","Brokers/ middleman","More than 80%"
"55-94-46-33","Direct buyers /open-air market","More than 80%"
"34-96-75-45","Brokers/ middleman","More than 80%"
"81-41-37-07","Direct buyers /open-air market","More than 80%"
"81-41-37-07","Brokers/ middleman","More than 80%"
"39-99-71-22","Direct buyers /open-air market","21-40%"
"39-99-71-22","Brokers/ middleman","61-80%"
"48-80-14-71","Direct buyers /open-air market","More than 80%"
"66-80-39-89","Direct buyers /open-air market","41-60%"
"66-80-39-89","Brokers/ middleman","less than 20%"
"28-72-09-15","Brokers/ middleman","21-40%"
"86-74-30-03","Brokers/ middleman","More than 80%"
"42-16-79-97","Brokers/ middleman","More than 80%"
"40-03-97-68","Direct buyers /open-air market","21-40%"
"29-78-34-46","Brokers/ middleman","21-40%"
"39-18-34-69","Brokers/ middleman","More than 80%"
"96-59-50-58","Direct buyers /open-air market","41-60%"
"31-14-26-53","Brokers/ middleman","less than 20%"
