interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"23-16-40-98",7,"No",,"No","No intention to migrate",,"",,,,,,
"33-60-15-24",1,"No",,"No","No intention to migrate",,"",,,,,,
"83-29-00-04",1,"Yes","No","No",,,"",2022,2022,,,,
"83-29-00-04",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-46-43-34",1,"No",,"Yes","No intention to migrate",,"",2022,2022,,,,
"39-46-43-34",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-46-43-34",3,"No",,"No","No intention to migrate",,"",,,,,,
"39-46-43-34",4,"No",,"No","No intention to migrate",,"",,,,,,
"83-88-85-49",1,"No",,"No","No intention to migrate",,"",,,,,,
"83-88-85-49",2,"No",,"No","No intention to migrate",,"",,,,,,
"83-88-85-49",3,"No",,"No","No intention to migrate",,"",,,,,,
"86-33-34-77",1,"No",,"No","No intention to migrate",,"",,,,,,
"86-33-34-77",2,"No",,"No","No intention to migrate",,"",,,,,,
"85-40-54-06",1,"No",,"No","No intention to migrate",,"",,,,,,
"85-40-54-06",2,"No",,"No","No intention to migrate",,"",,,,,,
"99-20-43-65",1,"No",,"No","No intention to migrate",,"",,,,,,
"99-20-43-65",2,"No",,"No","No intention to migrate",,"",,,,,,
"99-20-43-65",3,"No",,"No","No intention to migrate",,"",,,,,,
"84-47-44-08",1,"Yes","Yes","No",,,"",2022,2023,6,6,1200000,"Mother"
"84-47-44-08",2,"Yes","Yes","Yes",,,"",2022,2022,12,0,0,
"84-47-44-08",3,"No",,"No","No intention to migrate",,"",,,,,,
"84-47-44-08",7,"No",,"No","No intention to migrate",,"",,,,,,
"84-47-44-08",8,"No",,"No","No intention to migrate",,"",,,,,,
"95-71-45-18",1,"No",,"No","No intention to migrate",,"",,,,,,
"95-71-45-18",2,"No",,"No","No intention to migrate",,"",,,,,,
"95-71-45-18",3,"No",,"No","No intention to migrate",,"",,,,,,
"95-71-45-18",7,"No",,"No","Don’t know",,"",,,,,,
"95-71-45-18",8,"No",,"No","Don’t know",,"",,,,,,
"43-23-29-59",1,"No",,"No","No intention to migrate",,"",,,,,,
"65-07-52-31",1,"No",,"No","No intention to migrate",,"",,,,,,
"65-07-52-31",2,"No",,"No","No intention to migrate",,"",,,,,,
"24-72-94-40",1,"No",,"No","No intention to migrate",,"",,,,,,
"24-72-94-40",2,"No",,"No","No intention to migrate",,"",,,,,,
"27-52-71-52",1,"No",,"Yes","No intention to migrate",,"",1997,2021,,,,
"27-52-71-52",2,"No",,"No","No intention to migrate",,"",,,,,,
"27-52-71-52",3,"No",,"No","No intention to migrate",,"",,,,,,
"27-52-71-52",4,"No",,"No","No intention to migrate",,"",,,,,,
"27-52-71-52",5,"No",,"Yes","Yes permanently migrate","Town in region","",2021,2022,,,,
"27-52-71-52",8,"No",,"Yes","No intention to migrate",,"",2007,2021,,,,
"21-67-72-81",1,"No",,"No","No intention to migrate",,"",,,,,,
"21-67-72-81",2,"No",,"No","No intention to migrate",,"",,,,,,
"21-67-72-81",3,"No",,"No","No intention to migrate",,"",,,,,,
"21-67-72-81",4,"No",,"No","No intention to migrate",,"",,,,,,
"21-67-72-81",5,"No",,"No","No intention to migrate",,"",,,,,,
"21-67-72-81",7,"No",,"No","No intention to migrate",,"",,,,,,
"40-08-15-69",1,"No",,"Yes","No intention to migrate",,"",2021,2022,,,,
"40-08-15-69",2,"No",,"No","No intention to migrate",,"",,,,,,
"40-08-15-69",3,"No",,"No","No intention to migrate",,"",,,,,,
"40-09-03-46",1,"No",,"No","No intention to migrate",,"",,,,,,
"88-78-79-65",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"88-78-79-65",2,"Yes","No","No",,,"",2021,2022,,,,
"72-36-26-24",1,"No",,"No","No intention to migrate",,"",,,,,,
"07-13-49-69",1,"No",,"No","No intention to migrate",,"",,,,,,
"07-13-49-69",2,"No",,"No","No intention to migrate",,"",,,,,,
"02-58-47-09",1,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"02-58-47-09",2,"No",,"No","No intention to migrate",,"",,,,,,
"02-58-47-09",3,"No",,"No","No intention to migrate",,"",,,,,,
"22-68-37-41",1,"Yes","No","No",,,"",2022,2022,,,,
"22-68-37-41",2,"No",,"No","No intention to migrate",,"",,,,,,
"22-68-37-41",3,"Yes","No","No",,,"",2021,2023,,,,
"22-68-37-41",4,"Yes","No","No",,,"",2023,2023,,,,
"75-57-77-41",1,"Yes","No","No",,,"",2022,2022,,,,
"75-57-77-41",2,"Yes","No","No",,,"",2022,2022,,,,
"75-57-77-41",3,"Yes","No","No",,,"",2022,2022,,,,
"75-57-77-41",4,"Yes","No","No",,,"",2022,2022,,,,
"04-02-68-66",1,"No",,"No","No intention to migrate",,"",,,,,,
"04-02-68-66",2,"No",,"No","No intention to migrate",,"",,,,,,
"04-02-68-66",5,"No",,"No","No intention to migrate",,"",,,,,,
"04-02-68-66",6,"No",,"No","No intention to migrate",,"",,,,,,
"02-25-96-16",1,"No",,"No","No intention to migrate",,"",,,,,,
"02-25-96-16",2,"No",,"No","No intention to migrate",,"",,,,,,
"02-25-96-16",3,"No",,"No","No intention to migrate",,"",,,,,,
"02-25-96-16",4,"No",,"No","No intention to migrate",,"",,,,,,
"02-25-96-16",5,"No",,"No","No intention to migrate",,"",,,,,,
"02-25-96-16",6,"No",,"No","No intention to migrate",,"",,,,,,
"48-71-75-24",1,"No",,"Yes","No intention to migrate",,"",2019,2019,,,,
"48-71-75-24",2,"No",,"No","No intention to migrate",,"",,,,,,
"48-71-75-24",4,"No",,"No","No intention to migrate",,"",,,,,,
"48-71-75-24",5,"No",,"No","No intention to migrate",,"",,,,,,
"48-71-75-24",6,"No",,"No","No intention to migrate",,"",,,,,,
"81-80-02-23",1,"No",,"No","No intention to migrate",,"",,,,,,
"81-80-02-23",2,"No",,"No","No intention to migrate",,"",,,,,,
"42-14-73-23",1,"No",,"No","No intention to migrate",,"",,,,,,
"42-14-73-23",2,"No",,"No","No intention to migrate",,"",,,,,,
"42-14-73-23",3,"No",,"No","No intention to migrate",,"",,,,,,
"42-14-73-23",4,"No",,"No","No intention to migrate",,"",,,,,,
"42-14-73-23",5,"No",,"No","No intention to migrate",,"",,,,,,
"76-93-41-01",1,"No",,"No","No intention to migrate",,"",,,,,,
"95-12-78-81",1,"No",,"No","No intention to migrate",,"",,,,,,
"95-12-78-81",2,"No",,"No","No intention to migrate",,"",,,,,,
"95-12-78-81",3,"No",,"No","No intention to migrate",,"",,,,,,
"95-12-78-81",6,"No",,"No","No intention to migrate",,"",,,,,,
"95-12-78-81",7,"No",,"Yes","No intention to migrate",,"",2018,2022,,,,
"95-12-78-81",8,"No",,"Yes","No intention to migrate",,"",2020,2020,,,,
"20-49-21-26",1,"No",,"No","No intention to migrate",,"",,,,,,
"20-49-21-26",2,"No",,"No","No intention to migrate",,"",,,,,,
"20-49-21-26",3,"No",,"No","No intention to migrate",,"",,,,,,
"20-49-21-26",4,"No",,"No","No intention to migrate",,"",,,,,,
"20-49-21-26",5,"No",,"No","No intention to migrate",,"",,,,,,
