interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"95-96-07-01",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Hehe","","In their 40s",3,3
"56-10-42-62",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Hehe","","In their 60s",25,10
"56-10-42-62",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 50s",10,10
"56-10-42-62",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Hehe","","In their 60s",5,5
"39-85-42-75",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Hehe","","In their 60s",9,9
"39-85-42-75",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 40s",28,12
"39-85-42-75",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Hehe","","In their 40s",3,2
"51-15-10-63",1,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 30s",25,5
"51-15-10-63",2,"No","No","No","No","No","No","Yes","No","Yes","No","No","No",,"Men","Hehe","","In their 30s",3,2
"51-15-10-63",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",4,1
"81-75-45-31",1,"No","No","No","No","No","Yes","Yes","No","No","No","No","No",,"Men","Hehe","","In their 50s",3,3
"81-75-45-31",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Other, Specify","Kinga","In their 40s",3,3
"81-75-45-31",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",4,0
"57-29-61-37",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Women","Hehe","","In their 30s",29,4
"57-29-61-37",2,"No","Yes","No","No","No","Yes","No","No","No","No","No","No",,"Women","Hehe","","In their 30s",29,3
"57-29-61-37",3,"No","No","No","No","No","Yes","Yes","No","No","No","No","No",,"Women","Hehe","","In their 40s",29,10
"92-19-38-79",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","&gt;70",8,0
"92-19-38-79",2,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Women","Hehe","","&gt;70",20,10
"92-19-38-79",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","&gt;70",15,0
"51-61-36-83",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",3,0
"51-61-36-83",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",3,0
"51-61-36-83",3,"No","Yes","No","No","No","Yes","No","No","No","No","No","No",,"Women","Hehe","","In their 30s",3,0
"26-90-05-49",1,"No","No","No","No","No","Yes","Yes","No","No","No","No","No",,"Men","Hehe","","In their 50s",29,0
"26-90-05-49",2,"No","No","No","No","No","No","Yes","No","Yes","No","No","No",,"Men","Hehe","","In their 40s",3,3
"26-90-05-49",3,"No","No","No","No","No","Yes","No","No","Yes","No","No","No",,"Women","Hehe","","In their 40s",29,29
"66-97-67-27",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",5,1
"66-97-67-27",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 50s",4,3
"66-97-67-27",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Other, Specify","Pare","In their 20s",5,3
"78-48-49-89",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",14,2
"78-48-49-89",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 30s",4,3
"78-48-49-89",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 20s",3,3
"98-05-66-83",1,"No","No","No","No","Yes","No","Yes","No","Yes","No","No","No",,"Men","Hehe","","In their 50s",3,4
"98-05-66-83",2,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 20s",10,10
"98-05-66-83",3,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 50s",6,8
"78-17-71-31",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Other, Specify","nyachusa","In their 40s",5,10
"78-17-71-31",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Hehe","","In their 40s",5,5
"78-17-71-31",3,"No","No","No","No","Yes","No","No","No","Yes","No","No","No",,"Women","Hehe","","In their 40s",5,10
"35-97-55-04",1,"No","No","No","No","Yes","Yes","No","No","No","No","No","No",,"Men","Hehe","","&gt;70",3,3
"35-97-55-04",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",20,15
"35-97-55-04",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","&gt;70",3,3
"01-00-08-00",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",1,1
"01-00-08-00",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 40s",1,1
"01-00-08-00",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Hehe","","In their 40s",15,4
"23-16-40-98",1,"No","No","No","No","No","Yes","No","No","Yes","No","No","No",,"Men","Hehe","","In their 60s",1,1
"23-16-40-98",2,"No","No","No","No","No","Yes","Yes","No","Yes","No","No","No",,"Men","Hehe","","In their 60s",2,2
