interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"73-85-71-84",6,"Iron sheets","","Other➡️ Please specify","bricks with mud and cement","Cement screed","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"57-10-23-73",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"27-45-94-38",1,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"07-14-85-97",5,"Iron sheets","","Other➡️ Please specify","burnt brick with mud","Cement screed","","Piped water (house or public)","","VIP latrine",""
"55-58-44-60",1,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
"54-97-37-44",7,"Iron sheets","","Other➡️ Please specify","burnt bricks with mud","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"25-51-59-02",2,"Iron sheets","","Bricks with cement","","Cement screed","","Protected (borehole protected well public taps rain water)","","Flush toilet",""
"98-34-54-09",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit patrine with slab",""
"69-46-62-21",4,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Piped water (house or public)","","VIP latrine",""
"69-92-29-73",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"37-17-48-58",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"85-72-34-53",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Flush toilet",""
"73-56-72-00",4,"Iron sheets","","Other➡️ Please specify","burnt brick with mud","Sand","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"39-00-66-90",2,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Flush toilet",""
"52-72-83-96",6,"Iron sheets","","Other➡️ Please specify","bricks with mud and cement","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"27-89-15-08",2,"Thatched grass","","Other➡️ Please specify","burnt bricks with mud","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"38-15-27-24",6,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
"32-53-41-40",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Flush toilet",""
"90-85-65-68",4,"Iron sheets","","Bricks with cement","","Sand","","Piped water (house or public)","","Flush toilet",""
"07-04-06-31",5,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"00-51-21-96",8,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"29-09-67-77",2,"Iron sheets","","Bricks with cement","","Cement screed","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"18-57-30-30",3,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
"06-67-52-73",5,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Protected (borehole protected well public taps rain water)","","Flush toilet",""
"63-98-43-96",3,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"95-39-48-28",1,"Iron sheets","","Other➡️ Please specify","burnt bricks with mud","Cement screed","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"09-57-06-65",3,"Tiles","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Uncovered pit latrine",""
"10-32-71-90",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit latrine without a slab",""
"91-48-09-94",2,"Iron sheets","","Other➡️ Please specify","bricks with mud and cement","Smooth earth (soil)","","Piped water (house or public)","","Covered pit latrine without a slab",""
"20-98-55-75",4,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Cement screed","","Piped water (house or public)","","Flush toilet",""
"60-93-12-22",2,"Thatched grass","","Wood","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit patrine with slab",""
"08-84-40-54",2,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"19-25-10-78",3,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit patrine with slab",""
"71-72-13-14",5,"Iron sheets","","Other➡️ Please specify","burnt brick with mud","Sand","","Unprotected source (well spring river lake tank truck)","","Flush toilet",""
"03-15-75-14",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"44-83-75-40",4,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Sand","","Unprotected source (well spring river lake tank truck)","","Flush toilet",""
"50-57-49-63",2,"Thatched grass","","Mud with poles","","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"70-71-45-76",2,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Flush toilet",""
"60-32-51-97",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"52-97-46-11",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit latrine without a slab",""
"57-86-44-24",1,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
