interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"29-29-81-12","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried"
"83-66-69-06","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","trust","trust","trust","trust","trust","Worried","Slightly worried","Very worried","Extremely worried","Extremely worried","Not at all worried","Not at all worried","Worried","Slightly worried","Slightly worried"
"26-43-59-91","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","trust","trust","trust","trust","trust","Slightly worried","Slightly worried","Not at all worried","Slightly worried","Slightly worried","Not at all worried","Not at all worried","Slightly worried","Slightly worried","Slightly worried"
"97-96-91-38","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","distrust","trust","distrust","trust","trust","Not at all worried","Worried","Not at all worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"27-34-90-31","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","strongly distrust","Worried","Worried","Slightly worried","Worried","Slightly worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"23-72-17-40","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Strongly disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","distrust","trust","distrust","trust","trust","Not at all worried","Worried","Not at all worried","Not at all worried","Slightly worried","Worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"39-58-22-39","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","trust","trust","indifferent","trust","distrust","Worried","Worried","Slightly worried","Slightly worried","Not at all worried","Worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried"
"97-79-33-71","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Strongly agree","Agree","Agree","Strongly agree","Disagree","Agree","trust","trust","indifferent","distrust","trust","Not at all worried","Not at all worried","Not at all worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Worried","Not at all worried","Worried"
"69-57-31-01","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","indifferent","Slightly worried","Worried","Not at all worried","Not at all worried","Slightly worried","Worried","Slightly worried","Not at all worried","Not at all worried","Worried"
"60-54-64-58","Agree","Strongly agree","Agree","Indifferent (neither nor)","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","trust","trust","trust","trust","trust","Worried","Worried","Not at all worried","Worried","Worried","Worried","Not at all worried","Worried","Worried","Worried"
"89-99-48-67","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Not at all worried","Slightly worried","Slightly worried","Worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Slightly worried","Not at all worried"
"44-61-50-65","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Very worried","Not at all worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"12-80-78-48","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Worried","Slightly worried","Worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"28-02-97-48","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Slightly worried","Worried","Not at all worried","Not at all worried","Not at all worried","Worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried"
"70-19-76-68","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"46-78-87-50","Strongly agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"18-43-40-98","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Disagree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","distrust","Slightly worried","Worried","Not at all worried","Not at all worried","Not at all worried","Worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried"
