interview__key,lndprep__1,lndprep__2,lndprep__3,lndprep__4,cp021__1,cp021__2,cp021__3,cp021_source__1,cp021_source__2,cp021_source__3,cp021_source__4,cp021_source__5,cp021_source__6,cp021_source__96,cp021_source_other,cp_plantdays,cp_weedays,cp_hvstdays,cp_lbrdays,irr_train,cp026__1,cp026__2,cp026__3,cp026__4,cp026__5,cp026__6,cp026__7,cp026__96,cp026_oth,cp028,cp028_inst__1,cp028_inst__2,cp028_inst__3,cp028_inst__4,cp028_inst__5,cp028_inst__6,cp028_inst__7,cp029,cp030,cp031,cp032,crop_residue__1,crop_residue__2,crop_residue__3,crop_residue__4,crop_residue__5,crop_residue__96
"86-33-34-77",0,1,0,0,"Yes","No","No",,,,,,,,,2,7,3,12,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"85-40-54-06",0,1,0,0,"Yes","No","No",,,,,,,,,2,14,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"99-20-43-65",0,1,0,0,"Yes","Yes","No",,,,,,,,,2,7,4,0,6,"Yes","Yes","Yes","No","No","No","No","No",,,,,,,,,,,,,,0,0,1,1,0,0
"84-47-44-08",0,1,0,0,"Yes","Yes","Yes","No","No","No","No","No","No","Yes",,6,4,1,4,4,"Yes","Yes","Yes","No","No","No","No","No",,,,,,,,,,,,,,0,0,1,0,0,0
"95-71-45-18",0,1,0,0,"Yes","Yes","No",,,,,,,,,3,6,3,3,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"43-23-29-59",0,1,0,0,"Yes","No","No",,,,,,,,,8,13,4,0,3,"Yes","Yes","Yes","No","No","No","No","No",,,,,,,,,,,,,,0,1,0,0,0,0
"65-07-52-31",0,1,0,0,"Yes","Yes","No",,,,,,,,,4,8,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0
"24-72-94-40",0,1,0,0,"Yes","No","No",,,,,,,,,7,30,14,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"27-52-71-52",0,1,0,0,"Yes","No","No",,,,,,,,,5,15,1,16,1,"Yes","Yes","Yes","Yes","No","Yes","No","No",,,,,,,,,,,,,,0,1,0,1,0,0
"21-67-72-81",0,1,0,0,"Yes","Yes","No",,,,,,,,,10,11,10,10,3,"Yes","Yes","Yes","Yes","No","No","No","No",,,,,,,,,,,,,,0,0,1,0,0,0
