interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"42-85-64-91","Wood for charcoal production",60,"Debe","","No",,,"",,,"Yes",2000,"Slight decrease","Slight decrease","","Deforestation without  Afforestation"
"90-50-65-07","Wood for charcoal production",84,"Debe","","No",,,"",,,"Yes",2000,"Slight decrease","Massive decrease","","Less trees in current world"
"90-50-65-07","Timber or poles",1200,"Other (please specify)","Whole tree","Yes",1200,"Other (please specify)","whole tree","Yes",6500,"Yes",5000000,"Slight decrease","Massive decrease","","there is no Afforestation"
"90-50-65-07","Wild fruits",1,"Debe","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Weather  condition"
"54-70-24-21","Firewood",52,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","increase of population"
"38-66-21-90","Firewood",24,"Bale / Bundle","","No",,,"",,,"Yes",200000,"The same","The same","",""
"32-53-90-85","Firewood",5,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","deforestation"
"67-43-43-96","Firewood",52,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","now days all the forest have owners,  so you can't harvest it without permission from the owner"
"67-43-43-96","Mushrooms",4,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"30-12-86-30","Firewood",50,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFORESTATION"
"18-64-04-51","Firewood",54,"Bunches","","No",,,"",,,"Yes",36000,"Slight increase","Slight increase","household is planting more trees",""
"44-00-42-23","Firewood",12,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","coal production"
"49-30-59-44","Firewood",2,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","coal production"
"49-30-59-44","Mushrooms",4,"Liters","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","application of fertilizer decreases it's growth"
"08-14-33-80","Firewood",162,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight increase","","cutted down trees are now re-growing so in next ten years there will be alot of forests"
"08-14-33-80","Wood for charcoal production",1800,"Numbers","","Yes",1800,"Numbers","","No",5000,"Yes",50000,"Slight decrease","Slight increase","","harvested trees are re-growing"
"03-68-26-31","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"76-88-86-20","Firewood",162,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Deforestation"
"76-88-86-20","Wood for charcoal production",47,"Debe","","No",,,"",,,"Yes",2000,"Slight decrease","Massive decrease","","deforestation"
"76-88-86-20","Honey",2,"Liters","","No",,,"",,,"Yes",7000,"Slight decrease","Slight decrease","","Lack of trees and forests for beehive shelves"
"41-48-09-97","Firewood",50,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","DEFORESTATION"
"21-76-07-53","Firewood",30,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increase in number of people"
"01-41-01-54","Firewood",350,"Bunches","","No",,,"",,,"Yes",50000,"Massive decrease","Massive decrease","","deforestation for agricultural land"
"01-41-01-54","Wood for charcoal production",60,"Debe","","No",,,"",,,"Yes",160000,"Massive decrease","Massive decrease","","deforestation"
"13-11-49-85","Firewood",520,"Kilograms","","No",,,"",,,"No",,"Massive increase","Massive decrease","There is massive deforestation caused by population increase.",""
"13-11-49-85","Mushrooms",5,"Kilograms","","No",,,"",,,"No",,"Slight increase","Massive decrease","There is no rain hence there are no mushrooms",""
"13-11-49-85","Honey",10,"Liters","","No",,,"",,,"No",,"The same","The same","",""
"72-37-75-96","Firewood",48,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"71-85-96-60","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","people they don't plant trees"
"92-03-64-77","Firewood",2,"Canter","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","deforestation"
"92-03-64-77","Wood for charcoal production",24,"Debe","","No",,,"",,,"Yes",20000,"Slight decrease","Massive decrease","","deforestation for agricultural land"
"33-40-16-02","Firewood",200,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"55-06-75-57","Firewood",2,"Canter","","No",,,"",,,"Yes",144000,"Slight decrease","Massive decrease","","population increase"
"55-06-75-57","Tea leaves",4,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","due to grazing of livestock"
"01-05-06-43","Firewood",10,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"01-05-06-43","Mushrooms",10,"Liters","","No",,,"",,,"No",,"Slight increase","Massive increase","the soil is fertile",""
"12-46-80-99","Firewood",104,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","deforestation"
"34-76-42-19","Firewood",54,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","forests have been cut day after day"
"62-44-56-00","Firewood",520,"Kilograms","","No",,,"",,,"No",,"Massive increase","Slight decrease","There is deforestation and high population in the village",""
"62-44-56-00","Wild fruits",2,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"62-44-56-00","Mushrooms",10,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"00-88-32-67","Firewood",108,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"00-88-32-67","Wood for charcoal production",14,"Debe","","No",,,"",,,"Yes",2500,"Slight decrease","Massive decrease","","Deforestation"
"65-77-01-81","Firewood",20,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increase of population"
"68-46-66-56","Firewood",108,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increased population"
"68-46-66-56","Wood for charcoal production",168,"Debe","","No",,,"",,,"Yes",300000,"Slight decrease","Massive decrease","","increased deforestation and population"
"30-46-23-21","Firewood",108,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","increased human population"
"13-17-41-36","Firewood",120,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase"
"99-55-34-47","Firewood",260,"Kilograms","","No",,,"",,,"No",,"Massive increase","Massive decrease","There was no cutting of trees",""
"82-90-83-43","Firewood",520,"Kilograms","","No",,,"",,,"No",,"Slight increase","Slight decrease","There was no deforestation",""
"98-51-51-03","Firewood",104,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Increase in population  of people"
"98-51-51-03","Wood for charcoal production",54,"Debe","","No",,,"",,,"Yes",2500,"Slight decrease","Massive decrease","","reduction of trees"
"10-71-84-42","Firewood",2,"Canter","","No",,,"",,,"Yes",30000,"Slight decrease","Massive decrease","","Every land has an owner (population increase)"
"10-71-84-42","Mushrooms",4,"Liters","","No",,,"",,,"No",,"The same","The same","",""
"49-18-02-61","Firewood",54,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"49-18-02-61","Wood for charcoal production",18,"Debe","","No",,,"",,,"Yes",2000,"The same","The same","",""
"49-18-02-61","Wild fruits",1,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"58-97-08-64","Firewood",156,"Bunches","","No",,,"",,,"No",,"Slight increase","Slight decrease","There was no cutting of trees.",""
"58-97-08-64","Wild fruits",2,"Kilograms","","No",,,"",,,"No",,"Massive increase","Slight decrease","Alot of fruits are being taken by poor residents for sale in the markets inorder to get money to pay school fees for their children.",""
"58-97-08-64","Mushrooms",5,"Kilograms","","No",,,"",,,"No",,"Massive increase","Massive decrease","There is no rain hence no mushrooms these days.",""
