interview__key,contact_ref_1_rel,contact_ref_2_rel
"34-54-53-25","Village Elder","Son In Law"
"54-15-04-81","Relative","Friend"
"30-29-61-21","Village Elder","Neighbour"
"32-65-13-57","Neighbour","Neighbour"
"64-69-72-73","Uncle","Neighbour"
"25-20-08-58","Neighbour","Neighbour"
"12-04-44-96","Neighbour","Neighbour"
"97-37-09-60","Neighbour","Neighbour"
"26-04-59-05","Neighbour","Neighbour"
"98-27-33-85","Neighbour","Neighbour"
"65-84-88-76","Village Leader","Chief"
"88-58-36-62","Neighbour","Neighbour"
"68-07-50-59","Cousin","Neighbour"
"69-15-02-37","None","Uncle"
"02-78-83-36","None","Neighbour"
"97-59-33-64","Neighbour","Neighbour"
"62-96-19-75","Neighbour","Brother"
"73-91-22-23","Neighbour","None"
"20-05-42-35","None","Neighbour"
"41-87-52-98","Village Leader","Neighbour"
"69-31-43-37","Nephew","Niece"
"53-00-97-20","Neighbor","Friend"
"33-41-86-29","Sister","Friend"
"32-86-73-25","Neighbour","Relative"
"72-97-03-54","Relative","Relative"
"15-89-37-89","Village Head","Neighbour"
"12-79-12-74","Son","Relative"
"84-49-36-60","Self Head","Wife"
"50-30-24-70","Village Headman","Neighbour"
"73-01-79-27","Neighbour","Neighbour"
"61-70-56-76","Self Head","Child"
"02-74-92-32","Self Head","Friend"
"69-39-88-08","Relative","Elder"
"97-74-84-66","Neighbour","Neighbour"
"15-82-53-55","Neighbour","Neighbour"
"46-71-69-87","Brother","Head Man"
"05-64-42-77","Brother","Brother"
"65-63-71-66","Neihbour","Pastors Wife/Neihbour"
"15-51-80-47","Son","Neighbour"
"32-74-61-81","Daughter","Son"
"36-59-31-86","Daughter","Neighbour"
"73-83-46-14","Head Man","Neighbour"
"07-04-05-10","Brother","Village Head"
"99-97-90-90","Head Man","Nephew"
"53-39-03-44","Neighbour","Neighbour"
"85-50-39-09","Neighbour","Relative"
"46-32-17-36","Neighbour","Village Elder"
"85-98-37-69","Son","Relative"
"65-26-91-15","Village Elder","Mother"
"65-45-62-39","Neighbour","Neighbour"
"47-59-10-25","Neighbour","Head Man"
"03-90-73-99","Brother","Neighbour"
"43-25-90-61","Neighbour","Neighbour"
"49-70-00-09","Neighbour","Friend"
"06-94-49-47","Brother","Neighbour"
"19-04-54-37","Neighbour","Neighbour"
"59-57-12-16","Neighbour","Neighbour"
"49-28-72-36","Neighbour","Farmer"
"93-14-44-32","Village Head","Neighbour"
"51-90-88-91","Elder","Neighbour"
"12-47-74-84","Village Elder","Neighbour"
"66-45-27-28","None","Neighbour"
"61-66-59-51","Elder","Neighbour"
"78-64-43-02","Neighbour","Relative"
"09-79-38-80","Neighbour","N/A"
"03-23-67-97","Neighbour","Pastor"
"84-81-25-13","Neighbour","Neighbour"
"01-19-86-40","Neighbour","Village Leader"
"69-16-25-63","Neighbour","Neighbour"
"58-95-91-31","Self Head","Neighbour"
"11-58-78-70","Grandchild","Grandchild"
"41-24-59-26","Relative","Relative"
