interview__key,contact_ref_1_rel,contact_ref_2_rel
"95-00-37-38","Daughter","Daughter In Law"
"94-73-96-31","Mother","Neighbour"
"40-23-79-37","Relative","Neighbour"
"49-36-92-60","Neighbour","Neighbour"
"21-46-54-95","Village Headman","Neighbour"
"65-71-98-91","Son","Grandchild"
"58-91-32-30","Village Elder","Neighbour"
"18-10-16-95","Son","Son"
"20-74-87-97","Daughter","Son"
"42-18-27-84","Neighbour","Neighbour"
"65-19-88-53","Neighbour","Neighbour"
"56-92-07-98","Neighbour","Village Leader"
"74-74-25-12","Neighbour","Neighbour"
"83-96-24-75","Self Head","Wife"
"56-67-49-17","Co Wife","Beother"
"16-50-24-00","Son","Relative"
"73-07-75-47","Relative","Village Leader"
"26-48-16-48","Relative","Neighbour"
"72-76-08-58","Self Head","Son"
"51-88-01-88","Husband","Relative"
"94-25-97-12","Village Elder","Relative"
"06-34-31-56","Relative","Son"
"85-35-12-09","Neighbour","Neighbour"
