interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"84-08-92-59",1800,0,0,0,5000,0,0,0
"80-92-01-63",1600,800,0,0,0,0,0,0
"39-04-13-87",,,,,,,,
"12-81-58-78",3000,0,0,3000,2000,0,0,888
"07-91-23-12",,,,,,,,
"46-43-23-18",,,,,,,,
"48-70-52-60",10080,11000,13100,30000,17500,10000,3000,5000
"64-66-30-53",,,,,,,,
"07-19-59-75",,,,,,,,
"03-69-84-05",2700,0,0,0,1250,0,400,0
"55-07-48-89",2385,7000,4700,10000,4250,20000,1600,0
"84-64-87-37",,,,,,,,
"01-15-12-42",3600,0,0,0,24000,0,0,0
"99-30-86-99",2500,0,0,3500,1500,0,0,1000
"43-03-84-96",,,,,,,,
"16-96-89-30",6200,28000,3200,20000,7200,0,200,0
"26-40-62-78",4000,0,0,7500,0,0,0,0
"45-82-95-63",1200,0,6200,5000,1600,6000,150,0
"19-12-89-41",4500,0,1500,5000,0,0,0,0
"86-61-90-88",3080,21000,5000,10000,0,0,200,0
"01-74-93-41",,,,,,,,
"38-25-54-65",,,,,,,,
"21-70-86-32",,,,,,,,
"02-81-96-02",1200,7000,1000,2500,0,5000,0,0
"54-34-58-95",,,,,,,,
"76-19-75-88",3600,0,0,7000,4000,0,0,0
"66-74-73-77",3000,0,0,4000,1500,0,2000,1000
"08-37-41-83",875,5000,2000,2500,3000,8000,1500,1000
"68-02-84-17",1550,0,700,5000,0,0,3000,0
"75-80-31-44",1860,0,3250,6200,0,7400,0,0
"27-87-86-78",,,,,,,,
"69-86-48-74",3000,1000,700,5000,0,0,3000,0
"71-45-11-71",1550,7000,800,4500,4000,0,450,1000
"04-56-93-47",,,,,,,,
"48-20-93-40",1250,0,1500,0,2500,0,1000,1000
"77-28-28-65",,,,,,,,
"11-74-52-10",14400,0,0,18000,5000,0,0,0
"15-73-69-92",,,,,,,,
"18-25-85-30",,,,,,,,
"97-74-49-80",1200,0,0,0,10000,0,0,0
"65-28-28-23",4150,21000,3500,20000,3200,0,1000,0
"60-02-55-31",,,,,,,,
"82-11-02-31",,,,,,,,
"57-80-52-25",1550,7000,800,5000,3000,0,400,4000
"72-15-05-10",0,0,0,0,0,0,0,0
"74-51-85-05",,,,,,,,
"86-09-61-31",1200,0,0,0,3000,0,0,0
"93-25-93-51",4800,0,0,0,0,0,0,0
"46-18-65-43",,,,,,,,
"04-39-31-02",600,0,800,2500,2000,0,800,0
"95-71-10-81",720,9000,2000,4000,900,0,600,3500
"12-15-65-08",,,,,,,,
"44-29-85-16",,,,,,,,
"71-69-40-35",5000,0,0,6000,4000,0,0,0
"06-79-89-11",,,,,,,,
"21-46-83-44",,,,,,,,
"53-46-63-99",6000,0,0,0,0,0,0,5000
"92-47-39-90",,,,,,,,
"48-13-13-53",2080,0,0,3000,0,0,0,0
"22-45-98-08",,,,,,,,
"05-13-82-78",,,,,,,,
"38-34-24-20",4500,0,0,0,3000,0,0,0
"95-32-48-88",,,,,,,,
"38-26-85-56",2500,0,1000,0,7000,0,0,0
"14-26-58-26",,,,,,,,
"98-72-74-27",,,,,,,,
"71-71-39-84",1500,0,500,0,15000,0,0,0
"22-94-31-61",,,,,,,,
"76-87-83-96",,,,,,,,
"76-33-66-65",,,,,,,,
"20-69-31-32",,,,,,,,
"32-73-67-08",,,,,,,,
"52-15-60-99",6000,0,0,0,15000,0,500,0
"82-73-01-57",525,3500,1200,5000,3600,8000,3100,0
"89-62-46-70",620,3250,1000,2800,900,3500,400,0
"54-18-77-83",3600,0,0,0,8000,0,0,0
"54-86-93-60",,,,,,,,
"33-07-96-51",3300,9000,3000,5000,2000,0,1200,1000
"10-60-87-78",2500,7000,800,4500,0,0,0,0
"60-37-22-12",,,,,,,,
"65-07-81-76",,,,,,,,
"94-01-94-60",2925,0,800,0,0,0,0,0
"26-94-35-48",2500,0,0,0,0,0,0,0
"34-70-02-31",920,800,0,0,0,500,0,0
"04-31-65-65",,,,,,,,
"95-85-00-75",600,0,0,0,0,0,0,0
"41-04-08-56",4400,0,0,0,10000,0,0,6000
"36-17-00-87",,,,,,,,
"05-33-40-10",0,0,300,0,0,0,0,0
"27-67-11-74",,,,,,,,
"42-16-66-43",1500,0,0,3000,2000,0,0,0
"07-13-95-29",6860,14000,3000,8000,4000,0,3000,20000
"96-93-55-42",1000,0,0,0,0,0,300,0
"35-46-21-62",,,,,,,,
"40-51-79-00",840,0,800,0,1000,0,400,1000
"80-05-91-55",4500,0,0,6000,5000,0,0,0
"59-22-24-47",,,,,,,,
"78-46-05-26",4800,0,0,7000,5000,0,0,0
"01-54-87-19",,,,,,,,
"64-06-48-62",,,,,,,,
"21-65-85-03",2520,0,900,0,0,0,400,100
"03-81-70-83",1550,13000,2000,4000,6000,0,2500,0
"22-43-82-01",,,,,,,,
"40-89-32-79",,,,,,,,
"94-65-34-20",8000,0,0,0,13000,0,0,0
"17-73-42-21",1500,0,0,4000,4500,0,0,0
"86-29-59-93",,,,,,,,
"88-87-27-22",,,,,,,,
"17-95-26-62",,,,,,,,
"86-23-74-18",,,,,,,,
"69-47-17-72",,,,,,,,
"77-46-09-31",,,,,,,,
"97-62-36-16",450,1500,300,0,500,2000,1200,1000
"39-46-61-12",,,,,,,,
"51-78-77-10",,,,,,,,
"95-19-67-91",6000,0,0,0,20000,0,1000,2000
"90-10-35-11",20000,28000,15000,6000,30000,10000,1000,0
"43-53-25-48",,,,,,,,
"91-87-02-88",5400,0,0,0,13000,0,200,3800
"54-62-08-69",6500,7000,7000,15000,6000,0,2500,5000
"37-56-30-78",,,,,,,,
"08-23-42-65",1800,0,0,0,8000,0,200,500
"59-85-68-42",2800,14000,2000,10000,1800,0,600,0
"84-09-48-58",,,,,,,,
"75-58-20-42",3500,0,1600,7400,1600,0,1800,1000
"00-68-70-04",4350,3250,1500,0,0,0,500,0
"51-54-98-03",,,,,,,,
"90-58-96-49",,,,,,,,
"07-07-62-62",6550,10000,5000,5500,5000,5000,2000,500
"26-08-54-15",0,0,0,0,0,0,0,0
"98-80-86-00",,,,,,,,
"19-36-93-83",,,,,,,,
"39-74-73-78",14400,0,0,11200,18000,0,0,0
"73-63-00-42",,,,,,,,
"15-80-74-06",,,,,,,,
"40-74-32-61",,,,,,,,
"95-10-30-55",3100,0,3000,6000,4000,0,600,0
"93-89-51-75",,,,,,,,
"75-95-38-57",3300,0,0,0,4000,0,0,0
"34-96-82-10",,,,,,,,
"90-41-75-26",,,,,,,,
"93-64-37-20",,,,,,,,
"91-66-07-16",1625,8600,1600,2500,2420,0,800,800
"60-51-83-59",,,,,,,,
"76-32-07-05",,,,,,,,
"16-40-92-10",755,2500,1200,2000,3000,0,2000,0
"24-75-24-45",,,,,,,,
"93-05-25-38",7200,0,0,7500,20000,0,0,0
"59-77-15-06",12000,0,0,24000,12000,0,0,0
"43-11-20-48",,,,,,,,
"38-02-62-89",7200,0,0,0,5000,0,700,0
"21-01-77-10",,,,,,,,
"81-78-91-05",14000,23700,22800,7600,8000,0,7000,40000
