interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"65-45-62-39","Acres","",.5,.5,0,0,0,0,0,"Leased/rented","Communally owned",,,,,,"Yes","Within family","","Village headman / chairperson","","Yes","Likely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",2,"Yes","For use in farming"
"47-59-10-25","Acres","",1,0,0,0,.5,0,0,"Private owned with no land title",,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"No","insufficient capital"
"03-90-73-99","Acres","",0,.5,0,0,3,0,0,,"Communally owned",,,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"No","satisfied"
"43-25-90-61","Acres","",.5,1.5,0,0,10,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"Yes",3,"No","No","Yes","No",,0,"The same","The same","No",,,"",0,"No","satisfied"
"49-70-00-09","Acres","",2,0,0,0,.5,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Likely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight increase","Slight decrease","No",,,"",1,"Yes","To explore farming"
"06-94-49-47","Acres","",1,0,0,0,2,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"Yes","two or three acres are not enough to and my children."
"19-04-54-37","Acres","",1,0,0,1,1,0,0,"Private owned with no land title",,,"Private owned with no land title","Private owned with no land title",,,"Yes","Other individuals","","Village headman / chairperson","","No","Likely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"Yes",5,"No","Yes","No","No",,0,"Slight decrease","Massive decrease","No",,,"",2,"Yes","purchase land where water can be easily available"
"59-57-12-16","Acres","",2,0,0,0,1,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"Yes","to invest in pasture production"
"49-28-72-36","Acres","",20,45,0,10,.3,0,5,"Private owned with no land title","Private owned with no land title",,"Private owned with no land title","Private owned with no land title",,"Private owned with no land title","Yes","Within family","","Village headman / chairperson","","Yes","unlikely","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No",,"Yes",10,"Yes","Yes","No","No",,100,"Slight decrease","Massive decrease","Yes",100000,"Bank","",6,"Yes","crop farming"
"93-14-44-32","Acres","",1,0,0,0,.25,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","for more crop production"
"51-90-88-91","Acres","",1,0,0,0,.5,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"Yes","Within family","","Clan / Elder","","Yes","Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"Yes",1,"Yes","No","No","No",,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","cultivation"
"12-47-74-84","Acres","",1,0,0,0,.4,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"Yes","I need an additional for my children to inherit"
"66-45-27-28","Acres","",2,0,0,0,10,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",5,"Yes","to create more land cultivating"
"61-66-59-51","Acres","",1,0,0,0,.25,0,0,"Leased/rented",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","crop cultivation"
"78-64-43-02","Acres","",5,20,0,0,1,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"No","over 20 acres are absolutely enough  to me"
"09-79-38-80","Acres","",7,4,0,0,8,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",1,"Yes","to allocate to children"
"03-23-67-97","Acres","",1.5,0,0,1,.5,0,0,"Private owned with no land title",,,"Private owned with no land title","Private owned with no land title",,,"No",,"",,"",,"Likely","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","explore moe farms"
"84-81-25-13","Acres","",3,0,0,0,2,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"Yes",1,"No","No","No","Yes",,0,"Massive decrease","Massive decrease","No",,,"",2,"No","Due to lack of funds"
"01-19-86-40","Acres","",3,2,0,0,1,0,.5,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,"Private owned with no land title","No",,"",,"",,"Very likely","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","population growth"
"69-16-25-63","Acres","",6,0,0,0,3,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",0,"No","satisfied"
"58-95-91-31","Acres","",2,2,0,0,.5,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"Yes",2,"Yes","No","Yes","No",,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","For future use"
