interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"13-38-59-03",8,8,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","No","No","No","No","No","Yes","No","No","No",
"26-77-14-31",13,13,"Direct individuals not in a market","","Yes","MAIZE","No",,,,,,,,,,,
"04-52-21-75",10,10,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",
"04-52-21-75",10,10,"Urban market (town) in this region","","Yes","GREEN GRAMS","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",
"49-10-89-14",8,8,"Direct individuals not in a market","","Yes","MAIZE","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",
"15-13-85-83",7,7,"Rural market in the neighbouring village","","Yes","MAIZE","No",,,,,,,,,,,
"81-99-34-25",16,16,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",
"96-35-08-20",15,15,"Urban market (town) in this region","","Yes","MAIZE","No",,,,,,,,,,,
"78-02-12-77",7,7,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","No","No","No","No","No","No","Yes","No","No",
"66-37-18-93",8,8,"Rural market in the neighbouring village","","Yes","MAIZE","No",,,,,,,,,,,
"77-89-79-33",7,2,"Rural market in the neighbouring village","","Yes","MAIZE","No",,,,,,,,,,,
"09-97-47-73",7,7,"Rural market in the neighbouring village","","Yes","MAIZE","Yes","No","Yes","No","No","Yes","No","No","No","No","No",
"62-45-31-86",15,15,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"96-13-78-99",30,30,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"25-35-15-07",30,30,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"10-80-25-79",,,,"",,"",,,,,,,,,,,,
"46-89-14-96",30,30,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"80-24-04-77",,,,"",,"",,,,,,,,,,,,
"26-82-89-21",30,30,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"22-43-50-27",25,25,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"41-41-55-55",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"26-69-32-41",10,4,"Market in this village","","No","","No",,,,,,,,,,,
"68-81-12-32",4,3,"Market in this village","","No","","No",,,,,,,,,,,
"46-49-14-82",15,3,"Market in this village","","No","","No",,,,,,,,,,,
"92-16-89-27",,,,"",,"",,,,,,,,,,,,
"01-28-41-84",,,,"",,"",,,,,,,,,,,,
"23-46-40-42",6,6,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"93-71-36-41",,,,"",,"",,,,,,,,,,,,
"07-56-93-09",15,15,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"40-07-12-46",,,,"",,"",,,,,,,,,,,,
"68-88-48-96",4,4,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","No","No","No","No","No","No","Yes","No","No",
"86-70-18-69",4,4,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No",
"82-09-53-31",,,,"",,"",,,,,,,,,,,,
"10-84-11-85",,,,"",,"",,,,,,,,,,,,
"93-36-47-93",,,,"",,"",,,,,,,,,,,,
"40-02-31-47",15,15,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"35-25-14-79",3,3,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"96-32-88-00",,,,"",,"",,,,,,,,,,,,
"30-07-79-13",8,8,"Market in this village","","No","","No",,,,,,,,,,,
"05-61-96-62",12,12,"Urban market (town) in this region","","Yes","MAIZE","No",,,,,,,,,,,
"37-32-16-74",7,2,"Market in this village","","No","","No",,,,,,,,,,,
"06-96-64-70",,,,"",,"",,,,,,,,,,,,
"74-21-41-84",7,2,"Market in this village","","No","","No",,,,,,,,,,,
"82-96-41-85",11,11,"Urban market (town) in this region","","Yes","MAIZE","No",,,,,,,,,,,
"58-44-33-27",,,,"",,"",,,,,,,,,,,,
"88-25-56-87",,,,"",,"",,,,,,,,,,,,
"86-98-25-96",11,11,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"09-54-26-75",,,,"",,"",,,,,,,,,,,,
"41-61-78-73",8,8,"Market in this village","","No","","No",,,,,,,,,,,
"90-86-53-30",,,,"",,"",,,,,,,,,,,,
"16-75-57-30",15,15,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"60-19-22-98",,,,"",,"",,,,,,,,,,,,
"97-29-58-98",,,,"",,"",,,,,,,,,,,,
"51-48-94-50",6,6,"Direct individuals not in a market","","Yes","MAIZE","No",,,,,,,,,,,
"97-20-59-08",11,11,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"21-43-02-41",,,,"",,"",,,,,,,,,,,,
"82-77-24-98",6,6,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"68-99-96-16",,,,"",,"",,,,,,,,,,,,
"47-95-59-62",25,4,"Market in this village","","No","","No",,,,,,,,,,,
"86-57-96-89",,,,"",,"",,,,,,,,,,,,
"68-47-81-44",,,,"",,"",,,,,,,,,,,,
"36-96-75-03",,,,"",,"",,,,,,,,,,,,
"08-94-02-07",12,150,"Direct individuals not in a market","","No","","Yes","No","Yes","No","No","Yes","No","No","No","No","No",
"37-79-35-25",,,,"",,"",,,,,,,,,,,,
"71-65-92-38",5,5,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"64-78-16-16",7,1.5,"Market in this village","","No","","No",,,,,,,,,,,
"21-44-80-94",5,5,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"09-64-46-58",8,8,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"59-85-28-37",8,8,"Market in this village","","No","","No",,,,,,,,,,,
"59-86-17-42",,,,"",,"",,,,,,,,,,,,
"19-38-28-96",,,,"",,"",,,,,,,,,,,,
"15-65-55-76",11,11,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"06-65-59-46",7,7,"Market in this village","","No","","No",,,,,,,,,,,
"31-55-25-17",,,,"",,"",,,,,,,,,,,,
"46-83-77-72",30,2,"Market in this village","","No","","No",,,,,,,,,,,
"13-16-83-24",12,12,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"55-65-07-83",4.5,4.5,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No",
"19-58-06-14",,,,"",,"",,,,,,,,,,,,
