interview__key,r_purpose_tr__id,road_4__1,road_4__2,road_4__3,road_4__4,road_4__5,road_4__6,road_4__7,road_4__8,road_4__96,road_5
"49-09-04-04","Go to the market","No","No","No","No","Yes","No","No","No","No","Once or twice a month"
"49-09-04-04","Go to school","Yes","No","No","No","Yes","No","No","No","No","Varies/don’t know"
"49-09-04-04","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Varies/don’t know"
"49-09-04-04","Got to workplace","Yes","No","No","No","Yes","No","No","No","No","Once a week or more often"
"49-09-04-04","Visit friends/ relatives","Yes","No","Yes","No","No","No","No","No","No","Less often"
"49-09-04-04","Go to the field","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"33-01-13-01","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"33-01-13-01","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"33-01-13-01","Access medical treatment","Yes","No","No","No","No","No","No","No","No","A few times a year"
"79-39-40-36","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"79-39-40-36","Got to workplace","Yes","No","No","No","No","No","No","No","No","Almost every week"
"79-39-40-36","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"65-53-51-27","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Once a week or more often"
"65-53-51-27","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"65-53-51-27","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Once or twice a month"
"64-11-62-56","Go to the market","No","No","No","No","Yes","No","No","No","No","Once a week or more often"
"64-11-62-56","Go to school","No","No","No","Yes","No","No","No","No","No","Almost every week"
"64-11-62-56","Access medical treatment","No","No","No","No","Yes","No","No","No","No","A few times a year"
"64-11-62-56","Got to workplace","No","No","No","No","Yes","No","No","No","No","Almost every week"
"79-53-04-50","Go to the market","No","No","No","No","Yes","No","No","No","No","Once or twice a month"
"79-53-04-50","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"79-53-04-50","Access medical treatment","No","No","No","No","Yes","No","No","No","No","A few times a year"
"14-13-86-20","Go to the market","Yes","No","No","No","Yes","No","No","No","No","A few times a year"
"14-13-86-20","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"14-13-86-20","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"19-99-67-92","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Once a week or more often"
"19-99-67-92","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"19-99-67-92","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Once a week or more often"
"19-99-67-92","Got to workplace","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"65-80-65-49","Go to the market","No","No","No","No","Yes","No","No","No","No","A few times a year"
"65-80-65-49","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"65-80-65-49","Access medical treatment","No","No","No","No","Yes","No","No","No","No","A few times a year"
"08-76-57-31","Go to the market","No","No","No","No","Yes","No","No","No","No","Once or twice a month"
"08-76-57-31","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Once or twice a month"
"02-57-88-54","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"02-57-88-54","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"36-87-83-91","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"99-46-97-26","Go to the market","No","No","No","No","Yes","No","No","No","No","Once a week or more often"
"99-46-97-26","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"99-46-97-26","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"76-21-46-00","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Once a week or more often"
"76-21-46-00","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Less often"
"76-21-46-00","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"63-02-11-31","Go to the market","No","No","No","No","Yes","No","No","No","No","Almost every week"
"63-02-11-31","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"63-02-11-31","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Varies/don’t know"
"63-02-11-31","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"45-95-07-81","Go to the market","Yes","Yes","No","No","No","No","No","No","No","Almost every week"
"45-95-07-81","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"45-95-07-81","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"15-84-79-29","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"15-84-79-29","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"15-84-79-29","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"52-10-39-37","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Once a week or more often"
"57-47-06-86","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"57-47-06-86","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Less often"
"70-03-65-67","Go to school","Yes","Yes","No","No","No","No","Yes","No","No","Almost every week"
"48-58-26-00","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"48-58-26-00","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"48-53-15-07","Go to the market","No","No","Yes","No","Yes","No","No","No","No","Almost every week"
"44-97-24-07","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Once or twice a month"
"44-97-24-07","Go to school","Yes","No","No","No","Yes","No","No","No","No","Almost every week"
"44-97-24-07","Access medical treatment","Yes","No","No","No","No","No","No","No","No","A few times a year"
"63-58-57-56","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"63-58-57-56","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"63-58-57-56","Access medical treatment","Yes","No","No","No","No","No","No","No","No","A few times a year"
"50-43-62-27","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"80-45-95-05","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"80-45-95-05","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"80-45-95-05","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Less often"
"63-29-07-40","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"63-29-07-40","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"54-48-29-18","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"50-16-00-20","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"50-16-00-20","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
