interview__key,ctry,region,dist,ward,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"91-09-88-25","Kenya","Baringo","Baringo South","Marigat","Kamungei","100011110105","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"53-58-51-62","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121701","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"95-92-63-73","Kenya","Baringo","Tiaty East","Churo","Churo Centre","100021032611","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"06-17-24-58","Kenya","Baringo","Tiaty East","Tangulbei","Chemakutach","100021454308","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"23-78-50-31","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121713","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"20-84-25-59","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110206","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"97-31-09-83","Kenya","Baringo","Tiaty East","Churo","Kaptuya","100021032810","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"56-22-99-66","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110202","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"05-92-75-52","Kenya","Baringo","Tiaty East","Tangulbei","Chemakutach","100021454304","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"56-78-97-61","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454101","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"89-05-59-72","Kenya","Baringo","Tiaty East","Tangulbei","Sosion","100021454215","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"50-93-16-91","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110208","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"89-68-31-84","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121710","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Head of the household",,"Yes"
"37-58-34-11","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454107","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"33-93-90-01","Kenya","Baringo","Baringo South","Marigat","Kamungei","100011110106","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"00-04-89-61","Kenya","Baringo","Tiaty East","Tangulbei","Sosion","100021454204","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"98-42-90-09","Kenya","Baringo","Tiaty East","Churo","Kaptuya","100021032805","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"81-57-29-94","Kenya","Baringo","Tiaty East","Tangulbei","Sosion","100021454211","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"55-74-55-01","Kenya","Baringo","Baringo South","Marigat","Kamungei","100011110108","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"35-03-81-94","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454108","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"87-29-60-32","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110201","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"59-04-53-64","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110212","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"82-68-38-51","Kenya","Baringo","Baringo South","Marigat","Kamungei","100011110109","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"64-96-99-21","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454104","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-02-93-74","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110203","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"56-43-23-52","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454114","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"42-33-55-75","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443802","Yes",,,"",,"No",1,"Representative of the head","Daughter-in-law","Yes"
"67-03-64-23","Kenya","Baringo","Tiaty East","Tangulbei","Sosion","100021454201","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"34-93-29-30","Kenya","Baringo","Tiaty East","Churo","Churo Centre","100021032604","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"74-55-51-40","Kenya","Baringo","Tiaty East","Tangulbei","Sosion","100021454202","Yes",,,"",,"No",1,"Representative of the head","Son","Yes"
"64-62-65-29","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110207","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"30-54-31-50","Kenya","Baringo","Tiaty East","Tangulbei","Chemakutach","100021454301","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"42-02-08-83","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443810","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"04-71-60-91","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121707","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"37-15-67-95","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454102","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"42-23-71-10","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110213","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"50-11-26-74","Kenya","Baringo","Tiaty East","Churo","Kaptuya","100021032806","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"41-04-96-60","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454106","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"64-11-10-98","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454112","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"57-81-30-05","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454110","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"88-77-78-80","Kenya","Baringo","Tiaty East","Churo","Churo Centre","100021032605","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"50-74-95-60","Kenya","Baringo","Baringo South","Marigat","Chepkerkeren","100011121607","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"99-69-07-36","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443803","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"94-52-87-82","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443811","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-65-12-21","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121307","Yes",,,"",,"No",1,"Representative of the head","Grandson","Yes"
"97-41-99-18","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443808","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"90-57-88-40","Kenya","Baringo","Tiaty East","Churo","Chepelow","100021032715","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"38-86-39-27","Kenya","Baringo","Tiaty East","Churo","Nyalilpich","100021032415","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"03-07-08-19","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454115","No","Yes","Refused","","Yes","Yes",1,"Head of the household",,"Yes"
"72-39-10-40","Kenya","Baringo","Tiaty East","Churo","Nyalilpich","100021032401","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"06-58-90-91","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454509","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"20-64-53-81","Kenya","Baringo","Tiaty East","Churo","Churo Centre","100021032603","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"64-24-49-94","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454512","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"84-08-92-59","Kenya","Baringo","Tiaty East","Churo","Chepelow","100021032709","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"80-92-01-63","Kenya","Baringo","Baringo South","Marigat","Chepkech","100011154704","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"39-04-13-87","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443814","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"12-81-58-78","Kenya","Baringo","Tiaty East","Churo","Nyalilpich","100021032408","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"07-91-23-12","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121308","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"46-43-23-18","Kenya","Baringo","Baringo South","Makutani","Eletepes","100011332005","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"48-70-52-60","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121712","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"64-66-30-53","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121303","Yes",,,"",,"No",1,"Representative of the head","Mother","Yes"
"07-19-59-75","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121702","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"03-69-84-05","Kenya","Baringo","Baringo South","Marigat","Chepkech","100011154711","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"55-07-48-89","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121704","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"84-64-87-37","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454508","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"01-15-12-42","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443807","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"99-30-86-99","Kenya","Baringo","Tiaty East","Churo","Nyalilpich","100021032403","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"43-03-84-96","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121705","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"16-96-89-30","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121312","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"26-40-62-78","Kenya","Baringo","Tiaty East","Churo","Nyalilpich","100021032407","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"45-82-95-63","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121709","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"19-12-89-41","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121306","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"86-61-90-88","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121309","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"01-74-93-41","Kenya","Baringo","Tiaty East","Churo","Churo Centre","100021032606","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"38-25-54-65","Kenya","Baringo","Tiaty East","Churo","Nyalilpich","100021032410","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"21-70-86-32","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454511","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"02-81-96-02","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121703","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"54-34-58-95","Kenya","Baringo","Baringo South","Marigat","Kamungei","100011110115","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"76-19-75-88","Kenya","Baringo","Tiaty East","Churo","Nyalilpich","100021032411","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"66-74-73-77","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443801","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"08-37-41-83","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121714","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"68-02-84-17","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121313","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"75-80-31-44","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121715","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"27-87-86-78","Kenya","Baringo","Baringo South","Marigat","Maji Ndege","100011121711","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"69-86-48-74","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121310","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"71-45-11-71","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121311","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"04-56-93-47","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454510","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"48-20-93-40","Kenya","Baringo","Baringo South","Marigat","Chepkech","100011154706","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"77-28-28-65","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454501","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"11-74-52-10","Kenya","Baringo","Tiaty East","Churo","Nyalilpich","100021032409","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
