interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"67-51-21-12",2,"Iron sheets","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"92-63-14-10",0,"Thatched grass","","Wood","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"23-95-53-31",2,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"76-83-42-25",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"34-04-41-33",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"65-40-10-81",3,"Iron sheets","","Mud with poles","","Cement screed","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"32-27-90-36",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"34-35-99-68",3,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"96-83-30-59",5,"Iron sheets","","Bricks with cement","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"08-93-39-25",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"70-80-52-20",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"98-33-69-97",2,"Iron sheets","","Bricks with cement","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"72-65-40-82",2,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"28-81-45-53",2,"Thatched grass","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"06-80-46-73",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"09-02-42-42",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"16-61-64-98",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
