interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"01-19-86-40","Wood for charcoal production",8,"Bale / Bundle","","Yes",8,"90 kg bag","","No",450,"No",,"Massive decrease","Massive decrease","","cutting down trees for charcoal burning has largely increased hence reduction"
"69-16-25-63","Firewood",300,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"69-16-25-63","Honey",5,"Debe","","Yes",5,"Debe","","No",2000,"No",,"Massive decrease","Massive decrease","","charcoal burning"
"58-95-91-31","Firewood",72,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"11-58-78-70","Firewood",72,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"11-58-78-70","Medicinal plants",12,"Basins","","Yes",12,"Basins","","Yes",200,"No",,"Slight decrease","Massive decrease","","Extinction of natural trees"
"41-24-59-26","Wood for charcoal production",200,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","increased charcoal burning"
"98-97-38-21","Firewood",300,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"92-08-97-62","Firewood",300,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"59-21-82-77","Firewood",10,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","good firewood depleted"
"59-21-82-77","Medicinal plants",2,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","few people use"
"80-20-31-51","Firewood",400,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","population increase"
"33-11-85-60","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","Increasing growth of prosopis juliflora in the area.",""
"33-11-85-60","Wood for charcoal production",20,"50 kg bag","","Yes",20,"50 kg bag","","Yes",50,"No",,"Massive increase","Massive increase","Increasing growth and spread of prosopis juliflora in the area.",""
"06-48-61-69","Firewood",240,"Bale / Bundle","","No",,,"",,,"No",,"The same","Slight increase","",""
