interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"49-10-89-14","No",,,,,,,,,,,"",,8,,"No"
"15-13-85-83","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",7,12000,"No"
"81-99-34-25","No",,,,,,,,,,,"",,16,,"No"
"96-35-08-20","No",,,,,,,,,,,"",,15,,"No"
"78-02-12-77","No",,,,,,,,,,,"",,7,,"No"
"66-37-18-93","No",,,,,,,,,,,"",,8,,"No"
"77-89-79-33","Yes","No","Yes","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Market in this village",7.5,36000,"No"
"09-97-47-73","No",,,,,,,,,,,"",,7,,"No"
"62-45-31-86","No",,,,,,,,,,,"",,15,,"No"
"96-13-78-99","No",,,,,,,,,,,"",,30,,"No"
"25-35-15-07","Yes","No","No","No","No","No","Yes","Yes","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",30,4000,"No"
"10-80-25-79","No",,,,,,,,,,,"",,32,,"No"
"46-89-14-96","No",,,,,,,,,,,"",,30,,"No"
"80-24-04-77","No",,,,,,,,,,,"",,30,,"No"
"26-82-89-21","No",,,,,,,,,,,"",,30,,"No"
"22-43-50-27","No",,,,,,,,,,,"",,25,,"No"
"41-41-55-55","No",,,,,,,,,,,"",,30,,"No"
"26-69-32-41","No",,,,,,,,,,,"",,10,,"No"
"68-81-12-32","No",,,,,,,,,,,"",,15,,"No"
"46-49-14-82","No",,,,,,,,,,,"",,15,,"No"
"92-16-89-27",,,,,,,,,,,,"",,,,
"01-28-41-84",,,,,,,,,,,,"",,,,
"23-46-40-42","No",,,,,,,,,,,"",,6,,"No"
"93-71-36-41","No",,,,,,,,,,,"",,7,,"No"
