interview__key,r_members__id,prosopis_use,prosopis_use_rank,income_use_1,who
"07-13-95-29",2,"For firewood and charcoal production",2,0,2
"07-13-95-29",2,"Fencing and building materials",3,0,1
"03-81-70-83",2,"For firewood and charcoal production",1,0,2
"03-81-70-83",2,"Fencing and building materials",2,0,1
"22-43-82-01",1,"For firewood and charcoal production",1,48000,1
"17-95-26-62",1,"Fencing and building materials",1,0,1
"86-23-74-18",2,"For firewood and charcoal production",1,0,2
"86-23-74-18",2,"Fencing and building materials",2,0,1
"90-10-35-11",1,"As a shade against the sun",2,,1
"90-10-35-11",1,"Fencing and building materials",1,0,1
"75-58-20-42",1,"For firewood and charcoal production",1,30000,1
"75-58-20-42",1,"Fencing and building materials",2,0,1
"75-58-20-42",1,"Wind protection (prevent whirl winds)",3,,1
"07-07-62-62",2,"As a shade against the sun",2,,1
"07-07-62-62",2,"For firewood and charcoal production",1,25000,2
"07-07-62-62",2,"Fencing and building materials",3,0,1
"95-10-30-55",1,"As a shade against the sun",2,,3
"95-10-30-55",1,"For firewood and charcoal production",1,30000,1
"95-10-30-55",1,"Fencing and building materials",3,0,3
"34-96-82-10",1,"As a shade against the sun",1,,1
"34-96-82-10",1,"For firewood and charcoal production",2,0,1
"34-96-82-10",1,"Fencing and building materials",3,0,1
"91-66-07-16",1,"For firewood and charcoal production",1,0,1
"91-66-07-16",1,"Fencing and building materials",2,0,1
"91-66-07-16",2,"For firewood and charcoal production",1,0,2
"91-66-07-16",2,"Wind protection (prevent whirl winds)",2,,1
"74-03-89-65",2,"As a shade against the sun",2,,5
"74-03-89-65",2,"For firewood and charcoal production",1,0,2
"66-39-11-55",1,"For firewood and charcoal production",1,2000,3
"66-39-11-55",1,"Fencing and building materials",2,0,3
"66-39-11-55",1,"Wind protection (prevent whirl winds)",3,,1
"66-39-11-55",2,"For firewood and charcoal production",1,0,2
"66-39-11-55",2,"Fencing and building materials",2,0,3
"66-39-11-55",2,"As animal fodder",3,600,2
"14-03-04-43",1,"As a shade against the sun",1,,1
"14-03-04-43",2,"As a shade against the sun",1,,1
"27-47-38-04",1,"As a shade against the sun",1,,1
"27-47-38-04",1,"For firewood and charcoal production",2,0,2
"27-47-38-04",1,"Fencing and building materials",3,0,1
"27-47-38-04",2,"As a shade against the sun",1,,1
"27-47-38-04",2,"For firewood and charcoal production",2,0,2
"27-47-38-04",2,"Fencing and building materials",3,0,1
"05-86-89-30",2,"As a shade against the sun",1,,1
"05-86-89-30",2,"For firewood and charcoal production",2,5000,1
"05-86-89-30",2,"Fencing and building materials",3,0,1
"05-86-89-30",3,"As a shade against the sun",1,,2
"05-86-89-30",3,"For firewood and charcoal production",2,0,3
"27-91-30-19",1,"Nothing, no use for me",1,,1
"27-91-30-19",2,"Nothing, no use for me",1,,2
"49-11-32-04",1,"As a shade against the sun",1,,2
"49-11-32-04",1,"For firewood and charcoal production",2,0,1
"49-11-32-04",1,"As animal fodder",3,0,2
"49-11-32-04",2,"As a shade against the sun",1,,2
"49-11-32-04",2,"For firewood and charcoal production",2,0,1
"49-11-32-04",2,"As animal fodder",3,0,2
"53-42-52-41",1,"Nothing, no use for me",1,,1
"62-58-98-18",1,"As a shade against the sun",1,,1
"10-26-36-54",1,"For firewood and charcoal production",1,0,1
"10-26-36-54",1,"Fencing and building materials",2,0,1
"10-26-36-54",2,"As a shade against the sun",3,,2
"10-26-36-54",2,"For firewood and charcoal production",2,0,2
"10-26-36-54",2,"Fencing and building materials",1,0,1
"29-40-66-47",1,"For firewood and charcoal production",1,10000,1
"29-40-66-47",1,"Fencing and building materials",2,0,1
"29-40-66-47",2,"As a shade against the sun",1,,2
"29-40-66-47",2,"For firewood and charcoal production",2,5000,1
"29-40-66-47",2,"Fencing and building materials",3,0,1
"18-40-35-80",1,"For firewood and charcoal production",2,0,2
"18-40-35-80",1,"Fencing and building materials",1,0,1
"18-40-35-80",1,"As animal fodder",3,0,1
"18-40-35-80",2,"As a shade against the sun",3,,6
"18-40-35-80",2,"For firewood and charcoal production",1,0,2
"18-40-35-80",2,"Fencing and building materials",2,0,1
"79-71-02-69",1,"As a shade against the sun",2,,2
"79-71-02-69",1,"For firewood and charcoal production",1,0,1
"79-71-02-69",1,"Fencing and building materials",3,0,2
"91-40-38-85",2,"Fencing and building materials",1,0,1
"29-88-28-45",1,"For firewood and charcoal production",1,0,1
"29-88-28-45",1,"Fencing and building materials",2,0,2
"29-88-28-45",2,"For firewood and charcoal production",1,0,1
"29-88-28-45",2,"Fencing and building materials",2,0,2
"56-67-61-31",1,"As a shade against the sun",1,,1
"76-83-42-25",2,"Fencing and building materials",1,0,1
"34-35-99-68",2,"As a shade against the sun",1,,2
"34-35-99-68",2,"For firewood and charcoal production",3,1200,2
"34-35-99-68",2,"Wind protection (prevent whirl winds)",2,,2
"34-35-99-68",6,"For firewood and charcoal production",1,0,6
"34-35-99-68",6,"Fencing and building materials",2,0,6
"34-35-99-68",6,"Wind protection (prevent whirl winds)",3,,2
"96-83-30-59",1,"Fencing and building materials",1,0,1
"96-83-30-59",2,"Fencing and building materials",1,0,1
"08-93-39-25",1,"As a shade against the sun",1,,1
"08-93-39-25",1,"For firewood and charcoal production",2,0,1
"08-93-39-25",1,"Fencing and building materials",3,0,1
"08-93-39-25",2,"As a shade against the sun",1,,1
"08-93-39-25",2,"For firewood and charcoal production",2,0,2
"08-93-39-25",2,"Fencing and building materials",3,0,1
"70-80-52-20",2,"For firewood and charcoal production",1,0,2
"16-61-64-98",1,"As a shade against the sun",3,,1
"16-61-64-98",1,"For firewood and charcoal production",1,0,1
"16-61-64-98",1,"Fencing and building materials",2,0,1
"39-38-75-31",1,"As a shade against the sun",1,,6
"39-38-75-31",1,"For firewood and charcoal production",2,0,1
"29-08-77-29",1,"For firewood and charcoal production",1,60000,1
"29-08-77-29",1,"Fencing and building materials",2,0,1
"29-08-77-29",1,"Other, specify",3,,1
"14-85-47-22",1,"As a shade against the sun",1,,1
"14-85-47-22",1,"For firewood and charcoal production",2,0,1
"14-85-47-22",1,"Fencing and building materials",3,0,2
"14-85-47-22",2,"As a shade against the sun",1,,2
"14-85-47-22",2,"For firewood and charcoal production",2,0,1
"14-85-47-22",2,"Fencing and building materials",3,0,1
"53-81-07-04",1,"For firewood and charcoal production",1,0,2
"53-81-07-04",1,"Fencing and building materials",2,0,2
"53-81-07-04",2,"Fencing and building materials",1,0,2
"53-81-07-04",2,"Placing bee hives for honey production",2,0,2
"44-56-27-24",2,"As a shade against the sun",1,,1
"44-56-27-24",2,"For firewood and charcoal production",2,60000,2
"44-56-27-24",2,"Fencing and building materials",3,0,1
"44-56-27-24",3,"As a shade against the sun",1,,1
"44-56-27-24",3,"For firewood and charcoal production",2,60000,2
"44-56-27-24",3,"Fencing and building materials",3,0,1
"67-01-06-94",1,"As a shade against the sun",3,,1
"67-01-06-94",1,"For firewood and charcoal production",1,24000,1
"67-01-06-94",1,"Fencing and building materials",2,0,1
"89-42-22-50",2,"For firewood and charcoal production",2,0,2
"89-42-22-50",2,"Fencing and building materials",1,0,1
"89-49-22-36",1,"As a shade against the sun",1,,1
"89-49-22-36",1,"For firewood and charcoal production",2,0,1
"89-49-22-36",1,"Fencing and building materials",3,0,1
"89-49-22-36",2,"As a shade against the sun",2,,2
"89-49-22-36",2,"For firewood and charcoal production",1,0,2
"89-49-22-36",2,"Fencing and building materials",3,0,1
"84-72-64-66",1,"Fencing and building materials",1,0,1
"84-72-64-66",2,"For firewood and charcoal production",1,0,2
"22-88-22-30",1,"As a shade against the sun",1,,1
"22-88-22-30",1,"For firewood and charcoal production",2,144000,1
"22-88-22-30",1,"Fencing and building materials",3,0,1
"21-75-94-85",1,"As a shade against the sun",1,,2
"21-75-94-85",1,"For firewood and charcoal production",2,0,1
"50-77-28-73",2,"As a shade against the sun",1,,1
"50-77-28-73",2,"For firewood and charcoal production",2,0,2
"42-38-30-13",2,"As a shade against the sun",3,,1
"42-38-30-13",2,"For firewood and charcoal production",1,20000,2
"42-38-30-13",2,"Fencing and building materials",2,0,1
"42-38-30-13",3,"As a shade against the sun",1,,1
"42-38-30-13",3,"For firewood and charcoal production",2,20000,2
"42-38-30-13",3,"Fencing and building materials",3,0,1
"49-72-13-69",1,"As a shade against the sun",3,,1
"49-72-13-69",1,"For firewood and charcoal production",1,144000,2
"49-72-13-69",1,"Fencing and building materials",2,0,2
"49-72-13-69",2,"For firewood and charcoal production",1,144000,2
"49-72-13-69",2,"Fencing and building materials",2,0,2
"72-23-50-93",2,"For firewood and charcoal production",1,0,2
"72-23-50-93",2,"Fencing and building materials",2,0,1
"65-04-66-76",1,"As a shade against the sun",3,,1
"65-04-66-76",1,"For firewood and charcoal production",1,30000,1
"65-04-66-76",1,"Fencing and building materials",2,0,1
"65-04-66-76",2,"As a shade against the sun",3,,1
"65-04-66-76",2,"For firewood and charcoal production",1,12000,2
"65-04-66-76",2,"Fencing and building materials",2,0,1
"95-05-18-77",1,"For firewood and charcoal production",1,0,1
"95-05-18-77",1,"Fencing and building materials",2,0,1
"95-05-18-77",1,"As animal fodder",3,0,1
"61-21-03-67",2,"As a shade against the sun",3,,1
"61-21-03-67",2,"For firewood and charcoal production",1,40000,2
"61-21-03-67",2,"Fencing and building materials",2,0,1
"97-14-88-73",1,"For firewood and charcoal production",2,0,2
"97-14-88-73",1,"Fencing and building materials",1,0,1
"97-14-88-73",2,"For firewood and charcoal production",2,0,2
"97-14-88-73",2,"Fencing and building materials",1,0,1
"94-73-96-31",2,"For firewood and charcoal production",1,1000,1
"94-73-96-31",2,"Fencing and building materials",2,0,1
"94-73-96-31",2,"Wind protection (prevent whirl winds)",3,,1
"94-73-96-31",6,"As a shade against the sun",2,,2
"94-73-96-31",6,"For firewood and charcoal production",1,0,2
"94-73-96-31",6,"Fencing and building materials",3,0,1
"21-46-54-95",2,"As a shade against the sun",3,,1
"21-46-54-95",2,"For firewood and charcoal production",1,500,2
"21-46-54-95",2,"Fencing and building materials",2,0,1
"21-46-54-95",3,"As a shade against the sun",3,,1
"21-46-54-95",3,"For firewood and charcoal production",1,30000,1
"21-46-54-95",3,"Fencing and building materials",2,0,1
"16-50-24-00",2,"For firewood and charcoal production",1,0,2
