interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"35-78-11-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-25-98-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-00-12-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-38-59-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-77-14-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-52-21-75","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,200,,,,,,,,,,
"49-10-89-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-13-85-83","Yes","Yes",,"Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"81-99-34-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-35-08-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-02-12-77","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","No","No","No","No",,3000,,,,,,,,,,
"66-37-18-93","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"77-89-79-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-97-47-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-45-31-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-13-78-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-35-15-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-80-25-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-89-14-96","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-24-04-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-82-89-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-43-50-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-41-55-55","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-69-32-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"68-81-12-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-49-14-82","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"92-16-89-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-28-41-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"23-46-40-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-71-36-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-56-93-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-07-12-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
