interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"49-75-44-53","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"35-67-10-08","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"12-79-91-83","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"19-90-00-01","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"29-86-40-08","No","No","Yes","Yes","Yes",2500,"No","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"10-69-61-22","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"73-57-30-20","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"98-91-04-48","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"74-01-41-82","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"30-00-59-90","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"66-77-39-39","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"35-78-11-70","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"75-25-98-04","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-00-12-98","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"13-38-59-03","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"26-77-14-31","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"04-52-21-75","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"49-10-89-14","Yes","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"15-13-85-83","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"81-99-34-25","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"96-35-08-20","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"78-02-12-77","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"66-37-18-93","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"77-89-79-33","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"09-97-47-73","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"62-45-31-86","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"96-13-78-99","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"25-35-15-07","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"10-80-25-79","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"46-89-14-96","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"80-24-04-77","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"26-82-89-21","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"22-43-50-27","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"41-41-55-55","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"26-69-32-41","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"68-81-12-32","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"46-49-14-82","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"92-16-89-27","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"01-28-41-84","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"23-46-40-42","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"93-71-36-41","No","No","Yes","Yes","Yes",1000,"Yes","No","Yes","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"07-56-93-09","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"40-07-12-46","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"68-88-48-96","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"86-70-18-69","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"82-09-53-31","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"10-84-11-85","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"93-36-47-93","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"40-02-31-47","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"35-25-14-79","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"96-32-88-00","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"30-07-79-13","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"05-61-96-62","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"37-32-16-74","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"06-96-64-70","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"74-21-41-84","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"82-96-41-85","No","No","Yes","Yes","Yes",1500,"Yes","Yes","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"58-44-33-27","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"88-25-56-87","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"86-98-25-96","Yes","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"09-54-26-75","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"41-61-78-73","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"90-86-53-30","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"16-75-57-30","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"60-19-22-98","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"97-29-58-98","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"51-48-94-50","Yes","Yes","Yes","Yes","Yes",20000,"Yes","No","Yes","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"97-20-59-08","Yes","Yes","Yes","Yes","Yes",1000,"Yes","No","No","No","No","No","Yes","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"21-43-02-41","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"82-77-24-98","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"68-99-96-16","Yes","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"47-95-59-62","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"86-57-96-89","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"68-47-81-44","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"36-96-75-03","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"08-94-02-07","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"37-79-35-25","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
