interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"64-69-72-73","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried"
"25-20-08-58","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Extremely worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Extremely worried","Very worried"
"12-04-44-96","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","strongly trust","trust","trust","trust","Worried","Worried","Very worried","Very worried","Very worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"97-37-09-60","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","indifferent","strongly trust","trust","trust","strongly trust","Not at all worried","Extremely worried","Extremely worried","Very worried","Extremely worried","Extremely worried","Very worried","Extremely worried","Extremely worried","Extremely worried"
"26-04-59-05","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Disagree","Strongly agree","Disagree","Indifferent (neither nor)","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Indifferent (neither nor)","Disagree","indifferent","indifferent","strongly distrust","distrust","indifferent","Extremely worried","Very worried","Extremely worried","Extremely worried","Very worried","Worried","Very worried","Very worried","Extremely worried","Worried"
"98-27-33-85","Strongly agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","indifferent","trust","indifferent","trust","strongly trust","Worried","Worried","Extremely worried","Very worried","Very worried","Slightly worried","Very worried","Worried","Not at all worried","Not at all worried"
"65-84-88-76","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","strongly trust","strongly trust","trust","trust","trust","Very worried","Very worried","Very worried","Very worried","Worried","Worried","Not at all worried","Slightly worried","Not at all worried","Worried"
"88-58-36-62","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Not at all worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried"
"68-07-50-59","Agree","Agree","Disagree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Slightly worried","Worried","Worried","Slightly worried","Slightly worried","Worried","Slightly worried","Slightly worried"
"69-15-02-37","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","trust","trust","distrust","distrust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Slightly worried","Very worried","Slightly worried"
