interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"65-53-51-27","Dirt road/ bush road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,5,"Yes","No",,"No",,,,,,"No","No","No","No","No","No","Yes","No",,,"No","No","No","No","Yes","No",
"64-11-62-56","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"79-53-04-50","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"14-13-86-20","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","Yes","No","No","No",,30,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"19-99-67-92","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","Yes",
"65-80-65-49","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"08-76-57-31","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"02-57-88-54","Murram/ gravel road","Almost not passable","Yes","Yes","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"36-87-83-91","Murram/ gravel road","Well passable","Yes","No","No","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"99-46-97-26","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","Yes","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"Yes","Yes","No","No","No","No",
"76-21-46-00","Murram/ gravel road","Well passable","Yes","No","Yes","No","Yes","No","No","No",,5,"Yes","Yes","Yes","No",,,,,,"Yes","Yes","No","Yes","No","No","No","No",,"Yes","Yes","No","No","No","No","No",
"63-02-11-31","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,1,"Yes","No",,"No",,,,,,"Yes","Yes","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"45-95-07-81","Murram/ gravel road","Almost not passable","Yes","Yes","Yes","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"15-84-79-29","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"52-10-39-37","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,80,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"57-47-06-86","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"70-03-65-67","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","No","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"48-58-26-00","Dirt road/ bush road","Almost not passable","Yes","No","Yes","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"48-53-15-07","Tarmac road","Well passable","Yes","No","No","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"44-97-24-07","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,15,"Yes","No",,"No",,,,,,"Yes","Yes","No","No","Yes","No","No","No",,"Yes","Yes","No","No","No","No","No",
"63-58-57-56","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
