interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"74-04-26-51",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 50s",1,1
"74-04-26-51",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Tugen","","In their 30s",5,5
"74-04-26-51",3,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 50s",25,20
"37-83-74-10",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",4,2
"37-83-74-10",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Ilchamus","","In their 60s",30,15
"37-83-74-10",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Ilchamus","","In their 20s",3,4
"39-40-38-02",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",30,15
"39-40-38-02",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",8,8
"39-40-38-02",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Ilchamus","","In their 60s",16,16
"14-71-87-39",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Ilchamus","","In their 50s",20,5
"14-71-87-39",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Ilchamus","","In their 40s",20,2
"14-71-87-39",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Ilchamus","","In their 40s",18,3
"86-00-55-84",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Ilchamus","","In their 50s",10,1
"86-00-55-84",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",25,10
"86-00-55-84",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",22,10
"76-73-19-09",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Tugen","","In their 60s",30,15
