interview__key,ctry,region,dist,village,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"99-41-30-80","Zambia","Western province","Sioma","Sikanda","Sioma 2","100034010","Yes",,,"",,"No",1,"Representative of the head","Granddaughter","Yes"
"71-06-23-24","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032804","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"89-01-00-04","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033507","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"00-37-37-14","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032808","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"74-41-47-70","Zambia","Western province","Sioma","kalongola","Nangweshi 2","100033505","No","Yes","Household not found","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"52-43-66-41","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033506","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"83-13-77-99","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032813","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"61-91-44-04","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033510","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"61-31-17-62","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032809","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"01-73-77-56","Zambia","Western province","Sioma","Lisabelo","Mbume 2","100033109","No","Yes","Household not found","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"47-87-04-23","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033511","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"46-77-22-22","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033509","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"54-46-59-23","Zambia","Western province","Sioma","Sikanda","Sioma 2","100034014","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"47-72-11-03","Zambia","Western province","Sioma","Lisabelo","Mbume 2","100033110","No","Yes","Household not found","","Yes","Yes",1,"Head of the household",,"Yes"
"75-19-56-83","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032811","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"17-63-18-37","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033508","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-67-78-55","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033504","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"57-94-56-04","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033115","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"50-78-72-42","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033111","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"39-32-15-43","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032602","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"83-43-24-20","Zambia","Western province","Sioma","Kabula","Mbume 2","100033112","No","Yes","Household not found","","Yes","Yes",1,"Representative of the head","Daughter","Yes"
"86-15-33-66","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033114","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"44-68-45-91","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033104","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"92-79-83-19","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033101","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"84-11-52-01","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033108","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"04-80-79-59","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033105","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"86-90-94-39","Zambia","Western province","Sioma","Naluwe","Nangweshi 1","100033410","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"60-18-28-01","Zambia","Western province","Sioma","Sipo","Nangweshi 1","100033409","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"95-75-71-60","Zambia","Western province","Sioma","Nalwashi","Sikabenga 1","100033702","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"92-06-91-29","Zambia","Western province","Sioma","Namaole","Sikabenga 1","100033704","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"54-44-90-07","Zambia","Western province","Sioma","Namaole","Sikabenga 1","100033713","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"03-23-51-60","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033113","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"00-90-52-98","Zambia","Western province","Sioma","Mulondo","Nalwashi 2","100033315","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"94-81-42-69","Zambia","Western province","Sioma","Mulondo","Nalwashi 2","100033313","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"93-63-81-71","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032803","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"98-80-95-52","Zambia","Western province","Sioma","Mbopoma","Nalwashi 1","100033209","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"43-02-26-99","Zambia","Western province","Sioma","Mbopoma","Nalwashi 1","100033201","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"53-75-34-84","Zambia","Western province","Sioma","Sipo","Nangweshi 1","100033404","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"27-49-80-27","Zambia","Western province","Sioma","Nande","Sikabenga 1","100033707","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"33-72-39-68","Zambia","Western province","Sioma","Sipo","Nangweshi 1","100033403","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"17-79-25-12","Zambia","Western province","Sioma","Mbopoma","Nalwashi 1","100033202","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"74-51-58-80","Zambia","Western province","Sioma","Naluwe","Nangweshi 1","100033414","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"22-03-45-06","Zambia","Western province","Sioma","Mulondo","Nalwashi 2","100033303","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"29-14-83-70","Zambia","Western province","Sioma","Mbopoma","Nalwashi 1","100033204","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"54-67-39-05","Zambia","Western province","Sioma","Naluwe","Nangweshi 1","100033412","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"72-58-55-05","Zambia","Western province","Sioma","Namboma","Nalwashi 2","100033309","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"04-15-15-88","Zambia","Western province","Sioma","Sipo","Nangweshi 1","100033406","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"27-95-56-36","Zambia","Western province","Sioma","Nande","Sikabenga 1","100033710","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"53-49-41-59","Zambia","Western province","Sioma","Kahonono","Nalwashi 1","100033211","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"39-17-22-92","Zambia","Western province","Sioma","Sipo","Nangweshi 1","100033405","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"74-39-55-58","Zambia","Western province","Sioma","Sipo","Nangweshi 1","100033407","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"26-22-03-23","Zambia","Western province","Sioma","Sipo","Nangweshi 1","100033402","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"09-03-01-05","Zambia","Western province","Sioma","Kabula","Nalwashi 2","100033310","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"15-07-16-66","Zambia","Western province","Sioma","Kahonono","Nalwashi 1","100033213","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"06-67-11-07","Zambia","Western province","Sioma","Nande","Sikabenga 1","100033708","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"66-85-51-19","Zambia","Western province","Sioma","Sipo","Nangweshi 1","100033401","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"62-23-34-43","Zambia","Western province","Sioma","Nande","Sikabenga 1","100033706","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"40-89-37-32","Zambia","Western province","Sioma","Kawonono","Nalwashi 1","100033214","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"47-88-11-20","Zambia","Western province","Sioma","Kawonono","Nalwashi 1","100033215","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"92-32-27-35","Zambia","Western province","Sioma","Nalwashi","Sikabenga 1","100033714","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"67-30-34-31","Zambia","Western province","Sioma","Naluwe","Nangweshi 1","100033411","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"41-24-19-16","Zambia","Western province","Sioma","Namaole","Sikabenga 1","100033703","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"45-68-78-48","Zambia","Western province","Sioma","Naluwe","Nangweshi 1","100033415","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"02-28-32-41","Zambia","Western province","Sioma","Mbopoma","Nalwashi 1","100033208","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"42-76-32-22","Zambia","Western province","Sioma","Lisheko","Nalwashi 2","100033304","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"79-53-86-42","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033107","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"27-88-22-86","Zambia","Western province","Sioma","Namaole","Sikabenga 1","100033715","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"92-15-50-98","Zambia","Western province","Sioma","Kashukwa","Nalwashi 1","100033205","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"59-62-31-80","Zambia","Western province","Sioma","Kabula","Nalwashi 2","100033311","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-99-50-88","Zambia","Western province","Sioma","Nalwashi","Sikabenga 1","100033711","No","Yes","Household moved to a neighboring country","","Yes","Yes",1,"Head of the household",,"Yes"
"44-25-16-47","Zambia","Western province","Sioma","Mbopoma","Nalwashi 1","100033206","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"59-82-52-95","Zambia","Western province","Sioma","Lisheko","Nalwashi 2","100033306","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"74-78-76-52","Zambia","Western province","Sioma","Nalwashi","Sikabenga 1","100033716","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"83-63-78-61","Zambia","Western province","Sioma","Mulondo","Nalwashi 2","100033302","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"38-59-12-03","Zambia","Western province","Sioma","Nalwashi","Sikabenga 1","100033701","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"52-04-43-36","Zambia","Western province","Sioma","Mbopoma","Nalwashi 1","100033210","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"13-43-00-98","Zambia","Western province","Sioma","Nalwashi","Sikabenga 1","100033712","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"52-45-15-44","Zambia","Western province","Sioma","sipo","Nangweshi 1","100033408","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Head of the household",,"Yes"
"84-06-43-96","Zambia","Western province","Sioma","Lisheko","Nalwashi 2","100033305","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"85-25-67-57","Zambia","Western province","Sioma","Kabula","Nalwashi 2","100033312","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"99-71-69-71","Zambia","Western province","Sioma","Kawonono","Nalwashi 1","100033212","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"90-84-04-84","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033103","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"75-65-72-44","Zambia","Western province","Sioma","Mulondo","Nalwashi 2","100033301","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"56-76-80-56","Zambia","Western province","Sioma","Naluwe","Nangweshi 1","100033413","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"95-24-62-42","Zambia","Western province","Sioma","Lisheko","Nalwashi 2","100033307","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"42-51-00-37","Zambia","Western province","Sioma","Mbopoma","Nalwashi 1","100033207","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-23-13-87","Zambia","Western province","Sioma","Mbopoma","Nalwashi 1","100033203","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"70-84-37-07","Zambia","Western province","Sioma","Lisheko","Nalwashi 2","100033308","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"99-94-97-40","Zambia","Western province","Sioma","Maungo","Mbeta","100032906","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"40-68-37-93","Zambia","Western province","Sioma","Lisabelo","Mbume 1","100033015","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"08-64-31-45","Zambia","Western province","Sioma","Namakulu","Mbume 1","100033011","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"24-71-47-80","Zambia","Western province","Sioma","Lwenga","Sikabenga 3","100033615","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"53-67-73-98","Zambia","Western province","Sioma","Ngubu","Sikabenga 2","100033801","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"89-30-04-89","Zambia","Western province","Sioma","Nezile","Sikabenga 3","100033613","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"85-35-76-75","Zambia","Western province","Sioma","Namakulu","Mbume 1","100033010","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"34-78-22-26","Zambia","Western province","Sioma","Lisabelo","Mbume 1","100033005","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"59-51-95-60","Zambia","Western province","Sioma","Lisabelo","Mbume 1","100033006","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"22-44-88-72","Zambia","Western province","Sioma","Lisheko","Nalwashi 2","100033314","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"35-56-47-30","Zambia","Western province","Sioma","Lisabelo","Mbume 1","100033014","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"43-44-87-36","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032710","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"25-90-73-61","Zambia","Western province","Sioma","Lisabelo","Mbume 1","100033004","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"00-81-85-48","Zambia","Western province","Sioma","Maungo","Mbeta","100032914","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"82-05-74-76","Zambia","Western province","Sioma","Ngubu","Sikabenga 2","100033804","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"69-02-12-40","Zambia","Western province","Sioma","Mulele","Sikabenga 2","100033809","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"68-49-12-16","Zambia","Western province","Sioma","Lushobenga","Mbume 1","100033016","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"47-72-15-93","Zambia","Western province","Sioma","Lisabelo","Mbume 1","100033013","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"46-77-79-60","Zambia","Western province","Sioma","Kachola","Mbeta","100032907","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"54-41-53-68","Zambia","Western province","Sioma","Kushobenga","Mbume 1","100033001","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"35-84-29-80","Zambia","Western province","Sioma","Maungo","Mbeta","100032910","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"82-89-49-08","Zambia","Western province","Sioma","Lushobenga","Mbume 1","100033003","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"13-17-77-46","Zambia","Western province","Sioma","Namakondo","Mbeta","100032908","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"87-42-29-56","Zambia","Western province","Sioma","Nande","Sikabenga 1","100033705","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"24-84-60-85","Zambia","Western province","Sioma","Namakondo","Mbeta","100032915","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"78-85-83-52","Zambia","Western province","Sioma","Nakatapa","Sioma 2","100034004","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"78-33-54-01","Zambia","Western province","Sioma","Maungo","Mbeta","100032904","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"54-69-71-08","Zambia","Western province","Sioma","Ngubu","Sikabenga 2","100033814","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"30-10-42-29","Zambia","Western province","Sioma","Namakulu 2","Mbume 1","100033007","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"52-71-69-48","Zambia","Western province","Sioma","Ngubu","Sikabenga 2","100033808","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"88-38-32-86","Zambia","Western province","Sioma","Munguli","Sioma 2","100034008","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"78-51-51-91","Zambia","Western province","Sioma","Lushako/Namakulu","Mbume 1","100033008","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"98-42-68-21","Zambia","Western province","Sioma","Litawa","Mbeta","100032905","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"23-92-64-64","Zambia","Western province","Sioma","Maungo","Mbeta","100032909","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"33-60-76-52","Zambia","Western province","Sioma","Lushobenga","Mbume 1","100033002","Yes",,,"",,"No",1,"Representative of the head","Daughter-in-law","Yes"
"99-53-97-21","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033102","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"35-30-07-09","Zambia","Western province","Sioma","Mungo","Mbeta","100032903","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"84-39-86-14","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032703","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"33-93-88-48","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032713","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"93-94-24-13","Zambia","Western province","Sioma","Lwenga","Sikabenga 3","100033601","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"02-86-42-10","Zambia","Western province","Sioma","Ngubu","Sikabenga 2","100033811","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"18-90-95-90","Zambia","Western province","Sioma","Kabula 2","Mbume 2","100033106","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"71-80-40-68","Zambia","Western province","Sioma","Maungo","Mbeta","100032912","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"03-80-12-55","Zambia","Western province","Sioma","Lwenga","Sikabenga 3","100033604","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"03-05-82-85","Zambia","Western province","Sioma","Ngubu","Sikabenga 2","100033803","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"96-34-34-83","Zambia","Western province","Sioma","Maungo","Mbeta","100032911","No","Yes","Household moved to a neighboring country","","Yes","Yes",1,"Head of the household",,"Yes"
"84-86-67-50","Zambia","Western province","Sioma","Namakulu","Mbume 1","100033012","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"65-50-61-63","Zambia","Western province","Sioma","Ngubu","Sikabenga 2","100033812","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"14-25-07-27","Zambia","Western province","Sioma","Kawaile","Sikabenga 1","100033709","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"95-81-39-58","Zambia","Western province","Sioma","Maungo","Mbeta","100032913","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"63-48-87-87","Zambia","Western province","Sioma","Namakulu","Mbume 1","100033009","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"49-38-87-08","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032715","No","Yes","Household not found","","Yes","Yes",1,"Head of the household",,"Yes"
"56-09-22-69","Zambia","Western province","Sioma","Ñubu","Sikabenga 2","100033807","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"52-67-58-90","Zambia","Western province","Sioma","Lwenga","Sikabenga 3","100033606","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"61-51-30-74","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032712","No","Yes","Household moved to a neighboring country","","Yes","Yes",1,"Head of the household",,"Yes"
"90-75-70-65","Zambia","Western province","Sioma","Ngubu","Sikabenga 2","100033802","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"70-34-30-04","Zambia","Western province","Sioma","Maungo","Mbeta","100032902","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"00-18-21-78","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032705","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"80-41-37-09","Zambia","Western province","Sioma","Lwenga","Sikabenga 3","100033614","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"62-10-09-84","Zambia","Western province","Sioma","Lwenga","Sikabenga 3","100033605","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"16-01-99-93","Zambia","Western province","Sioma","Nakatapa","Sioma 2","100034001","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"91-31-71-31","Zambia","Western province","Sioma","Lwenga","Sikabenga 3","100033607","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"14-78-47-78","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032708","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"07-03-43-18","Zambia","Western province","Sioma","Maungo","Mbeta","100032901","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"87-80-74-34","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032714","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"39-19-95-41","Zambia","Western province","Sioma","Mulele","Sikabenga 2","100033815","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"13-94-38-36","Zambia","Western province","Sioma","Mulele","Sikabenga 2","100033813","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"64-10-30-77","Zambia","Western province","Sioma","Ngubu","Sikabenga 2","100033806","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"98-88-46-23","Zambia","Western province","Sioma","Shilongo","Liwandamo 1","100032711","Yes",,,"",,"No",1,"Representative of the head","Nephew","Yes"
"35-26-63-26","Zambia","Western province","Sioma","Lwenga","Sikabenga 3","100033602","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"77-44-63-61","Zambia","Western province","Sioma","Nezile","Sikabenga 3","100033611","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"26-64-90-32","Zambia","Western province","Sioma","Ngubu","Sikabenga 2","100033805","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"15-44-39-66","Zambia","Western province","Sioma","Nezile","Sikabenga 3","100033609","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"97-96-32-80","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032704","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"65-28-62-87","Zambia","Western province","Sioma","Chanziba","Liwandamo 1","100032702","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"91-95-41-16","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032701","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"65-02-00-05","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032706","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"48-22-83-32","Zambia","Western province","Sioma","Mulele","Sikabenga 2","100033810","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"53-04-96-58","Zambia","Western province","Sesheke","Situnga","Lusu 2","100012308","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"93-77-89-30","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033503","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"03-06-71-34","Zambia","Western province","Sioma","Namazila","Sikabenga 3","100033608","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"38-24-53-68","Zambia","Western province","Sesheke","Namande","Silumbu","100012408","No","Yes","None at home for extended amount of time","","Yes","Yes",1,"Head of the household",,"Yes"
"76-44-39-80","Zambia","Western province","Sesheke","Kashalo","Imusho","100011514","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"17-98-15-90","Zambia","Western province","Sioma","Nezile","Sikabenga 3","100033610","No","Yes","Other (Specify)","Deceased","Yes","Yes",1,"Head of the household",,"Yes"
"43-89-48-48","Zambia","Western province","Sioma","Lwenga","Sikabenga 3","100033603","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"46-95-44-44","Zambia","Western province","Sesheke","Kabuyu","Kalobelelwa 2","100011704","No","Yes","Other (Specify)","Deceased","Yes","Yes",1,"Head of the household",,"Yes"
"79-36-03-31","Zambia","Western province","Sesheke","Ibolokwa","Kalobelelwa 2","100011703","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"37-08-68-08","Zambia","Western province","Sesheke","Kashalo","Imusho","100011503","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"76-66-08-56","Zambia","Western province","Sioma","Mashombo","Liwandamo 1","100032707","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"84-78-41-82","Zambia","Western province","Sesheke","Kashalo","Imusho","100011515","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"33-73-65-41","Zambia","Western province","Sesheke","Mbilika","Luampungu 2","100012102","No","Yes","None at home for extended amount of time","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"15-05-96-27","Zambia","Western province","Sesheke","Kashalo","Imusho","100011508","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"04-08-02-81","Zambia","Western province","Sioma","Nezile","Sikabenga 3","100033612","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"48-12-37-19","Zambia","Western province","Sesheke","Kashalo","Imusho","100011504","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"99-22-87-46","Zambia","Western province","Sesheke","Manchebo","Lusu 2","100012301","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"05-46-14-17","Zambia","Western province","Sesheke","Kashalo","Imusho","100011509","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"21-68-94-15","Zambia","Western province","Sioma","Sikanda","Sioma 2","100034011","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"40-56-04-29","Zambia","Western province","Sesheke","Kashalo","Imusho","100011506","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"58-04-84-61","Zambia","Western province","Sioma","Nakatapa","Sioma 2","100034003","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"92-36-21-21","Zambia","Western province","Sesheke","Kashalo","Imusho","100011512","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"14-57-41-87","Zambia","Western province","Sesheke","Kashalo","Imusho","100011513","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"96-30-76-58","Zambia","Western province","Sesheke","Kashalo","Imusho","100011501","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"94-10-09-72","Zambia","Western province","Sesheke","Kashalo","Imusho","100011507","No","Yes","Household moved to a neighboring country","","Yes","Yes",1,"Head of the household",,"Yes"
"63-44-25-02","Zambia","Western province","Sesheke","Kashalo","Imusho","100011511","Yes",,,"",,"No",1,"Representative of the head","Granddaughter","Yes"
"66-67-56-06","Zambia","Western province","Sesheke","Kashalo","Imusho","100011502","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"61-94-69-82","Zambia","Western province","Sesheke","Kashalo","Imusho","100011510","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"72-52-17-18","Zambia","Western province","Sesheke","Kashalo","Imusho","100011505","Yes",,,"",,"No",1,"Head of the household",,"Yes"
