interview__key,ctry,region,dist,village,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"57-74-38-33","Zambia","Western province","Sesheke","Kabuyu","Kalobelelwa 2","100011708","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"65-24-72-96","Zambia","Western province","Sesheke","Kabuyu","Kalobelelwa 2","100011705","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"67-69-19-83","Zambia","Western province","Sesheke","Situnga","Lusu 2","100012314","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"65-02-79-39","Zambia","Western province","Sesheke","Ofisimanchebu","Lusu 2","100012303","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Head of the household",,"Yes"
"36-55-19-74","Zambia","Western province","Sesheke","Kabuyu","Kalobelelwa 2","100011706","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"02-47-11-50","Zambia","Western province","Sesheke","Situnga","Lusu 2","100012307","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"34-55-62-08","Zambia","Western province","Sesheke","Ibolokwa","Kalobelelwa 2","100011702","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"21-53-06-24","Zambia","Western province","Sesheke","Namutondo","Kalobelelwa 2","100011715","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"54-20-19-80","Zambia","Western province","Sesheke","Namutondo","Kalobelelwa 2","100011711","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"77-37-06-75","Zambia","Western province","Sesheke","Situnga","Lusu 2","100012315","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"17-29-45-21","Zambia","Western province","Sesheke","Kabuyu","Kalobelelwa 2","100011707","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"14-98-54-79","Zambia","Western province","Sesheke","Kabuyu","Kalobelelwa 2","100011709","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"74-43-35-64","Zambia","Western province","Sesheke","Situnga","Lusu 2","100012313","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"02-76-65-17","Zambia","Western province","Mwandi","Simbala","Mushukula","100021112","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"91-57-65-34","Zambia","Western province","Sesheke","Namutondo","Kalobelelwa 2","100011710","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"61-08-28-75","Zambia","Western province","Sesheke","Ibolokwa","Kalobelelwa 2","100011701","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"08-98-76-07","Zambia","Western province","Mwandi","Simbala","Mushukula","100021103","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"07-58-78-17","Zambia","Western province","Sesheke","Namutondo","Kalobelelwa 2","100011714","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"50-08-29-58","Zambia","Western province","Mwandi","Simbala","Kalundu","100021410","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"21-97-24-76","Zambia","Western province","Mwandi","Simbala","Kalundu","100021401","Yes",,,"",,"No",1,"Head of the household",,"Yes"
