interview__key,num_plots,lnd_mes,lnd_mes_1,plot_name,plot_area,begin_year,land_acquire,time_plot_home,soil_type,signs_good_plot__1,signs_good_plot__2,signs_good_plot__3,signs_good_plot__4,signs_good_plot__5,signs_good_plot__6,signs_good_plot__96,signs_good_plot_oth,plot_problem__1,plot_problem__2,plot_problem__3,plot_problem__4,plot_problem__5,plot_problem__6,plot_problem__96,plot_problem_other,if_soilwater_cons__1,if_soilwater_cons__2,if_soilwater_cons__3,if_soilwater_cons__4,if_soilwater_cons__5,if_soilwater_cons__6,if_soilwater_cons__7,if_soilwater_cons__9,if_soilwater_cons__10,if_soilwater_cons__11,if_soilwater_cons__12,if_soilwater_cons__13,if_soilwater_cons__14,if_soilwater_cons__15,if_soilwater_cons__96,if_soilwater_conservation_other,trees_onfarm,why_trees__1,why_trees__2,why_trees__3,why_trees__4,why_trees__5,why_trees__96,why_trees_oth
"94-78-30-89",3,"Other➡️ Please specify","Lima, 1 Lima = 0.25 hectares","Maize block",3,"1999","Ceded by traditional authorities",5,"Sand",0,1,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"","Yes",1,0,0,0,0,0,""
"97-62-61-29",1,"Hectares","","Mungulungunda",3,"2014","Ceded by traditional authorities",40,"Sand",0,1,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","Yes",1,1,0,0,0,0,""
"16-35-49-05",1,"Hectares","","Mungulungunda",6,"2010","Ceded by traditional authorities",80,"Sand",0,1,0,1,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","Yes",0,0,1,0,0,0,""
"18-48-69-27",1,"Hectares","","lushesha",8,"2008","Ceded by traditional authorities",120,"Loam",0,1,0,1,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","Yes",1,1,0,0,0,0,""
"30-61-23-28",1,"Hectares","","Makusi",3,"2003","Inherited",1,"Sand",0,1,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"","Yes",1,1,0,0,0,0,""
"91-09-11-51",2,"Hectares","","sikanda",6,"2009","Ceded by traditional authorities",20,"Loam",0,1,1,0,0,0,0,"",1,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","Yes",1,0,0,0,0,0,""
"03-15-59-01",1,"Other➡️ Please specify","lima","maize",2.5,"2016","Ceded by traditional authorities",5,"Silt",1,0,0,1,0,0,0,"",0,0,0,0,0,0,1,"none",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,"","Yes",0,1,0,0,0,0,""
"51-88-98-79",3,"Other➡️ Please specify","lima","mbonyi",4.25,"2018","Ceded by relatives",60,"Silt",0,1,0,0,0,0,0,"",0,0,0,0,0,1,0,"",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"","No",,,,,,,""
"38-99-58-33",1,"Hectares","","sepiso munyangwe",3,"1989","Ceded by traditional authorities",60,"Loam",1,0,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Yes",1,0,0,0,0,1,"Wild fruits"
"73-78-76-86",2,"Other➡️ Please specify","lima","mbonyi",1.5,"2008","Inherited",80,"Loam",0,1,1,0,0,0,0,"",0,0,0,0,1,0,0,"",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"","Yes",0,1,0,0,0,0,""
