interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"86-85-54-02",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"25-71-60-55",70,70,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"52-17-01-39",60,60,"Market in this village","","No","","No",,,,,,,,,,,
"85-68-71-94",60,60,"Market in this village","","No","","No",,,,,,,,,,,
"88-33-53-02",38,38,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"73-16-52-51",70,70,"Others ➡️ Specify","He doesn't sell any product","No","","No",,,,,,,,,,,
"29-32-71-31",65,65,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"08-80-55-70",38,38,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"58-68-82-05",73,2,"Market in this village","","No","","No",,,,,,,,,,,
"40-89-66-86",73,73,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"88-30-77-96",63,63,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"72-26-90-86",79,15,"Market in this village","","No","","No",,,,,,,,,,,
"49-59-81-92",72,72,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"21-01-20-88",70,70,"Others ➡️ Specify","she sells none, it is only for household consumption","No","","No",,,,,,,,,,,
"79-70-14-90",73,73,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"80-75-47-72",73,73,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"56-08-93-09",50,50,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"17-42-48-26",38,38,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"48-20-15-07",70,70,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"14-03-97-85",60,60,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"85-88-72-49",70,70,"Others ➡️ Specify","He doesn't sell","No","","No",,,,,,,,,,,
"44-34-38-88",,,,"",,"",,,,,,,,,,,,
"83-00-22-24",15,50,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"53-00-05-97",56,56,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"57-74-38-33",53,53,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"65-24-72-96",70,70,"Market in this village","","No","","No",,,,,,,,,,,
"67-69-19-83",70,70,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"65-02-79-39",65,65,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"36-55-19-74",70,70,"Market in this village","","No","","No",,,,,,,,,,,
"02-47-11-50",70,70,"Others ➡️ Specify","I have never harvested to sell any produce","No","","No",,,,,,,,,,,
"34-55-62-08",35,35,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"21-53-06-24",18,5,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"54-20-19-80",50,0,"Market in this village","","No","","No",,,,,,,,,,,
"77-37-06-75",80,80,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"17-29-45-21",52,52,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"14-98-54-79",54,54,"Market in this village","","No","","No",,,,,,,,,,,
"74-43-35-64",80,80,"Others ➡️ Specify","she don't sell any","No","","No",,,,,,,,,,,
"02-76-65-17",70,70,"Market in this village","","No","","No",,,,,,,,,,,
"91-57-65-34",48,48,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","No","No","No","Yes","No","No",
"61-08-28-75",60,60,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"08-98-76-07",65,60,"Market in this village","","No","","No",,,,,,,,,,,
"07-58-78-17",48,48,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"50-08-29-58",65,65,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"21-97-24-76",65,65,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"47-86-23-98",1,66,"Direct individuals not in a market","","No","","Yes","No","No","Yes","No","Yes","No","No","No","No","No",
"58-41-17-07",20,20,"Direct individuals not in a market","","No","","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"27-41-68-88",65,10,"Others ➡️ Specify","not sure","No","","No",,,,,,,,,,,
"36-57-67-99",65,65,"Others ➡️ Specify","non","No","","No",,,,,,,,,,,
"14-01-18-55",70,70,"Market in this village","","No","","No",,,,,,,,,,,
"25-45-40-50",80,80,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
