interview__key,r_purpose_tr__id,road_4__1,road_4__2,road_4__3,road_4__4,road_4__5,road_4__6,road_4__7,road_4__8,road_4__96,road_5
"63-18-15-01","Go to the market","No","No","Yes","No","No","No","No","No","No","Once or twice a month"
"63-18-15-01","Visit friends/ relatives","No","No","Yes","No","No","No","No","No","No","Once or twice a month"
"40-24-89-40","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"26-37-34-30","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"57-72-53-25","Go to the market","Yes","Yes","Yes","No","No","No","No","No","No","Almost every week"
"57-72-53-25","Go to school","Yes","Yes","No","No","No","No","No","No","No","Almost every week"
"57-72-53-25","Access medical treatment","Yes","Yes","No","No","No","No","No","No","No","A few times a year"
"15-31-68-47","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"54-23-26-42","Go to the market","Yes","No","No","Yes","No","No","No","No","No","Almost every week"
"54-23-26-42","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"54-23-26-42","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"06-33-74-17","Access medical treatment","No","No","No","No","No","No","Yes","No","No","Varies/don’t know"
"09-17-76-18","Access medical treatment","Yes","No","No","No","No","No","Yes","No","No","Almost every week"
"91-72-91-72","Go to the market","Yes","Yes","No","No","No","No","No","No","No","Once or twice a month"
"91-72-91-72","Access medical treatment","Yes","Yes","No","No","No","No","No","No","No","A few times a year"
"07-58-36-50","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"07-58-36-50","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"07-58-36-50","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"27-63-39-98","Access medical treatment","Yes","No","No","No","No","No","Yes","No","No","Once a week or more often"
"31-14-07-01","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"31-14-07-01","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"96-79-76-17","Go to the market","No","No","Yes","No","No","No","No","No","No","Once a week or more often"
"23-90-90-29","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"23-90-90-29","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Almost every week"
"23-90-90-29","Go to the field","Yes","No","No","No","No","No","No","No","No","Almost every week"
"99-47-47-96","Go to the market","Yes","No","Yes","No","No","No","No","No","No","Once or twice a month"
"99-47-47-96","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"99-47-47-96","Access medical treatment","Yes","No","Yes","No","No","No","No","No","No","A few times a year"
"99-47-47-96","Visit friends/ relatives","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"99-47-47-96","Go to the field","Yes","No","No","No","No","No","No","No","No","Less often"
"48-69-67-88","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"48-69-67-88","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"48-69-67-88","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"93-76-93-98","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"93-76-93-98","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"93-76-93-98","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"02-49-04-36","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"02-49-04-36","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"02-49-04-36","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"97-96-55-67","Go to the market","No","No","Yes","No","No","No","No","No","No","Once or twice a month"
"97-96-55-67","Access medical treatment","No","No","Yes","No","No","No","No","No","No","Once or twice a month"
"55-00-90-34","Go to the market","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"55-00-90-34","Visit friends/ relatives","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"74-92-93-10","Go to the market","No","No","Yes","No","No","Yes","No","No","No","Once or twice a month"
"74-92-93-10","Access medical treatment","Yes","No","No","No","No","Yes","No","No","No","Less often"
"62-57-54-10","Go to the market","No","No","Yes","No","No","No","No","No","No","Once or twice a month"
"62-57-54-10","Access medical treatment","No","No","Yes","No","No","No","No","No","No","Less often"
"81-64-58-33","Go to the market","Yes","No","Yes","No","No","No","No","No","No","Once or twice a month"
"51-16-15-92","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"51-16-15-92","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
