interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"54-41-53-68","Hectares","",2,0,0,0,.06,0,0,"Communally owned",,,,"Co-share/ co-farming",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","The same","No",,,"",3,"Yes","Farm extension"
"35-84-29-80","Hectares","",2,1,0,0,.25,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"Yes","Within family","","Magistrate","","No","Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,3,"The same","The same","No",,,"",2,"No","Satisfied"
"82-89-49-08","Hectares","",1,0,0,0,.06,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","what I have is enough"
"13-17-77-46","Hectares","",1.25,0,0,0,.1,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Likely","No",,,,,,,,,,,,,"Yes",.8,"Yes","No","No","No",,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","To annex current  farm for larger yield"
"87-42-29-56","Hectares","",2,0,0,0,.25,0,0,"Communally owned",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"Yes",1,"Yes","No","No","No",,0,"The same","The same","No",,,"",2,"Yes","I want to extend my farm size"
"24-84-60-85","Hectares","",1.2,0,0,0,.18,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",.5,"Yes","No","No","No",,3,"Slight decrease","Slight decrease","No",,,"",1,"No","Respondent has sufficient land on current  residential area"
"78-85-83-52","Hectares","",2,0,0,0,.8,0,0,"Private owned with no land title",,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,25,"Slight decrease","Slight decrease","No",,,"",2,"Yes","it's enough am not even ploughing because elephants"
"78-33-54-01","Hectares","",3,1.25,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,3,"Massive decrease","Massive decrease","No",,,"",2,"No","no money"
"54-69-71-08","Hectares","",1,1,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"Yes",.5,"Yes","No","No","No",,0,"The same","The same","No",,,"",1,"No","Satisfied"
"30-10-42-29","Hectares","",3.25,5.25,0,0,.06,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","Slight decrease","No",,,"",4,"Yes","Start a business on the land. A retail and bar"
