interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"39-19-95-41","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","strongly trust","strongly trust","strongly trust","strongly trust","trust","Very worried","Very worried","Extremely worried","Very worried","Very worried","Worried","Very worried","Worried","Slightly worried","Extremely worried"
"13-94-38-36","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","strongly trust","strongly trust","distrust","strongly trust","trust","Very worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried"
"64-10-30-77","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","indifferent","Very worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Very worried","Very worried","Very worried","Very worried"
"98-88-46-23","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","strongly trust","strongly trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Very worried","Worried","Worried","Worried","Worried"
"35-26-63-26","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Extremely worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried"
"77-44-63-61","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"26-64-90-32","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","trust","trust","strongly distrust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Very worried","Worried","Very worried","Very worried"
"15-44-39-66","Disagree","Strongly agree","Strongly disagree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","strongly trust","trust","distrust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Slightly worried","Extremely worried","Worried","Not at all worried","Worried"
"97-96-32-80","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Extremely worried","Slightly worried","Extremely worried","Extremely worried","Worried","Worried","Worried","Worried","Not at all worried","Worried"
"65-28-62-87","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","strongly trust","trust","trust","trust","Worried","Worried","Worried","Very worried","Worried","Worried","Worried","Worried","Very worried","Worried"
