interview__key,r_members__id,lbr13,Ibr13_1,Ibr13_2,Ibr13_3,Ibr13_4,Ibr13_5,Ibr13_6,Ibr13_8,Ibr13_9,years_exp_crp,Ibr13_10,Ibr13_11,Ibr13_12,Ibr13_13,years_exp_liv,onfarm_main_use__1,onfarm_main_use__2,onfarm_main_use__3,onfarm_main_use__4,onfarm_main_use__5,onfarm_main_use__6,onfarm_main_use__7,onfarm_main_use__96,onfarm_main_use_oth
"39-44-22-57",2,"Yes",0,0,,,6,2,6,5,2,0,0,,,0,0,1,2,0,0,0,0,0,""
"11-92-45-50",1,"Yes",6,6,4,7,6,0,4,6,20,6,6,7,1,3,0,1,2,4,3,0,0,0,""
"11-92-45-50",2,"Yes",6,6,7,4,6,0,6,4,7,6,6,7,1,3,0,1,0,0,0,0,0,0,""
"11-92-45-50",3,"Yes",0,0,,,6,0,6,4,7,0,0,,,0,0,1,0,0,0,0,0,0,""
"11-92-45-50",4,"Yes",0,0,,,1,0,0,,3,0,0,,,0,0,1,0,0,0,0,0,0,""
"63-18-15-01",1,"Yes",6,4,3,5,6,4,4,4,10,2,2,3,10,20,0,1,0,0,0,0,0,2,"buy clothes and other house hold necessities"
"63-18-15-01",2,"Yes",6,5,3,6,6,5,5,8,15,3,2,4,2,12,0,1,2,0,0,0,0,0,""
"40-24-89-40",1,"Yes",6,6,7,12,0,0,,,13,0,0,,,0,0,1,2,0,0,0,0,0,""
"40-24-89-40",2,"Yes",6,6,7,10,0,0,,,12,0,0,,,0,0,1,2,0,0,0,0,0,""
"57-72-53-25",1,"Yes",6,6,6,10,6,6,6,10,14,3,3,7,10,30,5,2,1,3,4,0,0,0,""
"57-72-53-25",2,"Yes",6,6,6,5,6,6,6,5,14,2,2,4,3,36,4,2,1,3,0,0,0,0,""
"57-72-53-25",3,"Yes",2,1,1,3,2,1,1,3,2,0,0,,,0,4,2,1,3,0,0,0,0,""
"54-23-26-42",1,"Yes",6,2,5,5,6,2,5,5,28,6,0,7,1,8,2,3,1,0,0,0,0,0,""
"54-23-26-42",2,"Yes",4,0,4,2,4,0,4,2,2,1,6,7,3,2,0,0,1,0,0,0,0,0,""
"54-23-26-42",3,"Yes",6,2,5,5,6,2,5,5,5,0,0,,,0,0,1,0,2,0,0,0,0,""
"09-17-76-18",1,"Yes",6,2,5,4,6,2,5,4,10,0,0,,,0,0,2,1,0,0,0,0,0,""
"91-72-91-72",1,"Yes",6,6,3,3,6,6,3,3,4,6,6,7,10,11,0,1,2,3,0,0,0,0,""
"91-72-91-72",2,"Yes",6,6,3,3,6,6,3,3,2,6,6,7,24,2,0,1,0,2,3,0,0,0,""
"91-72-91-72",3,"Yes",6,6,2,2,6,6,2,2,0,6,6,1,2,0,0,1,2,3,0,0,0,0,""
"91-72-91-72",5,"Yes",6,6,2,2,6,6,2,2,0,6,6,7,24,0,0,1,2,3,0,0,0,0,""
"91-72-91-72",8,"Yes",6,6,3,3,6,6,3,3,10,6,6,7,24,10,0,1,2,3,4,0,0,0,""
"27-63-39-98",1,"Yes",6,3,6,7,6,3,6,7,10,0,0,,,0,0,1,2,0,0,0,0,0,""
"27-63-39-98",2,"Yes",6,3,6,7,6,3,6,7,10,0,0,,,0,0,1,2,3,0,0,0,0,""
"27-63-39-98",4,"Yes",6,3,6,7,6,3,6,7,3,0,0,,,0,0,1,0,2,0,0,0,0,""
"31-14-07-01",1,"Yes",6,6,3,3,6,6,3,3,20,6,6,7,24,5,0,1,2,0,3,0,0,0,""
"31-14-07-01",2,"Yes",1,1,3,3,1,1,3,3,2,1,1,7,24,1,0,1,2,3,0,0,0,0,""
"31-14-07-01",3,"Yes",4,4,1,3,4,4,1,3,4,6,6,7,10,5,0,1,2,3,0,0,0,0,""
"31-14-07-01",4,"Yes",6,6,1,3,6,6,1,3,0,6,6,7,10,2,0,1,2,3,0,0,0,0,""
"96-79-76-17",1,"Yes",3,2,2,3,3,2,7,3,45,0,0,,,1,0,1,0,0,0,0,0,2,"manure, chemicals for spraying in the garden"
"96-79-76-17",2,"Yes",4,2,2,3,3,3,7,4,18,0,0,,,0,0,1,0,0,0,0,0,0,""
"96-79-76-17",3,"Yes",3,2,3,3,3,2,4,3,3,0,0,,,0,0,0,0,0,0,0,0,1,"soap,lotion, clothes,"
"96-79-76-17",4,"Yes",3,3,2,2,3,3,2,3,0,0,0,,,0,0,0,0,0,0,0,0,1,"lotion, used for break fast while at school"
"23-90-90-29",1,"Yes",2,2,6,5,3,3,4,5,10,0,0,,,0,0,1,0,0,0,0,0,0,""
"99-47-47-96",1,"Yes",0,0,,,5,1,7,6,15,6,6,7,12,10,0,1,0,0,0,0,0,0,""
"99-47-47-96",2,"Yes",0,4,4,4,5,1,7,5,10,2,3,1,1,10,0,1,0,0,0,0,0,0,""
"99-47-47-96",3,"Yes",0,0,,,0,0,,,7,5,1,7,12,5,0,1,0,0,0,0,0,0,""
"93-76-93-98",1,"Yes",0,0,,,6,2,5,9,5,6,6,7,18,6,0,0,0,0,0,0,0,1,"none"
"02-49-04-36",1,"Yes",3,0,7,3,4,1,6,5,40,6,4,2,2,40,0,3,0,2,1,0,0,0,""
"02-49-04-36",2,"Yes",2,0,6,3,6,1,6,4,40,1,1,2,1,40,0,1,2,4,3,0,0,0,""
"97-96-55-67",2,"Yes",6,2,6,4,6,2,6,5,10,0,0,,,0,0,1,2,0,0,0,0,0,""
"55-00-90-34",1,"Yes",1,1,3,4,2,1,3,3,12,2,1,1,3,10,1,0,0,0,2,0,0,0,""
"55-00-90-34",2,"Yes",5,4,4,3,4,4,5,2,8,6,6,6,2,6,0,1,2,0,0,3,0,0,""
"74-92-93-10",1,"Yes",0,0,,,4,0,2,3,8,0,0,,,8,1,0,0,0,0,0,0,0,""
"74-92-93-10",2,"Yes",0,0,,,4,0,7,4,8,0,0,,,0,0,1,2,0,0,0,0,0,""
"74-92-93-10",3,"Yes",0,0,,,1,0,7,4,3,0,0,,,0,0,1,0,0,0,0,0,0,""
"74-92-93-10",4,"Yes",0,0,,,1,0,7,4,3,0,0,,,0,0,1,0,0,0,0,0,0,""
"74-92-93-10",5,"Yes",0,0,,,1,0,7,4,2,0,0,,,0,0,1,0,0,0,0,0,0,""
"74-92-93-10",6,"Yes",0,0,,,1,0,7,4,2,0,0,,,0,0,1,0,0,0,0,0,0,""
"74-92-93-10",11,"Yes",0,0,,,1,0,7,4,3,0,0,,,0,0,1,0,0,0,0,0,0,""
"74-92-93-10",12,"Yes",0,0,,,1,0,7,4,3,0,0,,,0,0,1,0,0,0,0,0,0,""
"74-92-93-10",13,"Yes",0,0,,,1,0,7,4,3,0,0,,,0,0,1,0,0,0,0,0,0,""
"74-92-93-10",14,"Yes",0,0,,,4,0,2,4,10,6,6,7,2,16,0,1,0,0,0,0,0,0,""
"74-92-93-10",17,"Yes",0,0,,,4,0,6,4,1,6,6,2,2,10,0,1,0,0,0,0,0,0,""
"62-57-54-10",1,"Yes",5,0,6,4,5,0,5,4,44,0,0,,,43,0,2,0,0,1,0,0,3,"purchase livestock"
"62-57-54-10",2,"Yes",5,0,5,6,5,0,6,4,44,5,0,0,,0,0,1,0,0,2,0,0,3,"purchase livestock"
"62-57-54-10",3,"Yes",5,0,7,4,5,0,7,4,5,6,6,1,9,1,0,1,0,0,0,0,0,0,""
"62-57-54-10",4,"Yes",5,0,7,4,0,5,7,4,2,6,6,1,9,2,0,1,0,0,0,0,0,0,""
"81-64-58-33",1,"Yes",0,0,,,6,0,6,10,40,6,6,7,8,39,0,3,2,0,1,0,0,0,""
"81-64-58-33",2,"Yes",0,0,,,6,0,6,10,30,0,0,,,0,0,1,2,0,3,0,0,0,""
"51-16-15-92",1,"Yes",0,0,,,6,3,6,14,10,0,0,,,0,0,1,0,0,0,0,0,0,""
"51-16-15-92",2,"Yes",0,0,,,6,3,5,12,10,0,0,,,0,0,1,0,0,0,0,0,0,""
"63-16-06-54",1,"Yes",6,6,6,4,6,6,6,4,24,6,6,7,6,23,0,3,1,0,2,0,0,0,""
"63-16-06-54",2,"Yes",6,6,6,6,6,1,5,3,20,6,6,7,8,20,0,0,1,0,2,0,0,0,""
