interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"74-55-33-17","Timber or poles",80,"Bale / Bundle","","No",,,"",,,"No",,"The same","Massive decrease","",""
"74-55-33-17","Sand, stone, mud",15,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"63-06-38-69","Firewood",36,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","a lot of firewood is being collected by people in the community"
"63-06-38-69","Other➡️specify",15,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"05-74-67-92","Firewood",24,"Oxcart","","No",,,"",,,"No",,"The same","Slight decrease","",""
"98-46-70-51","Firewood",8,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","firewood is on demand in the villages"
"98-46-70-51","Timber or poles",20,"Numbers","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","high practice of burning the forest"
"36-97-15-03","Firewood",24,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"31-20-72-58","Firewood",2,"Oxcart","","No",,,"",,,"No",,"Massive decrease","The same","","bad rain cycle and high practice of deforestation"
"59-12-76-31","Firewood",3,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","deforestation"
"59-12-76-31","Timber or poles",2,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","deforestation is high"
"59-12-76-31","Sand, stone, mud",5,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","it's on demand in the villages"
"59-12-76-31","Mushrooms",1,"Basins","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","because of no rains"
"07-54-13-18","Firewood",9,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","deforestation is high"
"84-52-73-65","Firewood",288,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"85-09-03-91","Firewood",1,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"56-01-39-00","Firewood",12,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"69-33-88-72","Firewood",40,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"26-09-67-07","Firewood",72,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"69-39-81-14","Firewood",2,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","high practice of timber"
"00-76-43-47","Firewood",6,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"29-40-24-48","Wild fruits",10,"10kg bag","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Drought"
"29-40-24-48","Mushrooms",25,"25kg bag","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Depending on the availability of rain"
"79-00-21-46","Firewood",192,"Bunches","","No",,,"",,,"No",,"The same","Slight decrease","",""
"46-34-68-84","Firewood",6,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"45-00-04-40","Firewood",120,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"22-15-19-43","Firewood",100,"Numbers","","No",,,"",,,"No",,"The same","Slight decrease","",""
"09-01-21-24","Firewood",2,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Deforestation"
