interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"80-75-47-72",,,,,,,,,,,,"",,,,
"56-08-93-09","No",,,,,,,,,,,"",,7,,"No"
"17-42-48-26",,,,,,,,,,,,"",,,,
"48-20-15-07","No",,,,,,,,,,,"",,7,,"No"
"14-03-97-85","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",70,1000,"No"
"85-88-72-49",,,,,,,,,,,,"",,,,
"44-34-38-88",,,,,,,,,,,,"",,,,
"83-00-22-24",,,,,,,,,,,,"",,,,
"53-00-05-97",,,,,,,,,,,,"",,,,
"57-74-38-33","No",,,,,,,,,,,"",,53,,"No"
"65-24-72-96","No",,,,,,,,,,,"",,70,,"No"
"67-69-19-83",,,,,,,,,,,,"",,,,
"65-02-79-39","No",,,,,,,,,,,"",,65,,"No"
"36-55-19-74",,,,,,,,,,,,"",,,,
"02-47-11-50",,,,,,,,,,,,"",,,,
"34-55-62-08","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",35,100,"No"
"21-53-06-24","No",,,,,,,,,,,"",,20,,"No"
"54-20-19-80","No",,,,,,,,,,,"",,5,,"No"
"77-37-06-75","Yes","Yes","No","No","No","No","No","No","Yes",,"Direct buyers, open-air market","","Market in this village",1,2500,"No"
"17-29-45-21",,,,,,,,,,,,"",,,,
"14-98-54-79",,,,,,,,,,,,"",,,,
"74-43-35-64",,,,,,,,,,,,"",,,,
"02-76-65-17","Yes","No","Yes","No","No","No","No","No","No",,"Other➡️ Please specify","individuals within the village","Market in this village",70,500,"No"
"91-57-65-34","No",,,,,,,,,,,"",,48,,"No"
"61-08-28-75","No",,,,,,,,,,,"",,60,,"No"
"08-98-76-07","Yes","No","Yes","No","No","No","No","No","No",,"Other➡️ Please specify","within village","Market in this village",10,200,"No"
"07-58-78-17","No",,,,,,,,,,,"",,48,,"No"
"50-08-29-58","No",,,,,,,,,,,"",,65,,"No"
"21-97-24-76",,,,,,,,,,,,"",,,,
"47-86-23-98","No",,,,,,,,,,,"",,65,,"No"
"58-41-17-07","No",,,,,,,,,,,"",,20,,"No"
"27-41-68-88","No",,,,,,,,,,,"",,65,,"No"
"36-57-67-99","No",,,,,,,,,,,"",,65,,"No"
"14-01-18-55","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",70,70,"No"
"25-45-40-50",,,,,,,,,,,,"",,,,
"28-45-95-92",,,,,,,,,,,,"",,,,
"52-38-49-21","No",,,,,,,,,,,"",,80,,"No"
"59-05-06-39","No",,,,,,,,,,,"",,75,,"No"
"07-23-34-26","No",,,,,,,,,,,"",,80,,"No"
"74-55-33-17","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",3,300,"No"
"63-06-38-69","No",,,,,,,,,,,"",,65,,"No"
"05-74-67-92","No",,,,,,,,,,,"",,65,,"No"
"98-46-70-51","No",,,,,,,,,,,"",,65,,"No"
"36-97-15-03","No",,,,,,,,,,,"",,65,,"No"
"31-20-72-58","No",,,,,,,,,,,"",,65,,"No"
"59-12-76-31","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the homestead",105,150,"No"
"07-54-13-18","No",,,,,,,,,,,"",,105,,"No"
"84-52-73-65","No",,,,,,,,,,,"",,20,,"No"
"85-09-03-91","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",115,700,"No"
"56-01-39-00","No",,,,,,,,,,,"",,90,,"No"
"69-33-88-72","No",,,,,,,,,,,"",,115,,"No"
"26-09-67-07","No",,,,,,,,,,,"",,48,,"No"
