interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"40-24-89-40","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"26-37-34-30","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"57-72-53-25","Tarmac road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,4,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"15-31-68-47","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"54-23-26-42","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"06-33-74-17","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"09-17-76-18","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"91-72-91-72","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"Yes","No","No","No","Yes","No",
"07-58-36-50","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"27-63-39-98","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,50,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"31-14-07-01","Dirt road/ bush road","Very well passable, in both rainy and dry season","No","Yes","Yes","No","No","No","No","No",,6,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"96-79-76-17","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","No","No","No","No","No",,60,"Yes","No",,"No",,"No","No","No","No","No","No","No","Yes",,"Yes","Yes","No","No","No","No","No",
