interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"05-74-67-92","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"98-46-70-51","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"36-97-15-03","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"31-20-72-58","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"59-12-76-31","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"07-54-13-18","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","No","No","No","No",,6,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"84-52-73-65","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,30,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"85-09-03-91","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","Yes","No","No","No",,10,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"56-01-39-00","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"69-33-88-72","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"26-09-67-07","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"69-39-81-14","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"00-76-43-47","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"29-40-24-48","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","Yes","No","No","No",,45,"No",,,,,,,,,,,,,,,"No","No","No","Yes","No","No",
"79-00-21-46","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,45,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"46-34-68-84","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"45-00-04-40","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","Yes","No","No",,3,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"22-15-19-43","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"09-01-21-24","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"28-05-99-59","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","No","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"78-33-63-09","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,45,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"21-06-84-39","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"96-45-29-81","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","Yes","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"82-78-33-54","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"01-53-98-85","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"15-34-27-17","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"84-32-88-02","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"02-43-89-26","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","Yes","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"36-62-21-63","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,4,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"98-63-71-97","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,2,"Yes","Yes","Yes","No",,"No","No","No","Yes","No","No","No","No",,"Yes","No","No","No","Yes","No","No",
"07-88-71-07","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"18-07-56-01","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,45,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"76-16-53-82","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","Yes","No","No","No",,480,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"36-91-65-20","Tarmac road","Very well passable, in both rainy and dry season","No","No","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"22-29-07-01","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","No","No","Yes","No","No","No",,180,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"53-93-66-67","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","Yes","No","No","No",,480,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"37-39-06-63","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"17-95-97-27","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","No","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"92-61-03-62","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"02-86-94-14","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"26-53-37-24","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"73-57-99-74","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","Yes","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"49-29-23-58","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"71-13-07-75","Tarmac road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,1,"Yes","No",,"No",,"No","No","No","Yes","No","No","No","No",,"Yes","No","No","No","Yes","No","No",
"19-53-43-56","Tarmac road","Very well passable, in both rainy and dry season","No","No","No","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","Yes","Yes","No","No","No",
"57-61-80-20","Tarmac road","Very well passable, in both rainy and dry season","No","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"66-47-36-80","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"55-47-02-66","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,16,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","Yes",
"69-74-76-81","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","Yes","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"25-51-33-57","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"99-83-71-81","Murram/ gravel road","Very well passable, in both rainy and dry season","No","Yes","No","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","Yes","No","No","No","No",
"30-46-44-49","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"03-30-12-96","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"35-16-22-13","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"96-28-28-46","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,4,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"10-32-26-69","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"68-75-69-07","Murram/ gravel road","Well passable","Yes","No","No","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"02-58-63-69","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"58-12-98-10","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"22-68-19-10","Murram/ gravel road","Well passable","Yes","No","No","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"99-42-05-34","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","Yes","No","No","No",,10,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"21-29-11-98","Murram/ gravel road","Well passable","Yes","Yes","No","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"06-11-50-44","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"38-44-09-59","Murram/ gravel road","Well passable","Yes","Yes","No","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"81-45-35-86","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"83-11-66-41","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,7,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"45-34-02-51","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"26-37-15-28","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","No","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","Yes","No","No","No","No",
"73-50-61-74","Murram/ gravel road","Very well passable, in both rainy and dry season","No","Yes","No","No","Yes","No","No","No",,3,"Yes","No",,"No",,"No","Yes","No","Yes","No","No","No","No",,"No","Yes","Yes","No","No","No","No",
"58-09-34-36","Murram/ gravel road","Well passable","Yes","No","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"94-78-30-89","Murram/ gravel road","Very well passable, in both rainy and dry season","No","Yes","No","No","Yes","No","No","No",,2,"Yes","No",,"No",,"No","Yes","No","No","No","No","No","No",,"Yes","Yes","Yes","Yes","No","No","No",
"97-62-61-29","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"16-35-49-05","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"18-48-69-27","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"30-61-23-28","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"91-09-11-51","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"03-15-59-01","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"51-88-98-79","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"38-99-58-33","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"73-78-76-86","Murram/ gravel road","Well passable","No","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"16-76-51-56","Murram/ gravel road","Well passable","Yes","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"34-75-99-64","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","No","No","No","No",,40,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"00-76-59-09","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"03-36-35-32","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"Yes","Yes","Yes","No",,"No","Yes","Yes","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No",
"66-74-25-56","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,6,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"80-48-62-68","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"67-59-61-49","Tarmac road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,2,"Yes","No",,"No",,"No","No","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"23-88-68-38","Murram/ gravel road","Well passable","Yes","No","Yes","No","Yes","No","No","No",,15,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"24-58-49-24","Murram/ gravel road","Well passable","Yes","No","No","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"27-73-91-69","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"88-41-94-49","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"83-47-45-70","Murram/ gravel road","Well passable","Yes","No","No","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"06-72-44-70","Murram/ gravel road","Well passable","Yes","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"85-25-38-04","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"99-72-02-18","Murram/ gravel road","Well passable","Yes","No","Yes","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"76-93-76-77","Dirt road/ bush road","Very well passable, in both rainy and dry season","No","Yes","No","No","Yes","No","No","No",,5,"Yes","No",,"No",,"No","No","Yes","Yes","No","No","No","No",,"Yes","Yes","Yes","No","No","No","No",
"25-81-57-24","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"18-66-56-26","Murram/ gravel road","Well passable","No","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"38-35-03-16","Murram/ gravel road","Well passable","No","Yes","Yes","No","No","No","No","No",,1,"Yes","No",,"No",,"No","No","Yes","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"87-43-13-02","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"06-72-27-90","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"10-09-48-91","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"Yes","No",,"No",,"No","No","Yes","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"89-20-17-64","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"61-30-29-22","Murram/ gravel road","Well passable","Yes","No","Yes","No","No","No","No","No",,45,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"32-64-82-60","Murram/ gravel road","Well passable","No","No","No","Yes","No","No","No","No",,10,"Yes","No",,"No",,"No","No","Yes","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"05-69-71-03","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"62-54-48-69","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"40-71-41-17","Murram/ gravel road","Well passable","Yes","No","Yes","No","No","No","No","No",,10,"Yes","No",,"No",,"No","Yes","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"59-04-18-69","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"99-19-59-36","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"66-80-07-88","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"33-91-72-59","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"79-95-75-64","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"36-27-38-94","Dirt road/ bush road","Very well passable, in both rainy and dry season","No","No","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"20-85-41-55","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","No","No",,4,"Yes","No",,"No",,"Yes","No","No","No","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"99-41-30-80","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,10,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"71-06-23-24","Murram/ gravel road","Very well passable, in both rainy and dry season","No","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"89-01-00-04","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"00-37-37-14","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"Yes","No",,"No",,"No","Yes","Yes","No","No","Yes","No","No",,"No","No","No","No","No","Yes","No",
"74-41-47-70","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"52-43-66-41","Murram/ gravel road","Well passable","No","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"83-13-77-99","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,10,"Yes","No",,"No",,"Yes","Yes","Yes","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"61-91-44-04","Murram/ gravel road","Well passable","No","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"61-31-17-62","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,5,"Yes","No",,"No",,"Yes","Yes","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"01-73-77-56","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"47-87-04-23","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"46-77-22-22","Murram/ gravel road","Well passable","No","No","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"54-46-59-23","Dirt road/ bush road","Very well passable, in both rainy and dry season","No","No","No","No","Yes","No","No","No",,6,"Yes","No",,"No",,"No","Yes","No","Yes","No","No","No","No",,"Yes","Yes","Yes","Yes","No","No","No",
"47-72-11-03","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"75-19-56-83","Murram/ gravel road","Well passable","No","No","Yes","No","No","No","No","No",,10,"Yes","No",,"No",,"No","No","No","No","No","No","Yes","No",,,"No","No","No","No","Yes","No",
"17-63-18-37","Murram/ gravel road","Well passable","Yes","No","No","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"36-67-78-55","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"57-94-56-04","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"50-78-72-42","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"39-32-15-43","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"83-43-24-20","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"86-15-33-66","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,90,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"44-68-45-91","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"92-79-83-19","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"84-11-52-01","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","Yes","No","No",
"04-80-79-59","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","Yes","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","Yes","No","No",
"86-90-94-39","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,1,"Yes","Yes","No","No",,"No","Yes","No","No","No","No","Yes","No",,,"No","No","No","No","Yes","No",
"60-18-28-01","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"95-75-71-60","Murram/ gravel road","Well passable","Yes","No","No","No","No","No","No","No",,1,"Yes","No",,"No",,"No","Yes","Yes","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"92-06-91-29","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"54-44-90-07","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,2,"Yes","No",,"No",,"Yes","Yes","No","No","No","No","No","No",,"No","No","No","No","No","No","Yes",
"03-23-51-60","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"00-90-52-98","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
