interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"52-17-01-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-68-71-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"88-33-53-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-16-52-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-32-71-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-80-55-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-68-82-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-89-66-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"88-30-77-96","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-26-90-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-59-81-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"21-01-20-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"79-70-14-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-75-47-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-08-93-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-42-48-26","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-20-15-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-03-97-85","Yes","No","501-1000 m","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No",,100,,,,,,,,,,
"85-88-72-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"44-34-38-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-00-22-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-00-05-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"57-74-38-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-24-72-96","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-69-19-83","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-02-79-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-55-19-74","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-47-11-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-55-62-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"21-53-06-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-20-19-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"77-37-06-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-29-45-21","Yes","No","100-500 m","No","Yes","No","No","No","No","No","No","No","No","No","No","No",,50,,,,,,,,,,
"14-98-54-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-43-35-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-76-65-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"91-57-65-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"61-08-28-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-98-76-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-58-78-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-08-29-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"21-97-24-76","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-86-23-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-41-17-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"27-41-68-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-57-67-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-01-18-55","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-45-40-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"28-45-95-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-38-49-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-05-06-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-23-34-26","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-55-33-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"63-06-38-69","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-74-67-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-46-70-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-97-15-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-20-72-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-12-76-31","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,380,,,,,,,,,,
"07-54-13-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"84-52-73-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-09-03-91","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-01-39-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-33-88-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-09-67-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-39-81-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-76-43-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-40-24-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"79-00-21-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-34-68-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"45-00-04-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-15-19-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-01-21-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"28-05-99-59","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-33-63-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"21-06-84-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
