interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"81-64-58-33","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"Not yet used"
"63-16-06-54","Savings, interest or other investment income",3000,"Every 6 months",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"32-07-75-14","Savings, interest or other investment income",300,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"23-46-49-04","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",200,"Monthly",1,.a,"Others ➡️ Specify","cash transfer for single mothers","National government","","Cash","",0,1,2,0,0,0,0,0,""
"81-47-15-41","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",200,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"74-82-45-40","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",200,"Monthly",1,.a,"Others ➡️ Specify","upkeep","Other➡️specify","son","Cash","",0,1,0,0,0,0,0,0,""
"74-82-45-40","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",200,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"22-02-08-34","Savings, interest or other investment income",200,"Lump sum (single payment)",2,.a,,"",,"",,"",0,2,1,0,3,0,0,0,""
"62-18-60-04","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100,"Every 6 months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"67-75-50-83","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",200,"Monthly",1,.a,,"",,"",,"",0,1,0,2,3,0,0,0,""
"02-25-92-18","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",120,"Every 6 months",3,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"49-92-48-01","Savings, interest or other investment income",500,"Every three months",1,2,,"",,"",,"",0,1,0,0,2,0,0,0,""
"86-85-54-02","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"25-71-60-55","Savings, interest or other investment income",600,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,2,3,4,0,0,0,""
"52-17-01-39","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2000,"Every 6 months",1,2,,"",,"",,"",0,1,0,2,0,0,0,0,""
"88-33-53-02","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Monthly",1,.a,"Older persons cash transfer","","Local county government","","Cash","",0,1,0,0,0,0,0,0,""
"73-16-52-51","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Every three months",2,.a,"Poverty reduction program","","National government","","Cash","",0,0,0,0,0,0,0,1,"buckets, pots,food, chitenge"
"58-68-82-05","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"58-68-82-05","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",100,"Monthly",1,2,,"",,"",,"",0,1,2,3,0,0,0,0,""
"40-89-66-86","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,2,0,0,0,""
"40-89-66-86","Savings, interest or other investment income",250,"Every three months",1,2,,"",,"",,"",0,1,3,0,2,0,0,0,""
"49-59-81-92","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",600,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"21-01-20-88","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Every three months",1,.a,"Poverty reduction program","","National government","","Food","",0,1,0,0,0,0,0,0,""
"79-70-14-90","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200,"Monthly",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"80-75-47-72","Savings, interest or other investment income",600,"Every three months",1,.a,,"",,"",,"",0,1,0,0,2,0,0,0,""
"56-08-93-09","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",400,"Monthly",4,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"56-08-93-09","Savings, interest or other investment income",700,"Lump sum (single payment)",2,.a,,"",,"",,"",0,1,2,3,4,0,0,0,""
"85-88-72-49","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200,"Monthly",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"44-34-38-88","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",200,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"83-00-22-24","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200,"Monthly",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"53-00-05-97","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"57-74-38-33","Savings, interest or other investment income",300,"Monthly",1,2,,"",,"",,"",0,1,2,0,3,0,0,0,""
"65-24-72-96","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200,"Every 6 months",2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"02-47-11-50","Savings, interest or other investment income",100,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,2,4,3,0,0,0,""
"34-55-62-08","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Monthly",2,.a,,"",,"",,"",0,3,1,2,0,0,0,0,""
"21-53-06-24","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",6,.a,,"",,"",,"",0,2,1,3,0,0,0,0,""
"54-20-19-80","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"54-20-19-80","Savings, interest or other investment income",1000,"Every year",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"77-37-06-75","Savings, interest or other investment income",1000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"17-29-45-21","Savings, interest or other investment income",300,"Monthly",1,.a,,"",,"",,"",1,0,0,0,0,0,0,0,""
"14-98-54-79","Savings, interest or other investment income",500,"Every three months",1,.a,,"",,"",,"",0,1,0,0,2,0,0,0,""
"74-43-35-64","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Every three months",1,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,0,0,0,0,2,"books, uniform,plates"
"02-76-65-17","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100,"Every 6 months",2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"91-57-65-34","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"61-08-28-75","Savings, interest or other investment income",1800,"Lump sum (single payment)",2,.a,,"",,"",,"",0,2,1,3,0,0,0,0,""
"07-58-78-17","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",2,.a,,"",,"",,"",0,2,1,0,0,0,0,0,""
"50-08-29-58","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200,"Monthly",1,.a,,"",,"",,"",0,2,0,3,1,0,0,0,""
"47-86-23-98","Other➡️specify:",250,"Every three months",2,.a,,"",,"",,"",0,1,0,0,2,0,0,0,""
"27-41-68-88","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200,"Every three months",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"27-41-68-88","Savings, interest or other investment income",1000,"Every year",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"36-57-67-99","Savings, interest or other investment income",300,"Monthly",1,2,,"",,"",,"",4,1,2,3,0,0,0,0,""
"14-01-18-55","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"25-45-40-50","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",9,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"07-23-34-26","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Monthly",1,.a,"Older persons cash transfer","","Local county government","","Cash","",0,0,0,0,1,0,0,0,""
"74-55-33-17","Savings, interest or other investment income",2500,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,2,"livestock"
"63-06-38-69","Savings, interest or other investment income",1000,"Every three months",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"36-97-15-03","Savings, interest or other investment income",500,"Monthly",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"31-20-72-58","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,2,"buying soap and lotion"
"56-01-39-00","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100,"Every three months",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"69-33-88-72","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,3,2,0,0,0,0,""
"00-76-43-47","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200,"Monthly",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"22-15-19-43","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every year",1,.a,,"",,"",,"",0,1,0,2,3,0,0,0,""
"09-01-21-24","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Monthly",1,.a,"Emergency relief","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"78-33-63-09","Savings, interest or other investment income",1400,"Lump sum (single payment)",2,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"21-06-84-39","Savings, interest or other investment income",150,"Lump sum (single payment)",1,2,,"",,"",,"",0,0,0,0,0,1,0,0,""
"82-78-33-54","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",400,"Every three months",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"82-78-33-54","Savings, interest or other investment income",2000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,0,0,2,1,0,0,0,""
"01-53-98-85","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Monthly",1,.a,"Emergency relief","","National government","","Cash","",0,1,2,0,0,0,0,0,""
"84-32-88-02","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Monthly",1,.a,"Emergency relief","","Local county government","","Cash","",0,1,2,0,0,0,0,0,""
"76-16-53-82","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"36-91-65-20","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"22-29-07-01","Savings, interest or other investment income",300,"Every three months",1,2,,"",,"",,"",0,1,0,0,2,0,0,0,""
"53-93-66-67","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"37-39-06-63","Savings, interest or other investment income",50,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"17-95-97-27","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Monthly",1,.a,"Emergency relief","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"92-61-03-62","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",2800,"Lump sum (single payment)",1,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"Bought a cow for someone"
