interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"46-89-61-94","Hectares","",12.5,0,0,0,.4,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,15,"Slight increase","Slight increase","No",,,"",1,"Yes","To start production"
"36-57-98-87","Hectares","",1,1,0,0,3,0,0,"Co-share/ co-farming","Co-share/ co-farming",,,"Co-share/ co-farming",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","Slight decrease","Yes",60000,"Other","I never received the loan, the application failed",1,"No","I do not know what I would use it for"
"93-61-95-87","Hectares","",.0001,0,0,0,.06,0,20,"Private owned with land title",,,,"Private owned with land title",,"Private owned with land title","Yes","Government","","Other (please specify)","A senior at the office was called to sort it out.","Yes","Very unlikely","Yes","No","No","No","No","Yes","No","No","No","No","No","No",,"Yes",1,"No","No","Yes","No",,8,"Massive decrease","Massive decrease","No",,,"",0,"Yes","Build Rental houses"
"72-10-49-63","Hectares","",0,0,0,0,.4,0,0,,,,,"State owned",,,"No",,"",,"",,"Very likely","No",,,,,,,,,,,,,"No",,,,,,,14,"The same","Massive increase","No",,,"",0,"No","Have many in my name"
"65-98-70-74","Hectares","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,5,"Slight decrease","Slight increase","No",,,"",0,"Yes","For crop production and livestock keeping."
"71-09-05-63","Other➡️ Please specify","metre squared",6,0,0,0,.0004,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,3,"Slight decrease","The same","No",,,"",1,"Yes","To build for her grand children"
"81-05-32-56","Hectares","",3,0,0,0,.5,0,0,"Co-share/ co-farming",,,,"Co-share/ co-farming",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"Yes","For increase my livestock and protect them from being eaten by wildlife"
"30-09-94-93","Hectares","",0,0,0,0,22.352235,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","To strart a business"
"85-23-91-16","Hectares","",10,0,5,0,1,0,0,"Communally owned",,"Communally owned",,"Communally owned",,,"Yes","Other individuals","","LC Court","","No","Likely","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No",,"Yes",5,"Yes","No","No","No",,0,"The same","The same","No",,,"",0,"Yes","For crop production"
"53-06-23-41","Hectares","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",0,"Yes","residential"
"93-66-25-28","Hectares","",0,0,0,0,.15,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","The same","No",,,"",0,"Yes","building rental houses"
"43-14-97-16","Other➡️ Please specify","metre",0,0,0,0,.04,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive increase","No",,,"",0,"Yes","To acquire more land for children"
"49-90-63-33","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,2,"Slight increase","Slight increase","No",,,"",0,"Yes","I want to start my own business"
"68-84-82-12","Hectares","",2,1,0,0,.13,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"No",,"",,"",,"unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",1,"Yes","No","No","No",,0,"Slight decrease","Massive decrease","No",,,"",2,"No","Old age"
"25-99-22-65","Hectares","",0,0,0,0,.16,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,5,"Slight decrease","Massive decrease","No",,,"",2,"Yes","want to do busi"
"86-16-04-54","Hectares","",0,0,0,0,.16,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,1,"Slight decrease","Slight increase","No",,,"",0,"No","I'm too Old"
"42-95-35-09","Hectares","",0,0,4,0,.16,.16,0,,,"Communally owned",,"Communally owned","Communally owned",,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",4,"Yes","No","No","No",,10,"Massive decrease","Slight increase","No",,,"",1,"No","TOO OLD TO WORK AND BRING IN DEVELOPMENTS"
"54-69-26-46","Hectares","",0,0,0,0,.12,0,0,,,,,"Private owned with land title",,,"Yes","Within family","","LC Court","","Yes","Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",1,"No","No","Yes","No",,1,"Slight decrease","Slight increase","No",,,"",0,"No","This is enough for us in terms of affordability"
"92-23-96-13","Hectares","",100,0,0,0,.1,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","Commercial plots"
"22-90-51-93","Hectares","",15,0,0,11,.14,0,0,"Private owned with land title",,,"Private owned with land title","Private owned with land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive increase","Massive increase","No",,,"",1,"Yes","For inheritance purposes"
"15-81-26-28","Hectares","",0,0,0,0,.12,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,5,"Slight decrease","Massive decrease","No",,,"",0,"Yes","residential"
"20-52-90-88","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"The same","The same","No",,,"",0,"Yes","For crop production and livestock keeping"
"35-31-07-84","Hectares","",4,0,4,0,.16,0,0,"Communally owned",,"Communally owned",,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"Yes","To build residential homes"
"09-47-23-08","Hectares","",47,0,0,0,.0875,0,0,"Communally owned",,,,"Communally owned",,,"Yes","Government","","Magistrate","","Yes","Maybe, maybe not","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,18,"Slight increase","Slight increase","No",,,"",1,"Yes","I want another farmland for livestock production"
"03-49-16-10","Hectares","",0,0,0,0,0,0,0,,,,,,,,"Yes","Within family","","LC Court","","Yes","Very likely","Yes","No","No","No","No","No","No","No","No","Yes","No","No",,"No",,,,,,,0,"The same","The same","No",,,"",0,"Yes","For building construction"
"65-48-87-48","Hectares","",8,0,0,0,.12,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","commercial plots"
"54-94-74-75","Hectares","",0,0,0,0,.15,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No",,"No",,,,,,,0,"Slight increase","Massive decrease","No",,,"",0,"Yes","For livestock rearing"
"70-40-01-04","Hectares","",0,0,0,0,.16,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",0,"Yes","to establish a business"
"33-37-06-20","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,5,"Slight decrease","Slight decrease","No",,,"",0,"Yes","the respondent doesn't have any plot and farmland"
"11-89-65-58","Hectares","",0,0,0,0,.16,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,2,"Slight increase","Slight decrease","No",,,"",0,"Yes","to have a plot where they are opportunities in business and work"
"86-01-74-97","Hectares","",0,0,0,0,.15,0,.16,,,,,"Communally owned",,"Communally owned","No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No",,"No",,,,,,,10,"Massive decrease","Slight increase","No",,,"",0,"Yes","To build residential homes for rent"
"18-63-27-64","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","ploughing field"
