interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"84-22-47-37","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","We travel long distance to reach where there is firewood."
"44-69-61-71","Firewood",1,"Other (please specify)","1t truck","No",,,"",,,"Yes",400,"Slight decrease","Slight decrease","","alot of people in my community use firewood"
"44-69-61-71","Sand, stone, mud",1,"Other (please specify)","1t truck","No",,,"",,,"Yes",1500,"Slight decrease","Slight decrease","","because alot of people use sand to construct houses"
"72-65-35-75","Firewood",20,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"72-65-35-75","Medicinal plants",1,"Grams","","No",,,"",,,"No",,"The same","The same","",""
"92-30-60-06","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"The same","Massive decrease","",""
"92-30-60-06","Sand, stone, mud",1,"Other (please specify)","1t truck","No",,,"",,,"No",,"The same","The same","",""
"72-37-57-39","Firewood",12,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"72-37-57-39","Medicinal plants",1,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","The same","every rainy season comes with new plants",""
"76-02-50-71","Firewood",1,"Other (please specify)","1 load of a small truck","No",,,"",,,"Yes",300,"Slight increase","Massive decrease","a lot of land is allocated as farms",""
"76-02-50-71","Wild fruits",2,"Basins","","No",,,"",,,"No",,"The same","Slight decrease","",""
"75-53-97-04","Firewood",2,"Tonnes","","No",,,"",,,"No",,"The same","The same","",""
"75-53-97-04","Wild fruits",5,"Basins","","Yes",3,"Basins","","No",10,"No",,"Slight increase","Slight increase","Favorable rainfall amounts",""
"33-94-27-06","Firewood",5,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","high usage"
"02-07-42-94","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","high usage in household"
"87-31-98-00","Firewood",1,"Other (please specify)","load of small truck","No",,,"",,,"Yes",200,"Slight increase","Slight decrease","alot of people collect firewood and no trees are planted",""
"87-31-98-00","Wild fruits",1,"50 kg bag","","No",,,"",,,"No",,"Slight decrease","The same","","depends an the amount of rainfall that their area is receiving"
"68-12-26-88","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Depletion of natural resources"
"68-12-26-88","Wild fruits",1,"Basins","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Wild animals also consume the fruits, so there's a high competition between humans and wildlife"
"21-07-91-22","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Many people are fetching firewood"
"59-08-91-97","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"The same","The same","",""
"15-39-44-44","Firewood",300,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"70-81-99-80","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Less trees"
"57-32-99-06","Firewood",2,"Tonnes","","No",,,"",,,"Yes",700,"The same","Slight decrease","",""
"60-00-51-13","Firewood",100,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","to many people use firewood in the village."
"03-72-03-14","Firewood",5,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"32-51-19-72","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","too much harvesting"
"95-19-87-73","Firewood",5,"Tonnes","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","overharvesting"
"09-07-28-33","Firewood",5,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","THE FOREST IS PUSHING FAR FROM HOMESTEADS"
"82-76-66-89","Firewood",5,"Wheelbarrow","","No",,,"",,,"No",,"The same","The same","",""
"32-84-70-99","Firewood",1,"Bale / Bundle","","No",,,"",,,"Yes",150,"Slight decrease","Slight decrease","","Heating water for bathing"
"97-60-60-10","Firewood",1,"Tonnes","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","More people firewood to cook"
"77-34-61-84","Firewood",100,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","There are a lot of people who use firewood in the same area."
"56-62-79-46","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","because alot of people on the village use firewood alot"
"11-13-66-94","Firewood",60,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"15-09-86-52","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight increase","","There were many readily available trees that firewood could be harvested from"
"91-02-01-07","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Slight increase","Slight decrease","There is plenty of vegetation been cleared safety reasons from wild animals",""
"25-52-14-98","Firewood",4,"Tonnes","","No",,,"",,,"Yes",100,"Massive increase","Massive increase","deforestation",""
"54-44-91-10","Firewood",30,"Numbers","","No",,,"",,,"No",,"Slight increase","Slight increase","There are new trees every year..",""
"76-65-29-85","Firewood",1,"Tonnes","","No",,,"",,,"No",,"The same","The same","",""
"02-98-88-27","Firewood",1,"Tonnes","","No",,,"",,,"No",,"Slight increase","Massive decrease","DEMAND IS HIGH AND SUPPLY IS LOW",""
"94-29-79-85","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"The same","The same","",""
"94-29-79-85","Wild fruits",2,"Basins","","Yes",1,"Basins","","No",5,"No",,"Slight increase","Slight decrease","There was enough rainfall",""
"73-36-17-40","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight increase","Massive decrease","THE FOREST IS TURNING INTO RESIDENCIAL PLOTS.",""
"42-46-38-01","Firewood",50,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"73-70-95-80","Firewood",60,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Developments taking place in the area which require clearing of land"
"65-38-87-54","Firewood",1,"Wheelbarrow","","No",,,"",,,"Yes",50,"Massive decrease","Massive decrease","","More people use them to cook"
"43-00-27-37","Firewood",2,"Tonnes","","No",,,"",,,"Yes",0,"The same","Slight decrease","",""
"13-97-69-06","Firewood",160,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Climate change as well as elephants which destroy most of the trees"
"13-97-69-06","Wild fruits",12,"Kilograms","","No",,,"",,,"No",,"The same","Slight decrease","",""
"81-33-83-30","Firewood",5,"Wheelbarrow","","No",,,"",,,"No",,"Massive increase","Slight decrease","There were less regulations",""
"19-42-84-15","Firewood",7,"Wheelbarrow","","No",,,"",,,"No",,"The same","The same","",""
"13-49-27-25","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","high usage"
"22-02-04-35","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Residential plots are now given to people"
"22-02-04-35","Sand, stone, mud",1,"Tonnes","","No",,,"",,,"Yes",700,"Massive decrease","Massive decrease","","Less area to get sand from"
"22-02-04-35","Wild fruits",1,"Kilograms","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Competition with wild animals"
"00-91-45-36","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","high usage in households"
"11-05-72-97","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Animals break trees"
"11-05-72-97","Wild fruits",2,"Kilograms","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Eaten by elephants"
"31-99-53-07","Firewood",1,"Other (please specify)","1t truck","No",,,"",,,"No",,"The same","The same","",""
"48-93-31-20","Firewood",5,"Tonnes","","No",,,"",,,"Yes",2000,"The same","The same","",""
"48-93-31-20","Sand, stone, mud",10,"Tonnes","","No",,,"",,,"Yes",2000,"The same","The same","",""
"48-93-31-20","Wild fruits",25,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"87-13-21-98","Wood for charcoal production",50,"50 kg bag","","No",,,"",,,"Yes",50,"Massive increase","Slight decrease","High supply from Zambia",""
"59-41-96-68","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Depletion of Natural Resources"
"22-18-88-41","Firewood",3,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","We no longer allowed to cut trees like before"
"86-04-16-80","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"The same","Slight decrease","",""
