interview__key,num_plots,lnd_mes,lnd_mes_1,plot_name,plot_area,begin_year,land_acquire,time_plot_home,soil_type,signs_good_plot__1,signs_good_plot__2,signs_good_plot__3,signs_good_plot__4,signs_good_plot__5,signs_good_plot__6,signs_good_plot__96,signs_good_plot_oth,plot_problem__1,plot_problem__2,plot_problem__3,plot_problem__4,plot_problem__5,plot_problem__6,plot_problem__96,plot_problem_other,if_soilwater_cons__1,if_soilwater_cons__2,if_soilwater_cons__3,if_soilwater_cons__4,if_soilwater_cons__5,if_soilwater_cons__6,if_soilwater_cons__7,if_soilwater_cons__9,if_soilwater_cons__10,if_soilwater_cons__11,if_soilwater_cons__12,if_soilwater_cons__13,if_soilwater_cons__14,if_soilwater_cons__15,if_soilwater_cons__96,if_soilwater_conservation_other,trees_onfarm,why_trees__1,why_trees__2,why_trees__3,why_trees__4,why_trees__5,why_trees__96,why_trees_oth
"84-22-47-37",1,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"44-69-61-71",1,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"05-76-24-30",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"72-65-35-75",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"92-30-60-06",1,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"94-77-43-36",1,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"72-37-57-39",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"76-02-50-71",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"75-53-97-04",1,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"61-20-94-35",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"33-94-27-06",2,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"02-07-42-94",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"48-79-63-92",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"87-31-98-00",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"68-12-26-88",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"21-07-91-22",3,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"59-08-91-97",1,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"15-39-44-44",1,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"70-81-99-80",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"57-32-99-06",2,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"60-00-51-13",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"03-72-03-14",1,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"32-51-19-72",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"95-19-87-73",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"09-07-28-33",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"82-76-66-89",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"32-84-70-99",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"97-60-60-10",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"77-34-61-84",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"51-45-20-69",1,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
