interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"41-82-62-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"57-39-86-38","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-31-29-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-48-42-67","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"88-51-36-66","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"88-12-77-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-63-55-71","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-89-64-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-29-00-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-10-11-11","Yes","Yes",,"Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No",,150,,,,,,,,,,
"80-48-57-31","Yes","No","1001-1500 m","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"03-33-65-79","Yes","No","1001-1500 m","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"86-28-43-28","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"95-58-64-05","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,30,,,,,,,,,,
"51-45-88-78","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,100,,,,,,,,,,
"90-62-42-39","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"71-64-26-40","Yes","Yes",,"No","No","No","No","No","No","No","No","No","Yes","No","No","No",,60,"No","Yes","Yes","No","No","No","No","No","No",
"81-24-00-67","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-70-32-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"82-97-70-37","Yes","Yes",,"Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No",,250,,,,,,,,,,
"62-46-14-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-10-70-44","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","No","No","No","No",,60,,,,,,,,,,
"72-64-30-28","Yes","Yes",,"Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",,150,,,,,,,,,,
"13-26-76-47","Yes","Yes",,"Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No",,100,,,,,,,,,,
"49-80-23-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-00-13-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-57-10-38","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-84-94-36","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"18-54-82-39","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"72-38-29-03","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"20-35-14-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-76-98-64","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,400,,,,,,,,,,
"46-71-82-60","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No",,60,,,,,,,,,,
"24-76-27-27","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",,0,,,,,,,,,,
"85-49-52-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-14-53-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-25-83-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-70-09-40","Yes","No","1001-1500 m","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,15,,,,,,,,,,
"14-14-61-40","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No",,100,,,,,,,,,,
"79-24-47-25","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"98-74-77-48","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,50,,,,,,,,,,
"45-71-76-98","Yes","Yes",,"Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No",,100,,,,,,,,,,
"07-23-89-71","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","Yes","No","No","No",,400,"No","No","Yes","No","Yes","No","No","No","No",
"05-94-07-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-90-20-54","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"50-03-32-43","Yes","Yes",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No",,300,"No","No","Yes","No","No","No","No","No","No",
"62-49-02-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-29-94-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
