interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"43-14-97-16",3,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"43-14-97-16",4,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"49-90-63-33",1,"No",,"No","No intention to migrate",,"",,,,,,
"49-90-63-33",2,"No",,"No","No intention to migrate",,"",,,,,,
"49-90-63-33",3,"No",,"No","No intention to migrate",,"",,,,,,
"49-90-63-33",4,"No",,"No","No intention to migrate",,"",,,,,,
"49-90-63-33",5,"No",,"No","No intention to migrate",,"",,,,,,
"68-84-82-12",1,"No",,"No","No intention to migrate",,"",,,,,,
"68-84-82-12",2,"No",,"No","No intention to migrate",,"",,,,,,
"68-84-82-12",3,"No",,"Yes","No intention to migrate",,"",2020,2020,,,,
"68-84-82-12",4,"No",,"No","No intention to migrate",,"",,,,,,
"68-84-82-12",5,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"68-84-82-12",6,"No",,"No","No intention to migrate",,"",,,,,,
"68-84-82-12",7,"No",,"No","No intention to migrate",,"",,,,,,
"68-84-82-12",8,"No",,"No","No intention to migrate",,"",,,,,,
"68-84-82-12",9,"No",,"No","No intention to migrate",,"",,,,,,
"25-99-22-65",1,"No",,"No","No intention to migrate",,"",,,,,,
"25-99-22-65",2,"No",,"No","No intention to migrate",,"",,,,,,
"25-99-22-65",3,"No",,"No","No intention to migrate",,"",,,,,,
"25-99-22-65",4,"No",,"No","Yes temporarily migrate","Don’t know","",,,,,,
"25-99-22-65",5,"No",,"No","No intention to migrate",,"",,,,,,
"86-16-04-54",1,"No",,"No","No intention to migrate",,"",,,,,,
"86-16-04-54",2,"No",,"No","No intention to migrate",,"",,,,,,
"86-16-04-54",3,"No",,"No","No intention to migrate",,"",,,,,,
"42-95-35-09",1,"No",,"No","No intention to migrate",,"",,,,,,
"42-95-35-09",2,"No",,"No","No intention to migrate",,"",,,,,,
"42-95-35-09",3,"No",,"Yes","Yes temporarily migrate","village outside region","",2019,2022,,,,
"54-69-26-46",1,"No",,"No","No intention to migrate",,"",,,,,,
"54-69-26-46",2,"No",,"No","No intention to migrate",,"",,,,,,
"92-23-96-13",1,"No",,"No","No intention to migrate",,"",,,,,,
"92-23-96-13",2,"No",,"No","No intention to migrate",,"",,,,,,
"92-23-96-13",3,"No",,"No","No intention to migrate",,"",,,,,,
"22-90-51-93",1,"No",,"No","No intention to migrate",,"",,,,,,
"22-90-51-93",2,"No",,"No","No intention to migrate",,"",,,,,,
"15-81-26-28",1,"No",,"No","No intention to migrate",,"",,,,,,
