interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"50-01-20-35",1,12,,"","Female","Self/Head","87","Widow/ Widower","Subiya","Other➡️ Please specify","Christianity","Other educational training","No","Other","marriage",,"","","","No",,
"50-01-20-35",2,12,,"","Female","Son/Daughter-In-Law","68",,"subiya",,"","University level",,,"",,"francistown teacher training college","1995","diploma in early childhood","No",,
"50-01-20-35",3,12,,"","Male","Son/Daughter-In-Law","46",,"subiya",,"","University level",,,"",,"University of botswana","2000","studied diploma in procurement and supply","No",,
"50-01-20-35",4,12,,"","Female","Son/Daughter-In-Law","46",,"subiya",,"","University level",,,"",,"Cambridge college","2013","diploma in hotel operations and management","Yes","Yes","No"
"50-01-20-35",5,12,,"","Male","Grandchild","39",,"subiya",,"","Other educational training","No","Poor academic progress","",,"","","","No",,
"50-01-20-35",6,12,,"","Female","Grandchild","23",,"subiya",,"","Form 5","Yes",,"",,"","","","Yes","Yes","No"
"50-01-20-35",7,12,,"","Male","Grandchild","16",,"subiya",,"","Form 2","Yes",,"",,"","","","No",,
"50-01-20-35",8,12,,"","Male","Grandchild","10",,"subiya",,"","Standard 4","Yes",,"",,"","","",,,
"67-87-75-21",1,12,,"","Male","Self/Head","49","Never Married","Subia","Non-religious","","Standard 7","No","Poor academic progress","",,"","","","No",,
"67-87-75-21",2,12,,"","Female","Sister/Brother","47",,"Subia",,"","Form 2","No","Too expensive","",,"","","","Yes","No","Yes"
"67-87-75-21",3,12,,"","Female","Sister/Brother","40",,"Subia",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"67-87-75-21",4,12,,"","Male","Niece/Nephew","21",,"Subia",,"","Form 3","No","Poor academic progress","",,"","","","Yes","No","Yes"
"67-87-75-21",5,12,,"","Female","Niece/Nephew","18",,"Kalanga",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"67-87-75-21",6,12,,"","Female","Niece/Nephew","12",,"Subia",,"","Standard 7","Yes",,"",,"","","","No",,
"67-87-75-21",7,12,,"","Female","Niece/Nephew","3",,"Subia",,"",,"No","Other","Minor",,"","","",,,
"67-87-75-21",8,12,,"","Female","Niece/Nephew","27",,"Subia",,"","University level",,,"",,"Botho University","2021","Tourism and Hospitality","No",,
"67-87-75-21",9,12,,"","Male","Niece/Nephew","17",,"Subia",,"","Form 3","Yes",,"",,"","","","No",,
"67-87-75-21",10,12,,"","Female","Niece/Nephew","15",,"Subia",,"","Standard 7","Yes",,"",,"","","","No",,
"53-81-28-44",1,12,,"","Male","Self/Head","49","Divorced /Separated","Subiya","Catholic","","Standard 2","No","Had to help at home","",,"","","","No",,
"53-81-28-44",2,12,,"","Male","Child/Adopted Child","13",,"Subiya",,"","Standard 2","Yes",,"",,"","","","No",,
"69-29-47-18",1,12,,"","Female","Self/Head","37","Never Married","Motawana","Other➡️ Please specify","Christianity","Form 3","No","Poor academic progress","",,"","","","No",,
"69-29-47-18",2,12,,"","Female","Child/Adopted Child","19",,"motawana",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"69-29-47-18",3,12,,"","Male","Child/Adopted Child","16",,"motawana",,"","Form 3","Yes",,"",,"","","","No",,
"69-29-47-18",4,12,,"","Male","Child/Adopted Child","14",,"motawana",,"","Standard 7","Yes",,"",,"","","","No",,
"69-29-47-18",5,12,,"","Female","Child/Adopted Child","8",,"motawana",,"","Standard 1","Yes",,"",,"","","",,,
"69-29-47-18",6,12,,"","Female","Child/Adopted Child","6",,"motawana",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"69-29-47-18",7,12,,"","Female","Niece/Nephew","23",,"motawana",,"","Form 5","Yes",,"",,"","","","Yes","No","Yes"
"69-29-47-18",8,12,,"","Male","Niece/Nephew","21",,"motawana",,"","Other educational training","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"69-29-47-18",9,12,,"","Male","Niece/Nephew","11",,"motawana",,"","Standard 5","Yes",,"",,"","","","No",,
"69-29-47-18",10,8,"New arrivals - New born","","Male","Niece/Nephew","Less than 1 year",,"motawana",,"",,"No","Other","8 months old",,"","","",,,
"69-29-47-18",11,7,"New arrivals - New born","","Female","Niece/Nephew","Less than 1 year",,"motawana",,"",,"No","Other","7 months old",,"","","",,,
"22-59-76-95",1,12,,"","Male","Wife/Husband","41",,"Monoka",,"","Form 3","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"22-59-76-95",2,12,,"","Female","Wife/Husband","40",,"Monoka",,"","Standard 3","No","Too expensive","",,"","","","Yes","Yes","No"
"22-59-76-95",3,6,"New arrivals - Education","","Male","Child/Adopted Child","19",,"Monoka",,"","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"22-59-76-95",4,12,,"","Female","Child/Adopted Child","4",,"Monoka",,"",,"Yes",,"",0,"","","",,,
"87-80-21-51",1,12,,"","Female","Child/Adopted Child","45",,"Subiya",,"","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"87-80-21-51",3,12,,"","Male","Grandchild","17",,"Subiya",,"","Form 3","Yes",,"",,"","","","No",,
"87-80-21-51",4,12,,"","Male","Grandchild","31",,"Subiya",,"","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"87-80-21-51",5,12,,"","Female","Grandchild","15",,"Subiya",,"","Form 2","Yes",,"",,"","","","No",,
"87-80-21-51",6,12,,"","Female","Grandchild","8",,"Subiya",,"","Standard 3","Yes",,"",,"","","",,,
"87-80-21-51",7,12,,"","Male","Grandchild","6",,"Subiya",,"","Standard 1","Yes",,"",,"","","",,,
"21-25-86-78",1,12,,"","Male","Self/Head","56","Married monogamously","Tswana","Protestant demoninantions (incl all non-catholic denominations)","","Form 5","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"21-25-86-78",2,12,,"","Female","Wife/Husband","41",,"Tswana",,"","Form 5","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"21-25-86-78",3,12,,"","Male","Child/Adopted Child","19",,"Tswana",,"","Other educational training","Yes",,"",,"","","","No",,
"21-25-86-78",4,12,,"","Female","Child/Adopted Child","25",,"Tswana",,"","Form 5","No","Completed desired schooling","",,"","","","No",,
"28-99-62-67",1,12,,"","Male","Self/Head","32","Never Married","SUBIYA","Non-religious","","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"28-99-62-67",2,12,,"","Male","Sister/Brother","22",,"SUBIYA",,"","University level",,,"",,"OODI COLLEGE OF APPLIED ARTS AND TECHNOLOGY","2022","GEMOLOGY LEVEL 1","Yes","Yes","No"
"28-99-62-67",3,12,,"","Male","Sister/Brother","24",,"SUBIYA",,"","University level",,,"",,"UNIVERSITY OF BOTSWANA","2022","HUMAN RESOURCE MANAGEMENT","Yes","Yes","No"
"28-99-62-67",4,3,"New arrivals - Education","","Male","Sister/Brother","20",,"SUBIYA",,"","Form 5","Yes",,"",,"","","","No",,
"14-08-31-40",1,12,,"","Female","Self/Head","76","Widow/ Widower","Subiya","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","Had to help with farm work","",,"","","","No",,
"43-12-71-52",1,12,,"","Female","Self/Head","27","Never Married","YEYI","Protestant demoninantions (incl all non-catholic denominations)","","Form 5","No","Poor academic progress","",,"","","","No",,
"43-12-71-52",2,12,,"","Male","Sister/Brother","21",,"YEYI",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"43-12-71-52",3,12,,"","Female","Sister/Brother","19",,"YEYI",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"43-12-71-52",4,12,,"","Male","Niece/Nephew","20",,"YEYI",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"43-12-71-52",5,12,,"","Female","Niece/Nephew","16",,"YEYI",,"","Form 3","Yes",,"",,"","","","No",,
"43-12-71-52",6,12,,"","Male","Sister/Brother","31",,"YEYI",,"","Standard 7","No","Sickness or calamity in family","",,"","","","No",,
"43-12-71-52",7,12,,"","Male","Child/Adopted Child","5",,"YEYI",,"","No formal education","No","Other","STILL YOUNG",,"","","",,,
"43-12-71-52",8,12,,"","Male","Niece/Nephew","31",,"YEYI",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"43-12-71-52",9,12,,"","Male","Niece/Nephew","10",,"YEYI",,"","Standard 4","Yes",,"",,"","","",,,
"43-12-71-52",10,12,,"","Male","Sister/Brother","15",,"YEYI",,"","Form 2","Yes",,"",,"","","","No",,
"43-12-71-52",11,12,,"","Male","Sister/Brother","30",,"YEYI",,"","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"64-05-81-04",1,12,,"","Male","Self/Head","50","Never Married","subiya","Protestant demoninantions (incl all non-catholic denominations)","","Form 3","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"64-05-81-04",2,12,,"","Female","Other Non-Relative","39",,"san",,"","Standard 7","No","Completed desired schooling","",,"","","","No",,
"52-46-02-95",1,4,"New arrivals - To look for work","","Male","Other Non-Relative","44",,"Subiya",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"52-46-02-95",2,4,"New arrivals - To look for work","","Female","Self/Head","34","Never Married","Mbukushu","Catholic","","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"52-46-02-95",3,4,"Members that left - Looking for work elsewhere","","Male","Child/Adopted Child","19",,"Subiya",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"52-46-02-95",4,4,"New arrivals - To look for work","","Male","Child/Adopted Child","17",,"Subiya",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"52-46-02-95",5,4,"Members that left - To escape insecurity from this area","","Male","Child/Adopted Child","7",,"Subiya",,"","Standard 1","Yes",,"",,"","","",,,
"45-07-09-59",1,12,,"","Male","Self/Head","50","Married monogamously","Subiya","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","Sickness or calamity in family","",,"","","","Yes","Yes","No"
"52-28-82-48",1,12,,"","Female","Brother/Sister-In-Law","27",,"Subiya",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"52-28-82-48",2,12,,"","Female","Other Non-Relative","20",,"Subiya",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"52-28-82-48",3,12,,"","Male","Self/Head","29","Never Married","Subiya","Catholic","","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"52-28-82-48",4,12,,"","Female","Niece/Nephew","6",,"Subiya",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"52-28-82-48",5,12,,"","Male","Niece/Nephew","3",,"Subiya",,"",,"No","Other","because he is too young",,"","","",,,
"72-80-69-88",1,12,,"","Male","Self/Head","48","Never Married","Mosubiya","Protestant demoninantions (incl all non-catholic denominations)","","Form 2","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"72-80-69-88",2,5,"New arrivals - To look for work","","Male","Other Relative","44",,"Mokalaka",,"","Form 2","No","Completed desired schooling","",,"","","","No",,
"72-80-69-88",3,5,"New arrivals - To look for work","","Male","Other Non-Relative","47",,"Mokalaka",,"","Form 2","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"17-89-78-78",1,12,,"","Male","Self/Head","36","Never Married","Subiya","Catholic","","Other educational training","No","Poor academic progress","",,"","","","Yes","Yes","No"
"07-52-31-91",1,12,,"","Female","Self/Head","46","Never Married","Subiya","Catholic","","Standard 7","No","Too expensive","",,"","","","Yes","No","Yes"
"07-52-31-91",2,12,,"","Female","Child/Adopted Child","26",,"Subiya",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"07-52-31-91",3,12,,"","Male","Child/Adopted Child","29",,"Subiya",,"","Form 3","No","Not willing to attend further","",,"","","","No",,
"07-52-31-91",4,12,,"","Male","Child/Adopted Child","19",,"Subiya",,"","Form 3","Yes",,"",,"","","","No",,
"07-52-31-91",5,12,,"","Female","Sister/Brother","36",,"Subiya",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"07-52-31-91",6,12,,"","Female","Niece/Nephew","10",,"Subiya",,"","Standard 5","Yes",,"",,"","","",,,
"07-52-31-91",7,12,,"","Female","Grandchild","7",,"Subiya",,"","Standard 2","Yes",,"",,"","","",,,
"07-52-31-91",8,12,,"","Female","Niece/Nephew","8",,"Subiya",,"","Standard 3","Yes",,"",,"","","",,,
"07-52-31-91",9,12,,"","Male","Grandchild","5",,"Subiya",,"","Nursey/ Kindergarten/ECD","Yes",,"",600,"","","",,,
"07-52-31-91",10,12,,"","Female","Niece/Nephew","14",,"Subiya",,"","Form 1","Yes",,"",,"","","","No",,
"99-68-20-94",1,12,,"","Female","Self/Head","59","Married monogamously","Subiya","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Parents did not want","",,"","","","No",,
"99-68-20-94",2,5,"New arrivals - Other economic reasons","","Female","Child/Adopted Child","39",,"Subiya",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"99-68-20-94",3,12,,"","Male","Child/Adopted Child","30",,"Subiya",,"","Form 5","No","Poor academic progress","",,"","","","No",,
"99-68-20-94",5,12,,"","Male","Grandchild","3",,"Subiya",,"",,"No","Parents did not want","",,"","","",,,
"99-68-20-94",6,12,,"","Male","Grandchild","3",,"Subiya",,"",,"No","Parents did not want","",,"","","",,,
"99-68-20-94",7,12,,"","Female","Grandchild","10",,"Subiya",,"","Standard 5","Yes",,"",,"","","",,,
"84-66-38-33",1,12,,"","Female","Self/Head","44","Never Married","Nyemba","Protestant demoninantions (incl all non-catholic denominations)","","Form 2","No","Poor academic progress","",,"","","","Yes","Yes","Yes"
"84-66-38-33",2,12,,"","Female","Child/Adopted Child","14",,"Molete Tswana sub group",,"","Form 1","Yes",,"",,"","","","No",,
"84-66-38-33",3,12,,"","Female","Niece/Nephew","9",,"Molete Tswana sub group",,"","Standard 2","Yes",,"",,"","","",,,
"84-66-38-33",4,12,,"","Male","Grandchild","1",,"Mmirwa",,"",,"No","I don't Know","",,"","","",,,
"39-36-01-20",1,12,,"","Female","Self/Head","54","Never Married","Ngwato","Catholic","","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"39-36-01-20",2,12,,"","Male","Other Non-Relative","60",,"Mbukushu",,"","Standard 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"39-36-01-20",3,12,,"","Female","Child/Adopted Child","19",,"Kalanga",,"","Form 5","No","Poor academic progress","",,"","","","No",,
"39-36-01-20",4,12,,"","Female","Child/Adopted Child","12",,"Mbukushu",,"","Standard 6","Yes",,"",,"","","","No",,
"39-36-01-20",5,12,,"","Male","Grandchild","5",,"Kalanga",,"","Nursey/ Kindergarten/ECD","Yes",,"",100,"","","",,,
"05-30-74-26",1,12,,"","Female","Son/Daughter-In-Law","34",,"Kgalagadi",,"","University level",,,"",,"Gaborone Institute of Professional Studies","2017","Honors in Travel and Tourism Management","No",,
"05-30-74-26",2,12,,"","Female","Self/Head","55","Divorced /Separated","Subiya","Protestant demoninantions (incl all non-catholic denominations)","","Standard 4","No","Had to help at home","",,"","","","No",,
"05-30-74-26",3,12,,"","Male","Child/Adopted Child","33",,"Subiya",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"05-30-74-26",4,12,,"","Male","Other Relative","63",,"Hambukushu",,"","Standard 7","No","Too expensive","",,"","","","No",,
"05-30-74-26",5,12,,"","Female","Grandchild","11",,"Kgalagadi",,"","Standard 5","Yes",,"",,"","","","No",,
"22-19-53-02",1,12,,"","Female","Self/Head","35","Never Married","Subiya","Other➡️ Please specify","christianity","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"22-19-53-02",2,12,,"","Male","Sister/Brother","30",,"subiya",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"22-19-53-02",3,12,,"","Female","Sister/Brother","24",,"subiya",,"","Standard 6","No","Other","person living with disabilities",,"","","","No",,
"22-19-53-02",4,12,,"","Male","Niece/Nephew","5",,"subiya",,"","Nursey/ Kindergarten/ECD","Yes",,"",500,"","","",,,
"22-19-53-02",5,12,,"","Female","Niece/Nephew","5",,"subiya",,"","Nursey/ Kindergarten/ECD","Yes",,"",500,"","","",,,
"22-19-53-02",6,12,,"","Female","Niece/Nephew","1",,"subiya",,"",,"No","Other","still young",,"","","",,,
"20-37-92-05",1,12,,"","Male","Child/Adopted Child","38",,"YEYI",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"20-37-92-05",2,12,,"","Female","Niece/Nephew","26",,"SAN",,"","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"20-37-92-05",3,12,,"","Female","Child/Adopted Child","27",,"HAMBUKUSHU",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"20-37-92-05",4,10,"Members that left - Other (Specify)","VISITED RELATIVES","Female","Son/Daughter-In-Law","23",,"SAN",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"20-37-92-05",5,12,,"","Male","Child/Adopted Child","26",,"HAMBUKUSHU",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"20-37-92-05",6,12,,"","Male","Child/Adopted Child","31",,"YEYI",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"20-37-92-05",7,12,,"","Male","Self/Head","55","Never Married","HAMBUKUSHU","Non-religious","","No formal education","No","Not willing to attend further","",,"","","","No",,
"67-95-64-84",1,12,,"","Male","Self/Head","47","Never Married","KALANGA","Non-religious","","Form 3","No","Had to help at home","",,"","","","No",,
"67-95-64-84",2,12,,"","Female","Wife/Husband","53",,"SUBIYA",,"","Standard 7","No","Had to help with family","",,"","","","No",,
"67-95-64-84",3,12,,"","Male","Child/Adopted Child","8",,"KALANGA",,"","Standard 2","Yes",,"",,"","","",,,
"67-07-39-08",1,12,,"","Female","Self/Head","42","Never Married","Hambukushu","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","Had to help with family","",,"","","","Yes","Yes","No"
"67-07-39-08",2,12,,"","Female","Niece/Nephew","18",,"hambukushu",,"","Form 3","No","Had to help with family","",,"","","","No",,
"67-07-39-08",3,12,,"","Female","Child/Adopted Child","19",,"Hambukushu",,"","Form 5","No","Other","Awaiting university",,"","","","No",,
"72-66-07-18",1,12,,"","Female","Self/Head","51","Never Married","Motalaote","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","Other","poverty in the family, parents could not pay for school fees",,"","","","No",,
"72-66-07-18",2,12,,"","Male","Other Non-Relative","45",,"Kalanga",,"","Form 3","No","Had to help at home","",,"","","","Yes","Yes","No"
"72-69-50-37",1,12,,"","Female","Self/Head","45","Never Married","Kalanga","Other➡️ Please specify","Christianity","No formal education","No","Parents did not want","",,"","","","No",,
"53-41-55-25",1,12,,"","Male","Child/Adopted Child","35",,"Monanjwa",,"","Standard 3","No","Too expensive","",,"","","","No",,
"53-41-55-25",2,12,,"","Male","Brother/Sister-In-Law","45",,"Mosobeya",,"","Other educational training","No","Too expensive","",,"","","","Yes","Yes","No"
"53-41-55-25",3,12,,"","Male","Child/Adopted Child","13",,"Monanjwa",,"","Form 1","Yes",,"",,"","","","No",,
"99-40-82-80",1,12,,"","Female","Wife/Husband","62",,"Lozi",,"","Form 3","No","Completed desired schooling","",,"","","","Yes","Yes","Yes"
"99-40-82-80",2,12,,"","Female","Grandchild","13",,"Hambukushu",,"","Standard 7","Yes",,"",,"","","","No",,
"99-40-82-80",3,12,,"","Male","Grandchild","8",,"Hambukushu",,"","Standard 2","Yes",,"",,"","","",,,
"23-54-03-81",1,12,,"","Male","Self/Head","50","Never Married","MOROTSI","Non-religious","","Standard 7","No","Poor academic progress","",,"","","","Yes","Yes","No"
"23-54-03-81",4,12,,"","Male","Niece/Nephew","16",,"MOSUBIA",,"","Form 2","Yes",,"",,"","","","No",,
"27-20-78-36",1,12,,"","Male","Self/Head","49","Married monogamously","Mosubiya","Protestant demoninantions (incl all non-catholic denominations)","","Form 2","No","Poor academic progress","",,"","","","Yes","Yes","No"
"27-20-78-36",2,12,,"","Female","Wife/Husband","42",,"Mosarwa",,"","Form 5","No","Not willing to attend further","",,"","","","Yes","Yes","No"
"27-20-78-36",3,4,"Members that left - Education","","Female","Child/Adopted Child","17",,"Mosubiya",,"","Form 4","Yes",,"",,"","","","No",,
"27-20-78-36",4,8,"Members that left - Looking for work elsewhere","","Male","Child/Adopted Child","28",,"Mosubiya",,"","University level",,,"",,"Botho University","2019","Network and Computer Forensics","No",,
"27-20-78-36",6,12,,"","Female","Child/Adopted Child","18",,"Mosubiya",,"","Form 5","Yes",,"",,"","","","Yes","Yes","No"
"84-90-94-70",1,11,"Members that left - Other (Specify)","visiting family members","Female","Self/Head","63","Never Married","Barotsi","Catholic","","Form 2","No","Sickness or calamity in family","",,"","","","No",,
"84-90-94-70",2,5,"New arrivals - Bad living conditions at home","","Female","Other Relative","23",,"Barotsi",,"","Adult Literacy","Yes",,"",,"","","","No",,
"03-79-50-93",1,12,,"","Male","Self/Head","39","Never Married","Nanjwa","Catholic","","Form 3","No","Sickness or calamity in family","",,"","","","Yes","No","Yes"
"03-79-50-93",2,12,,"","Female","Sister/Brother","35",,"Nanjwa",,"","No formal education","No","Too far away","",,"","","","Yes","Yes","No"
"03-79-50-93",3,12,,"","Male","Child/Adopted Child","17",,"Namjwa",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"03-79-50-93",4,12,,"","Male","Niece/Nephew","17",,"Kalanga",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"03-79-50-93",5,6,"New arrivals - Education","","Female","Child/Adopted Child","15",,"Nanjwa",,"","Form 2","Yes",,"",,"","","","No",,
"83-85-13-86",1,12,,"","Female","Self/Head","33","Never Married","San","Catholic","","Form 5","No","Too expensive","",,"","","","No",,
"83-85-13-86",2,12,,"","Male","Sister/Brother","24",,"San",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"83-85-13-86",3,12,,"","Female","Child/Adopted Child","12",,"San",,"","Standard 7","Yes",,"",,"","","","No",,
"83-85-13-86",4,12,,"","Female","Niece/Nephew","9",,"San",,"","Standard 4","Yes",,"",,"","","",,,
"83-85-13-86",5,12,,"","Female","Child/Adopted Child","6",,"Kalanga",,"","Standard 1","Yes",,"",,"","","",,,
"83-85-13-86",6,12,,"","Male","Child/Adopted Child","3",,"Kalanga",,"",,"No","Other","he is still young",,"","","",,,
"91-24-08-83",1,12,,"","Female","Self/Head","37","Never Married","MOSUBIYA","Other➡️ Please specify","Christianity","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","Yes"
"91-24-08-83",2,12,,"","Female","Sister/Brother","39",,"mosubiya",,"","University level",,,"",,"Zimbabwe college","2007","diploma in Chef","Yes","Yes","No"
"91-24-08-83",3,12,,"","Male","Sister/Brother","29",,"Mosubiya",,"","University level",,,"",,"Gips","2017","Tourism and hospitality management","Yes","Yes","No"
"25-32-96-44",1,12,,"","Female","Self/Head","64","Widow/ Widower","Subiya","Protestant demoninantions (incl all non-catholic denominations)","","Standard 3","Yes",,"",,"","","","Yes","Yes","No"
"25-32-96-44",2,12,,"","Female","Child/Adopted Child","25",,"Subiya",,"","Form 5","No","Had to help with family","",,"","","","Yes","Yes","No"
"97-99-83-33",1,12,,"","Male","Self/Head","35","Never Married","Mosubiya","Protestant demoninantions (incl all non-catholic denominations)","","Form 3","No","Completed desired schooling","",,"","","","No",,
"97-99-83-33",2,12,,"","Female","Other Non-Relative","36",,"Kalanga",,"","Form 5","No","Completed desired schooling","",,"","","","No",,
"55-35-77-06",1,11,"New arrivals - To look for work","","Male","Self/Head","30","Never Married","Subiya","African Traditional religion","","Form 3","No","Poor academic progress","",,"","","","No",,
"05-01-06-84",1,12,,"","Female","Sister/Brother","46",,"Ndebele",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"05-01-06-84",2,12,,"","Female","Sister/Brother","44",,"Ndebele",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"05-01-06-84",3,12,,"","Male","Sister/Brother","34",,"Ndebele",,"","Form 5","No","Poor academic progress","",,"","","","No",,
"05-01-06-84",4,12,,"","Female","Sister/Brother","37",,"Ndebele",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"05-01-06-84",5,12,,"","Female","Niece/Nephew","7",,"Ndebele",,"","Standard 3","Yes",,"",,"","","",,,
"05-01-06-84",6,12,,"","Male","Niece/Nephew","13",,"Ndebele",,"","Standard 7","Yes",,"",,"","","","No",,
"05-01-06-84",7,3,"Members that left - Looking for work elsewhere","","Male","Other Relative","23",,"Ngwato",,"","University level",,,"",,"Botswana accountancy college","2022","Computer systems engineering","Yes","Yes","No"
"05-01-06-84",8,12,,"","Female","Niece/Nephew","9",,"mmirwa",,"","Standard 5","Yes",,"",,"","","",,,
"05-01-06-84",9,12,,"","Female","Niece/Nephew","16",,"Ndebele",,"","Standard 7","Yes",,"",,"","","","No",,
"05-01-06-84",10,12,,"","Female","Niece/Nephew","3",,"Ndebele",,"",,"No","Other","too young",,"","","",,,
"49-78-46-84",1,12,,"","Male","Self/Head","34","Never Married","SUBIYA","Non-religious","","Form 3","No","Poor academic progress","",,"","","","No",,
"49-78-46-84",2,12,,"","Female","Wife/Husband","33",,"KALANGA",,"","Form 5","No","Poor academic progress","",,"","","","No",,
"49-78-46-84",3,12,,"","Male","Child/Adopted Child","4",,"SUBIYA",,"",,"No","Other","TOO YOUNG TO START SCHOOL",,"","","",,,
"49-78-46-84",4,12,,"","Female","Child/Adopted Child","3",,"SUBIYA",,"",,"No","Other","YOUNG TO START SCHOOL",,"","","",,,
"49-78-46-84",5,12,,"","Female","Child/Adopted Child","Less than 1 year",,"SUBIYA",,"",,"No","Other","STILL A BABY",,"","","",,,
"96-34-51-79",1,12,,"","Female","Self/Head","57","Married monogamously","Herero","Other➡️ Please specify","Christianity","Standard 7","No","Poor academic progress","",,"","","","Yes","Yes","No"
"96-34-51-79",2,12,,"","Male","Son/Daughter-In-Law","40",,"Herero",,"","Form 1","No","Other","says living conditions was not favorable",,"","","","No",,
"96-34-51-79",3,12,,"","Male","Son/Daughter-In-Law","40",,"Herero",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"96-34-51-79",4,12,,"","Male","Son/Daughter-In-Law","36",,"herero",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"96-34-51-79",5,12,,"","Male","Son/Daughter-In-Law","34",,"Herero",,"","Form 1","No","Refused to answer","",,"","","","No",,
"96-34-51-79",6,12,,"","Female","Son/Daughter-In-Law","26",,"herero",,"","Form 5","No","Poor academic progress","",,"","","","No",,
"96-34-51-79",7,12,,"","Female","Son/Daughter-In-Law","20",,"herero",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"96-34-51-79",8,12,,"","Female","Grandchild","5",,"Herero",,"","Nursey/ Kindergarten/ECD","Yes",,"",3000,"","","",,,
"96-34-51-79",9,12,,"","Female","Grandchild","14",,"hambukushu",,"","Form 2","Yes",,"",,"","","","No",,
"96-34-51-79",10,12,,"","Female","Grandchild","12",,"hambukushu",,"","Standard 6","Yes",,"",,"","","","No",,
"96-34-51-79",11,12,,"","Female","Grandchild","1",,"herero",,"",,"No","Other","toddler",,"","","",,,
"96-34-51-79",12,12,,"","Female","Grandchild","Less than 1 year",,"herero",,"",,"No","Other","toddler",,"","","",,,
"96-34-51-79",13,12,,"","Female","Grandchild","Less than 1 year",,"herero",,"",,"No","Other","Toddler",,"","","",,,
"96-34-51-79",14,12,,"","Male","Grandchild","1",,"herero",,"",,"No","Other","toddler",,"","","",,,
"96-34-51-79",15,12,,"","Male","Grandchild","Less than 1 year",,"herero",,"",,"No","Other","toddler",,"","","",,,
"05-90-60-44",1,12,,"","Female","Wife/Husband","41",,"Yeyi",,"","Form 3","No","Poor academic progress","",,"","","","No",,
