interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"49-47-26-23",6,12,,"","Male","Niece/Nephew","5",,"Basarwa",,"","No formal education","No","Other","still young",,"","","",,,
"49-47-26-23",7,12,,"","Female","Niece/Nephew","2",,"basarwa",,"",,"No","Other","still young",,"","","",,,
"66-81-51-91",1,5,"New arrivals - To look for work","","Female","Self/Head","21","Never Married","Kalanga","Protestant demoninantions (incl all non-catholic denominations)","","Form 5","No","Too expensive","",,"","","","Yes","Yes","No"
"66-81-51-91",2,5,"New arrivals - To look for work","","Female","Sister/Brother","25",,"Kalanga",,"","Form 5","No","Had to help at home","",,"","","","Yes","Yes","No"
"66-81-51-91",3,5,"New arrivals - Education","","Male","Niece/Nephew","11",,"Kalanga",,"","Standard 3","Yes",,"",,"","","","No",,
"66-81-51-91",4,5,"New arrivals - Education","","Male","Niece/Nephew","7",,"Kalanga",,"","No formal education","Yes",,"",,"","","",,,
"66-81-51-91",5,5,"New arrivals - To escape insecurity from home area","","Male","Niece/Nephew","1",,"Mosubiya",,"",,"No","Other","Minor",,"","","",,,
"02-25-80-90",1,12,,"","Female","Self/Head","59","Widow/ Widower","Mosubiya","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","Had to help with family","",,"","","","No",,
"02-25-80-90",2,12,,"","Male","Child/Adopted Child","43",,"Mosubiya",,"","Form 2","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"02-25-80-90",3,12,,"","Female","Child/Adopted Child","29",,"Mosubiya",,"","Form 5","No","Pregnancy","",,"","","","Yes","Yes","No"
"02-25-80-90",4,12,,"","Male","Grandchild","7",,"Mokalaka",,"","Standard 2","Yes",,"",,"","","",,,
"02-25-80-90",5,12,,"","Male","Grandchild","5",,"Mosubiya",,"","Nursey/ Kindergarten/ECD","Yes",,"",0,"","","",,,
"41-03-53-12",1,12,,"","Male","Self/Head","33","Never Married","subiya","Catholic","","Form 5","No","Poor academic progress","",,"","","","No",,
"41-03-53-12",2,12,,"","Female","Other Non-Relative","34",,"Mokalaka",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"41-03-53-12",3,12,,"","Female","Child/Adopted Child","3",,"Subiya",,"",,"No","Other","Still young",,"","","",,,
"09-25-62-80",1,12,,"","Male","Self/Head","73","Married monogamously","Mokalaka","Catholic","","No formal education","No","Other","Ancestral calling",,"","","","No",,
"09-25-62-80",2,12,,"","Female","Wife/Husband","67",,"Mokgatla",,"","Standard 7","No","Too expensive","",,"","","","No",,
"09-25-62-80",3,12,,"","Male","Child/Adopted Child","35",,"Mokalaka",,"","Form 3","No","Other","ancestral calling",,"","","","No",,
"09-25-62-80",4,12,,"","Male","Child/Adopted Child","33",,"Mokalaka",,"","Form 2","No","Other","ancestral calling",,"","","","No",,
"09-25-62-80",5,12,,"","Female","Child/Adopted Child","29",,"Mokalaka",,"","Form 3","No","Other","ancestral calling",,"","","","No",,
"09-25-62-80",6,12,,"","Female","Grandchild","7",,"Mokalaka",,"","Standard 2","Yes",,"",,"","","",,,
"09-25-62-80",7,12,,"","Male","Grandchild","1",,"Mokalaka",,"",,"No","Other","he is too young",,"","","",,,
"12-68-96-23",1,12,,"","Male","Self/Head","29","Never Married","Mokgatla","Other➡️ Please specify","Christianity","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"12-68-96-23",2,12,,"","Female","Other Non-Relative","26",,"Mokgalagadi",,"","Standard 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"12-68-96-23",3,12,,"","Male","Child/Adopted Child","8",,"Mokgalagadi",,"","Standard 1","Yes",,"",,"","","",,,
"46-89-61-94",1,12,,"","Female","Self/Head","66","Divorced /Separated","Mokalaka","Protestant demoninantions (incl all non-catholic denominations)","","Form 2","No","Not willing to attend further","",,"","","","Yes","Yes","No"
"46-89-61-94",2,9,"Members that left - Looking for work elsewhere","","Female","Child/Adopted Child","45",,"Mongwato",,"","Standard 3","No","Not willing to attend further","",,"","","","No",,
"46-89-61-94",3,12,,"","Male","Child/Adopted Child","31",,"Mongwato",,"","Standard 5","No","Too expensive","",,"","","","No",,
"46-89-61-94",4,12,,"","Male","Grandchild","10",,"Mongwato",,"","Standard 5","Yes",,"",,"","","",,,
"46-89-61-94",5,12,,"","Male","Grandchild","4",,"Mongwato",,"",,"Yes",,"",50,"","","",,,
"36-57-98-87",1,12,,"","Female","Self/Head","64","Widow/ Widower","Basubiya","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","Other","My school days are over, I am an elderly woman",,"","","","Yes","Yes","Yes"
"36-57-98-87",2,12,,"","Male","Grandchild","13",,"Basubiya",,"","Standard 7","Yes",,"",,"","","","No",,
"36-57-98-87",3,12,,"","Male","Grandchild","11",,"Mosubiya",,"","Standard 5","Yes",,"",,"","","","No",,
"36-57-98-87",4,12,,"","Male","Grandchild","9",,"Mosubiya",,"","Standard 4","Yes",,"",,"","","",,,
"36-57-98-87",5,12,,"","Female","Grandchild","7",,"Mosubiya",,"","Standard 2","Yes",,"",,"","","",,,
"36-57-98-87",6,12,,"","Male","Grandchild","1",,"Mosubiya",,"",,"No","Other","under age",,"","","",,,
"93-61-95-87",1,12,,"","Female","Self/Head","59","Widow/ Widower","Hambukushu","Protestant demoninantions (incl all non-catholic denominations)","","Standard 3","No","Had to help at home","",,"","","","Yes","Yes","No"
"93-61-95-87",2,12,,"","Male","Grandchild","9",,"Hambukushu",,"","Standard 2","Yes",,"",,"","","",,,
"93-61-95-87",3,12,,"","Male","Niece/Nephew","12",,"Hambukushu",,"","Standard 7","Yes",,"",,"","","","No",,
"93-61-95-87",4,12,,"","Male","Child/Adopted Child","22",,"Hambukushu",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"93-61-95-87",5,12,,"","Male","Child/Adopted Child","42",,"Hambukushu",,"","Form 2","No","Poor academic progress","",,"","","","No",,
