interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"48-93-31-20","No","No","Yes","No","Yes",7500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"87-13-21-98","Yes","No","Yes","Yes","Yes",700,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"55-27-15-85","Yes","Yes","Yes","Yes","Yes",250,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"59-41-96-68","Yes","No","Yes","Yes","Yes",400,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"22-18-88-41","No","No","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"24-64-78-21","Yes","No","Yes","Yes","Yes",10000,"No","No","No","No","No","No","Yes","No","No","No",,"Yes","No",,,,,,,,,,,,
"86-04-16-80","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"92-49-74-52","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"24-72-61-31","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"04-92-41-49","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"10-43-22-87","Yes","No","Yes","No","Yes",600,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"32-83-01-09","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"79-05-50-27","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"27-16-23-86","No","No","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"12-61-67-91","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"58-55-75-07","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"00-06-72-58","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"45-71-57-97","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"18-81-00-96","No","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"09-79-14-71","No","No","Yes","Yes","Yes",300,"No","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"71-80-89-34","Yes","No","Yes","Yes","Yes",3000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","Yes","No"
"05-16-40-57","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"11-65-24-94","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"55-44-38-36","Yes","Yes","Yes","Yes","Yes",1000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"84-73-72-31","No","No","Yes","No","Yes",1400,"No","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"37-03-14-78","No","No","Yes","Yes","Yes",1000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"77-78-34-26","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"92-09-46-86","No","Yes","Yes","Yes","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"27-55-59-32","No","No","Yes","No","Yes",300,"Yes","No","No","No","No","No","Yes","No","No","No",,"Yes","No",,,,,,,,,,,,
"65-23-07-01","No","Yes","Yes","Yes","Yes",3400,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"79-30-25-19","Yes","No","Yes","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"75-18-13-88","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"40-16-04-38","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"49-34-25-75","Yes","No","Yes","Yes","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"02-31-03-32","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"88-23-45-95","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"92-15-40-92","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"06-55-62-53","No","Yes","Yes","Yes","Yes",150,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"57-74-77-03","No","No","Yes","Yes","Yes",300,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"28-44-25-15","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"90-03-82-22","Yes","No","Yes","Yes","Yes",1500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"24-47-59-03","No","No","No","Yes","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"23-30-88-30","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"72-38-90-85","Yes","Yes","Yes","No","Yes",135,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"76-02-43-67","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"58-63-03-99","Yes","No","Yes","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"53-04-65-79","Yes","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"48-16-15-04","No","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"85-34-28-65","Yes","No","Yes","No","Yes",500,"Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"08-72-41-04","No","No","Yes","No","Yes",4000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"48-20-18-94","No","No","Yes","Yes","Yes",3000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"56-53-54-49","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"01-08-40-07","No","No","Yes","Yes","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"74-08-40-24","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"14-31-43-40","No","No","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"24-80-99-00","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"40-28-46-68","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
