interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"85-43-95-57","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Disagree","Indifferent (neither nor)","trust","trust","trust","trust","trust","Worried","Worried","Slightly worried","Worried","Worried","Slightly worried","Worried","Worried","Worried","Worried"
"07-73-56-26","Indifferent (neither nor)","Strongly agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","indifferent","distrust","indifferent","strongly distrust","indifferent","Extremely worried","Slightly worried","Extremely worried","Very worried","Very worried","Extremely worried","Very worried","Extremely worried","Not at all worried","Extremely worried"
"00-16-25-60","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","strongly trust","trust","trust","strongly trust","trust","Extremely worried","Extremely worried","Worried","Not at all worried","Worried","Extremely worried","Worried","Extremely worried","Extremely worried","Very worried"
"05-35-63-46","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","distrust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"00-34-52-14","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","distrust","indifferent","indifferent","indifferent","indifferent","Worried","Worried","Worried","Worried","Worried","Worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried"
"81-06-64-01","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","strongly trust","strongly trust","strongly trust","strongly trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Slightly worried","Extremely worried","Slightly worried","Not at all worried","Not at all worried"
"84-33-06-87","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","trust","strongly trust","strongly trust","strongly trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Not at all worried","Extremely worried","Extremely worried","Slightly worried","Extremely worried"
"85-48-53-30","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","trust","indifferent","strongly distrust","strongly distrust","Extremely worried","Extremely worried","Extremely worried","Very worried","Very worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Extremely worried"
"61-17-81-33","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","Indifferent (neither nor)","Disagree","Disagree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","distrust","distrust","distrust","distrust","distrust","Worried","Worried","Worried","Worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried"
"70-67-46-48","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","strongly distrust","trust","distrust","distrust","distrust","Extremely worried","Extremely worried","Extremely worried","Worried","Worried","Extremely worried","Very worried","Very worried","Very worried","Slightly worried"
