interview__key,ctry,dist,village,local_name,interviewed_consent,res_head,res_rel,interview_possible
"20-77-43-56","Botswana","CHOBE DISTRICT","KAZUNGULA","NEW STANCE",1,"Representative of the head","Spouse","Yes"
"08-12-15-69","Botswana","chobe","KAZUNGULA","new stance",1,"Representative of the head","Son","Yes"
"43-73-48-25","Botswana","Chobe","KAZUNGULA","old kazungula",1,"Representative of the head","Sister","Yes"
"86-00-77-05","Botswana","Chobe","KAZUNGULA","New stands",1,"Head of the household",,"Yes"
"04-04-14-28","Botswana","Chobe","KACHIKAU","Lebodu",1,"Head of the household",,"Yes"
"06-32-06-25","Botswana","Chobe","MUCHINJE/MABELE","Bothoka",1,"Head of the household",,"Yes"
"91-35-74-95","Botswana","chobe","KAVIMBA","River side west",1,"Head of the household",,"Yes"
"87-84-09-54","Botswana","Chobe","KACHIKAU","Kgosing",1,"Representative of the head","Grandson","Yes"
"62-23-61-37","Botswana","Chobe","KAZUNGULA","Monyane",1,"Representative of the head","Self/HH head","Yes"
"51-67-29-73","Botswana","Chobe national park","KACHIKAU","Kgosing",1,"Head of the household",,"Yes"
"93-42-86-13","Botswana","chobe","KAVIMBA","sivoso (mowana)",1,"Head of the household",,"Yes"
"31-42-54-99","Botswana","Chobe","KASANE","New Town",1,"Representative of the head","Brother","Yes"
"40-00-25-74","Botswana","Chobe","MUCHINJE/MABELE","Kazi",1,"Head of the household",,"Yes"
"32-73-63-74","Botswana","chobe","KAVIMBA","central",1,"Head of the household",,"Yes"
"16-86-88-22","Botswana","Chobe","KACHIKAU","Kgosing",1,"Head of the household",,"Yes"
"64-46-66-46","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Sister","Yes"
"50-30-92-60","Botswana","Chobe","MUCHINJE/MABELE","Bothoka",1,"Representative of the head","Son","Yes"
"24-09-68-36","Botswana","Chobe","KACHIKAU","Mabudutsa",1,"Head of the household",,"Yes"
"42-32-41-18","Botswana","Chobe","KAVIMBA","Legotlhwana",1,"Head of the household",,"Yes"
"29-79-40-11","Botswana","Chobe","KAVIMBA","Riverside",1,"Representative of the head","Granddaughter","Yes"
"60-57-49-31","Botswana","Chobe","KAVIMBA","Riverside North",1,"Head of the household",,"Yes"
"60-10-68-48","Botswana","Chobe","MUCHINJE/MABELE","kazii",1,"Head of the household",,"Yes"
"35-24-82-24","Botswana","Chobe","KACHIKAU","Nthayagodimo",1,"Representative of the head","Spouse","Yes"
"94-16-94-83","Botswana","Chobe","MUCHINJE/MABELE","Motsentsela",1,"Head of the household",,"Yes"
"93-01-93-75","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"25-76-97-37","Botswana","CHOBE DISTRICT","MUCHINJE/MABELE","BOTHOKA",1,"Head of the household",,"Yes"
"37-86-89-16","Botswana","Chobe","MUCHINJE/MABELE","Motsentsela",1,"Head of the household",,"Yes"
"59-63-12-34","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"67-12-10-28","Botswana","Chobe","MUCHINJE/MABELE","Mabele",1,"Head of the household",,"Yes"
"25-90-81-61","Botswana","Chobe","KAVIMBA","Riverside",1,"Representative of the head","Daughter","Yes"
"27-19-89-21","Botswana","Chobe","KAVIMBA","Riverside East",1,"Representative of the head","Daughter","Yes"
"03-62-40-58","Botswana","Chobe","KAVIMBA","Kavimba riverside",1,"Head of the household",,"Yes"
"60-29-48-02","Botswana","Chobe","KAVIMBA","Riverside west",1,"Representative of the head","Daughter","Yes"
"93-40-82-23","Botswana","Chobe","KAVIMBA","Mawana",1,"Head of the household",,"Yes"
"90-39-81-40","Botswana","Chobe","KAZUNGULA","New Stance",1,"Head of the household",,"Yes"
"26-16-19-49","Botswana","Chobe","KAVIMBA","riverside west",1,"Head of the household",,"Yes"
"29-68-82-61","Botswana","Chobe","KAVIMBA","Kavimba Central",1,"Representative of the head","Daughter","Yes"
"29-03-78-72","Botswana","Chobe","KAVIMBA","central",1,"Representative of the head","Spouse","Yes"
"54-48-29-54","Botswana","Chobe","KAVIMBA","Kavimba Riverside",1,"Head of the household",,"Yes"
"29-79-23-67","Botswana","Chobe","MUCHINJE/MABELE","Izii",1,"Representative of the head","Spouse","Yes"
"36-91-85-86","Botswana","Chobe","KACHIKAU","Kgosing",1,"Representative of the head","Daughter","Yes"
"33-77-00-47","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"71-23-95-90","Botswana","Chobe","KACHIKAU","Diphatsa",1,"Head of the household",,"Yes"
"77-62-89-56","Botswana","Chobe","KAZUNGULA","Old Kazungula",1,"Head of the household",,"Yes"
"93-71-48-41","Botswana","Chobe","KAVIMBA","central",1,"Representative of the head","Daughter","Yes"
"08-18-22-01","Botswana","Chobe","KAVIMBA","Riverside west",1,"Head of the household",,"Yes"
"98-07-17-87","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"23-98-05-49","Botswana","Chobe","KAZUNGULA","Old Kazungula",1,"Head of the household",,"Yes"
"79-97-29-10","Botswana","Chobe","KAVIMBA","Central",1,"Head of the household",,"Yes"
"41-50-66-96","Botswana","Chobe","KAZUNGULA","Monyane",1,"Head of the household",,"Yes"
"06-31-05-26","Botswana","CHOBE DISTRICT","KACHIKAU","DIPHATSA",1,"Head of the household",,"Yes"
"25-90-09-86","Botswana","Chobe","KASANE","Kgaphamadi",1,"Representative of the head","Daughter","Yes"
"03-91-71-73","Botswana","Chobe","KACHIKAU","Kgosing",1,"Head of the household",,"Yes"
"36-45-13-48","Botswana","Chobe","KAVIMBA","Central",1,"Representative of the head","Daughter","Yes"
"63-11-78-96","Botswana","Chobe","KAZUNGULA","New Stance",1,"Head of the household",,"Yes"
"79-48-70-94","Botswana","Chobe","KAVIMBA","kavimba central",1,"Head of the household",,"Yes"
"01-11-02-57","Botswana","Chobe national park","KACHIKAU","Lebodu",1,"Representative of the head","Spouse","Yes"
"41-82-62-49","Botswana","Chobe","MUCHINJE/MABELE","kazii",1,"Head of the household",,"Yes"
"57-39-86-38","Botswana","Chobe","KAVIMBA","Zivozu",1,"Head of the household",,"Yes"
"47-31-29-24","Botswana","Chobe","KASANE","Plateau",1,"Representative of the head","Brother","Yes"
"87-48-42-67","Botswana","chobe","MUCHINJE/MABELE","izee",1,"Head of the household",,"Yes"
"88-51-36-66","Botswana","Chobe","KAVIMBA","Riverside",1,"Representative of the head","Spouse","Yes"
"88-12-77-50","Botswana","chobe","KAZUNGULA","old kazungula",1,"Representative of the head","Spouse","Yes"
"17-63-55-71","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Spouse","Yes"
"08-89-64-68","Botswana","chobe","KAZUNGULA","flowertown",1,"Head of the household",,"Yes"
"40-29-00-57","Botswana","CHOBE DISTRICT","KAVIMBA","KAVIMBA CENTRAL",1,"Head of the household",,"Yes"
"86-10-11-11","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Other female relative","Yes"
"80-48-57-31","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"03-33-65-79","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Daughter","Yes"
"86-28-43-28","Botswana","CHOBE DISTRICT","KAZUNGULA","NEW STANCE",1,"Representative of the head","Self/HH head","Yes"
"95-58-64-05","Botswana","CHOBE DISTRICT","KASANE","NEWTOWN",1,"Head of the household",,"Yes"
"51-45-88-78","Botswana","CHOBE DISTRICT","KAVIMBA","RIVERSIDE EAST",1,"Head of the household",,"Yes"
"90-62-42-39","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Spouse","Yes"
"71-64-26-40","Botswana","Chobe","KAZUNGULA","New Stance",1,"Head of the household",,"Yes"
"81-24-00-67","Botswana","Chobe","KAZUNGULA","Old Kazungula",1,"Representative of the head","Brother","Yes"
"12-70-32-30","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"82-97-70-37","Botswana","Chobe","KAZUNGULA","Monyane",1,"Representative of the head","Self/HH head","Yes"
"62-46-14-70","Botswana","Chobe","KAZUNGULA","Old Kazungula",1,"Representative of the head","Daughter","Yes"
"71-10-70-44","Botswana","Chobe","KAZUNGULA","Old Kazungula",1,"Representative of the head","Daughter","Yes"
"72-64-30-28","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"13-26-76-47","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Spouse","Yes"
"49-80-23-99","Botswana","chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"86-00-13-77","Botswana","Chobe","KAZUNGULA","Old Kazungula",1,"Representative of the head","Other female member","Yes"
"48-57-10-38","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"69-84-94-36","Botswana","CHOBE DISTRICT","KAZUNGULA","FLOWER TOWN",1,"Head of the household",,"Yes"
"18-54-82-39","Botswana","Chobe","KAZUNGULA","Old Kazungula",1,"Head of the household",,"Yes"
"72-38-29-03","Botswana","Chobe","PANDAMATENGA","New stance",1,"Head of the household",,"Yes"
"20-35-14-07","Botswana","Chobe","KAZUNGULA","Old kazungula",1,"Head of the household",,"Yes"
"80-76-98-64","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"46-71-82-60","Botswana","chobe","KAZUNGULA","flower town",1,"Head of the household",,"Yes"
"24-76-27-27","Botswana","chobe","KAZUNGULA","flower town",1,"Representative of the head","Spouse","Yes"
"85-49-52-94","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Representative of the head","Daughter","Yes"
"41-14-53-27","Botswana","Chobe","KASANE","Botshabelo",1,"Representative of the head","Self/HH head","Yes"
"19-25-83-42","Botswana","chobe","KAZUNGULA","old kazungula",1,"Head of the household",,"Yes"
"52-70-09-40","Botswana","Chobe","KAZUNGULA","Flower town",1,"Head of the household",,"Yes"
"14-14-61-40","Botswana","chobe","KAZUNGULA","Old Kazungula",1,"Head of the household",,"Yes"
"79-24-47-25","Botswana","CHOBE DISTRICT","KAZUNGULA","FLOWERTOWN",1,"Head of the household",,"Yes"
"98-74-77-48","Botswana","Chobe","KAVIMBA","Riverside",1,"Representative of the head","Niece","Yes"
"45-71-76-98","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"07-23-89-71","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"05-94-07-12","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"58-90-20-54","Botswana","Chobe","KAZUNGULA","flower town",1,"Representative of the head","Daughter","Yes"
"50-03-32-43","Botswana","Chobe","KAZUNGULA","Flower town",1,"Representative of the head","Self/HH head","Yes"
"62-49-02-44","Botswana","Chobe","KAZUNGULA","Old Kazungula",1,"Representative of the head","Son","Yes"
"75-29-94-40","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Representative of the head","Spouse","Yes"
