interview__key,ctry,dist,village,local_name,interviewed_consent,res_head,res_rel,interview_possible
"48-79-63-92","Botswana","chobe","KASANE","plateau",1,"Head of the household",,"Yes"
"87-31-98-00","Botswana","Chobe","PANDAMATENGA","newstance",1,"Head of the household",,"Yes"
"68-12-26-88","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Representative of the head","Spouse","Yes"
"21-07-91-22","Botswana","Chobe","KASANE","Kgaphamadi",1,"Representative of the head","Daughter","Yes"
"59-08-91-97","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Spouse","Yes"
"15-39-44-44","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Head of the household",,"Yes"
"70-81-99-80","Botswana","Chobe","PANDAMATENGA","New stands",1,"Representative of the head","Spouse","Yes"
"57-32-99-06","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Representative of the head","Spouse","Yes"
"60-00-51-13","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"03-72-03-14","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Representative of the head","Daughter","Yes"
"32-51-19-72","Botswana","chobe","PANDAMATENGA","new stance",1,"Head of the household",,"Yes"
"95-19-87-73","Botswana","Chobe","KASANE","Kgapamadi",1,"Head of the household",,"Yes"
"09-07-28-33","Botswana","CHOBE DISTRICT","PANDAMATENGA","NEW STANCE",1,"Representative of the head","Son","Yes"
"82-76-66-89","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"32-84-70-99","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"97-60-60-10","Botswana","Chobe","KAZUNGULA","Flower town",1,"Representative of the head","Daughter","Yes"
"77-34-61-84","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"51-45-20-69","Botswana","CHOBE DISTRICT","KAZUNGULA","NEW STANCE",1,"Head of the household",,"Yes"
"56-62-79-46","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Representative of the head","Daughter","Yes"
"11-13-66-94","Botswana","chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"15-09-86-52","Botswana","Chobe","KASANE","Plateu",1,"Representative of the head","Spouse","Yes"
"91-02-01-07","Botswana","Chobe","KASANE","Plateau",1,"Representative of the head","Spouse","Yes"
"38-98-52-39","Botswana","Chobe","KASANE","Plateau",1,"Representative of the head","Spouse","Yes"
"91-79-46-21","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"09-72-08-00","Botswana","chobe","KASANE","newtown",1,"Head of the household",,"Yes"
"25-52-14-98","Botswana","chobe","KAZUNGULA","Flower town",1,"Representative of the head","Spouse","Yes"
"54-44-91-10","Botswana","Chobe","KASANE","Plateau",1,"Representative of the head","Daughter","Yes"
"76-65-29-85","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"02-98-88-27","Botswana","CHOBE DISTRICT","KASANE","KASANE PLATEAU",1,"Representative of the head","Spouse","Yes"
"94-29-79-85","Botswana","Chobe","MUCHINJE/MABELE","Eze",1,"Head of the household",,"Yes"
"73-36-17-40","Botswana","CHOBE DISTRICT","KASANE","KASANE PLATEAU",1,"Head of the household",,"Yes"
"42-46-38-01","Botswana","chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"73-70-95-80","Botswana","Chobe","KAZUNGULA","New Stance",1,"Representative of the head","Sister","Yes"
"72-84-79-72","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"65-38-87-54","Botswana","Chobe","KASANE","Kgaphamadi",1,"Head of the household",,"Yes"
"94-91-03-07","Botswana","Chobe","KASANE","New Town",1,"Representative of the head","Grandson","Yes"
"43-00-27-37","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"97-63-44-51","Botswana","chobe","KAZUNGULA","New stance",1,"Head of the household",,"Yes"
"13-97-69-06","Botswana","Chobe","MUCHINJE/MABELE","Ezei",1,"Head of the household",,"Yes"
"64-91-38-41","Botswana","Chobe","KASANE","Plateau",1,"Representative of the head","Daughter","Yes"
"81-33-83-30","Botswana","Chobe","MUCHINJE/MABELE","Kazii",1,"Head of the household",,"Yes"
