interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"83-84-11-33","Firewood",64,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","People are a few in the community",""
"83-84-11-33","Sand, stone, mud",300,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"57-06-39-78","Firewood",400,"Bale / Bundle","","No",,,"",,,"No",,"Slight increase","Slight decrease","They are using them for building structures",""
"57-06-39-78","Other➡️specify",100,"Bale / Bundle","","Yes",100,"Bale / Bundle","","No",15,"No",,"Slight decrease","Massive decrease","","Because of burning"
"28-44-47-60","Firewood",20,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too many people harvesting"
"28-44-47-60","Other➡️specify",250,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too many people harvesting"
"99-83-86-30","Firewood",300,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increased population"
"95-87-87-82","Firewood",68,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"95-87-87-82","Sand, stone, mud",50,"25kg bag","","No",,,"",,,"No",,"The same","The same","",""
"51-10-14-61","Firewood",12,"Other (please specify)","sledges","No",,,"",,,"No",,"The same","The same","",""
"51-10-14-61","Timber or poles",23,"Numbers","","No",,,"",,,"Yes",230,"The same","The same","",""
"38-80-77-22","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"32-85-49-35","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight increase","","She claims they will an increment"
"67-57-93-16","Firewood",15,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too many people"
"66-09-29-33","Firewood",12,"Bale / Bundle","","No",,,"",,,"No",,"The same","Slight decrease","",""
"66-09-29-33","Wild fruits",2,"50 kg bag","","No",,,"",,,"No",,"The same","The same","",""
"88-76-61-78","Firewood",900,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"88-76-61-78","Sand, stone, mud",50,"Basins","","No",,,"",,,"No",,"The same","Slight decrease","",""
"45-30-93-43","Firewood",5,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","too many people"
"39-72-47-05","Firewood",120,"Bale / Bundle","","No",,,"",,,"No",,"Slight increase","Slight decrease","Population of people in the village is not alot",""
"39-72-47-05","Sand, stone, mud",10,"Basins","","No",,,"",,,"No",,"The same","Slight decrease","",""
"91-78-19-91","Firewood",5,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"80-88-34-81","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","cutting down of trees for building or creating villages."
"80-88-34-81","Wild fruits",1,"Basins","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","many people."
"00-93-28-41","Firewood",55,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"15-34-12-49","Firewood",19,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","The population of people has increased."
"57-48-46-10","Firewood",650,"Bale / Bundle","","No",,,"",,,"No",,"The same","Slight decrease","",""
"57-48-46-10","Other➡️specify",30,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Because of an increase in wildlife"
"17-87-43-63","Firewood",60,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","Alot of trees are growing and there is more space between villages",""
"17-87-43-63","Sand, stone, mud",50,"Wheelbarrow","","No",,,"",,,"No",,"The same","The same","",""
"11-23-87-11","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"33-90-70-88","Firewood",20,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too many people"
"33-90-70-88","Sand, stone, mud",300,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too many people building"
"42-88-20-46","Firewood",60,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","cutting trees"
"42-88-20-46","Sand, stone, mud",30,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"42-88-20-46","Wild fruits",1,"10kg bag","","No",,,"",,,"No",,"The same","The same","",""
"56-60-42-49","Firewood",200,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increased"
"06-49-16-95","Firewood",480,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increased"
"14-59-43-81","Firewood",200,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increased"
"43-19-04-75","Firewood",48,"Other (please specify)","sledges","No",,,"",,,"No",,"The same","The same","",""
"25-55-58-39","Firewood",36,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"56-55-71-21","Firewood",900,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"56-55-71-21","Sand, stone, mud",35,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"26-16-97-29","Firewood",8,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Almost everyone depends on firewood in our village."
"94-40-34-45","Firewood",8,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","We live in a floodplain with very few trees."
"57-09-13-31","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive increase","","Alot of people are harvesting the firewood and the village has alot of households"
"57-09-13-31","Sand, stone, mud",10,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"06-81-92-15","Firewood",4,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Everyone eryone depends on firewood."
"06-81-92-15","Sand, stone, mud",2,"100 kg bag","","No",,,"",,,"No",,"The same","The same","",""
"71-51-46-91","Firewood",50,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","people are increasing in the area"
"99-70-86-40","Firewood",800,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"99-70-86-40","Sand, stone, mud",60,"25kg bag","","No",,,"",,,"No",,"The same","The same","",""
"54-72-28-02","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","more people in the area"
"54-72-28-02","Wild fruits",3,"Other (please specify)","plastic bag","No",,,"",,,"No",,"The same","The same","",""
"54-72-28-02","Mushrooms",2,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"93-06-95-85","Firewood",200,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increased population"
"44-70-83-36","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"44-70-83-36","Sand, stone, mud",50,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"76-32-33-95","Firewood",3,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too many people harvesting"
"01-38-25-96","Firewood",40,"Bale / Bundle","","No",,,"",,,"Yes",200,"Massive decrease","Massive decrease","","firewood is far away from the village because of cutting trees"
