interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"46-68-27-34","Yes","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"78-16-14-09","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"01-32-09-43","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"11-29-18-58","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"53-42-47-52","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"01-17-72-49","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"40-86-48-02","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"67-11-34-32","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"47-85-49-06","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"68-03-09-51","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"14-68-63-82","No","No","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"80-91-19-12","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"25-98-38-14","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"50-33-61-65","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"88-90-25-85","No","No","Yes","No","Yes",500,"No","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"04-83-20-68","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-59-67-21","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"35-03-03-59","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"10-50-64-24","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"13-56-95-25","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"36-88-00-01","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"63-25-21-02","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"08-07-30-74","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"18-39-69-08","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"97-46-11-48","No","No","Yes","No","Yes",1000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"12-85-99-43","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"55-14-49-61","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"94-26-98-86","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"32-96-01-37","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"41-92-38-71","No","Yes","Yes","No","Yes",2000,"No","Yes","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"43-40-50-14","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"33-52-73-44","No","No","Yes","No","Yes",600,"Yes","No","No","No","No","No","No","Yes","No","No",,"No","No",,,,,,,,,,,,
"17-65-44-15","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"77-00-14-73","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"78-98-94-60","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"50-51-12-24","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"45-72-98-81","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"98-20-22-18","No","No","Yes","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"12-87-62-64","Yes","No","Yes","No","Yes",7500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"02-24-60-64","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"35-93-85-84","Yes","Yes","Yes","No","Yes",2500,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"25-08-98-52","Yes","No","Yes","No","Yes",2000,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"46-54-30-66","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"19-66-62-79","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"38-52-59-99","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"18-01-52-21","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"52-91-87-71","No","No","Yes","Yes","Yes",1000,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"86-58-98-12","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"18-53-78-30","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"21-70-10-93","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"51-51-64-02","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"65-04-27-87","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"26-67-17-34","No","Yes","No","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"12-55-61-25","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"70-21-00-12","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-96-00-56","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"93-46-32-90","No","No","No","No","Yes",500,"No","No","No","No","No","No","No","Yes","No","No",,"No","No",,,,,,,,,,,,
"39-76-52-63","No","No","No","No","Yes",1600,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"44-39-76-83","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"57-92-68-31","No","No","No","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","No"
"70-75-80-97","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"37-91-43-52","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"93-94-95-33","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"50-37-72-10","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"29-63-76-51","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"71-36-35-44","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"20-65-14-78","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"60-95-57-22","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"17-61-49-75","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"02-95-98-52","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"77-54-37-57","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"49-81-42-49","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"07-97-99-00","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"61-38-38-57","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"80-45-81-35","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"47-70-03-35","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"73-01-72-24","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"70-18-85-80","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"59-96-51-48","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"47-24-68-80","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"98-95-69-34","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"94-61-58-26","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"84-70-48-38","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"46-07-52-30","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"65-50-88-07","No","Yes","No","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"05-43-02-62","No","No","No","No","Yes",2000,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"83-84-84-67","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No"
"16-35-19-29","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"83-90-14-37","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"56-16-94-47","No","No","No","No","Yes",500,"Yes","No","No","No","No","No","No","Yes","No","No",,"No","No",,,,,,,,,,,,
"16-24-71-47","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"22-33-09-47","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"89-17-95-50","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"71-12-87-82","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"93-78-86-25","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"34-03-26-96","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"83-62-75-30","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"39-30-68-16","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"25-67-10-82","Yes","No","Yes","Yes","Yes",500,"No","Yes","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"87-90-13-56","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"38-81-07-74","No","No","No","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"29-17-63-12","Yes","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-87-36-18","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"37-47-43-04","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"19-94-92-45","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"01-51-77-20","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"14-21-66-73","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"10-12-38-23","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"06-71-23-79","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-86-92-43","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"65-52-71-81","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
