interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,who_other_income__2,who_other_income__3,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"99-86-29-88","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300,"Lump sum (single payment)",1,2,.a,.a,"Emergency relief","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"99-86-29-88","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1,"Monthly",2,.a,.a,.a,"Education subsidy","","National government","","Cash","",0,2,1,0,0,0,0,0,""
"10-97-13-34","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",750,"Monthly",2,.a,.a,.a,"Poverty reduction program","","NGO","","Cash","",0,1,2,0,0,0,0,0,""
"53-72-96-12","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",750,"Monthly",1,.a,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"22-21-62-20","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1300,"Monthly",1,.a,.a,.a,"Older persons cash transfer","","NGO","","Cash","",0,1,2,3,0,4,0,0,""
"64-31-79-16","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",750,"Monthly",1,.a,.a,.a,"Poverty reduction program","","NGO","","Cash","",0,1,2,3,0,0,0,0,""
"01-18-26-42","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1300,"Monthly",1,.a,.a,.a,"Pension","","National government","","Cash","",0,1,2,0,0,0,0,0,""
"82-55-52-94","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1300,"Monthly",1,.a,.a,.a,"Pension","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"19-07-40-38","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1300,"Monthly",1,.a,.a,.a,"Healthcare benefits","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"65-17-55-88","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",3000,"Monthly",1,.a,.a,.a,"Others ➡️ Specify","Work Salary","National government","","Food","",0,1,2,0,0,0,0,0,""
"71-44-93-64","Payments for environmental/ecological services or nature conservation for instance, payments by the conservancies",500,"Every 6 months",1,.a,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"34-19-14-62","Savings, interest or other investment income",500,"Monthly",1,.a,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"98-81-19-82","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1550,"Monthly",2,.a,.a,.a,"Others ➡️ Specify","disability benefit","National government","","Cash","",0,2,1,3,0,0,0,0,""
"39-67-03-82","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000,"Monthly",1,.a,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
