interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,ha07_other,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"51-51-64-02",4,12,,"","Male","Child/Adopted Child",8,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"65-04-27-87",1,12,,"","Male","Self/Head",33,"Married monogamously","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Not willing to attend further","",,"","","","Yes","No","Yes"
"65-04-27-87",2,12,,"","Female","Wife/Husband",22,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Poor academic progress","",,"","","","Yes","No","Yes"
"65-04-27-87",3,12,,"","Female","Child/Adopted Child",3,,,"",,"",,"No","Other","Still a kid to go to school",,"","","",,,
"26-67-17-34",1,12,,"","Male","Self/Head",56,"Divorced /Separated","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"12-55-61-25",1,7,"Members that left - Looking for work elsewhere","","Female","Self/Head",39,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Poor academic progress","",,"","","","Yes","No","Yes"
"12-55-61-25",2,12,,"","Female","Niece/Nephew",32,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Sickness or calamity in family","",,"","","","No",,
"12-55-61-25",3,12,,"","Female","Sister/Brother",22,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Poor academic progress","",,"","","","No",,
"12-55-61-25",4,12,,"","Female","Sister/Brother",72,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Sickness or calamity in family","",,"","","","No",,
"12-55-61-25",5,12,,"","Male","Sister/Brother",21,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Other","They do not have money to take him to school",,"","","","No",,
"70-21-00-12",1,12,,"","Male","Self/Head",65,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Too expensive","",,"","","","Yes","Yes","No"
"70-21-00-12",2,12,,"","Female","Wife/Husband",59,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Sickness or calamity in family","",,"","","","No",,
"70-21-00-12",3,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","still young",,"","","",,,
"09-96-00-56",1,12,,"","Female","Self/Head",60,"Widow/ Widower","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","No","Too far away","",,"","","","Yes","No","Yes"
"09-96-00-56",2,12,,"","Male","Child/Adopted Child",23,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Poor academic progress","",,"","","","No",,
"09-96-00-56",3,12,,"","Female","Child/Adopted Child",23,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Poor academic progress","",,"","","","No",,
"09-96-00-56",4,12,,"","Male","Child/Adopted Child",21,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"09-96-00-56",5,12,,"","Male","Child/Adopted Child",15,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"09-96-00-56",6,12,,"","Male","Grandchild",1,,,"",,"",,"No","I don't Know","",,"","","",,,
"09-96-00-56",7,12,,"","Female","Grandchild",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"09-96-00-56",8,12,,"","Male","Child/Adopted Child",11,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"09-96-00-56",9,12,,"","Female","Grandchild",2,,,"",,"",,"No","Too expensive","",,"","","",,,
"93-46-32-90",1,12,,"","Male","Self/Head",45,"Married monogamously","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Too expensive","",,"","","","Yes","No","Yes"
"93-46-32-90",2,12,,"","Female","Wife/Husband",39,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Too expensive","",,"","","","Yes","No","Yes"
"93-46-32-90",3,12,,"","Male","Child/Adopted Child",10,,,"",,"","Primary 6","Yes",,"",,"","","",,,
"93-46-32-90",4,12,,"","Female","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"93-46-32-90",5,12,,"","Female","Child/Adopted Child",1,,,"",,"",,"No","Other","minor",,"","","",,,
"39-76-52-63",1,12,,"","Female","Self/Head",41,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Too expensive","",,"","","","No",,
"39-76-52-63",2,12,,"","Male","Child/Adopted Child",22,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Too expensive","",,"","","","No",,
"39-76-52-63",3,9,"Members that left - Education","","Male","Child/Adopted Child",18,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"39-76-52-63",4,12,,"","Female","Child/Adopted Child",14,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"39-76-52-63",5,12,,"","Male","Child/Adopted Child",2,,,"",,"",,"No","Other","Too young",,"","","",,,
"44-39-76-83",1,12,,"","Female","Self/Head",40,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","University level",,,"",,"university of Namibia","2005","education","Yes","Yes","No"
"44-39-76-83",2,12,,"","Female","Sister/Brother",32,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","Yes","Yes","No"
"44-39-76-83",3,12,,"","Male","Child/Adopted Child",12,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"44-39-76-83",4,12,,"","Female","Child/Adopted Child",13,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"44-39-76-83",5,12,,"","Female","Child/Adopted Child",9,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"57-92-68-31",1,12,,"","Female","Self/Head",45,"Divorced /Separated","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"57-92-68-31",2,12,,"","Female","Grandchild",10,,,"",,"","Primary 6","Yes",,"",,"","","",,,
"57-92-68-31",3,12,,"","Male","Child/Adopted Child",1,,,"",,"",,"No","Other","Young",,"","","",,,
"57-92-68-31",4,12,,"","Female","Child/Adopted Child",2,,,"",,"",,"Yes",,"",120,"","","",,,
"70-75-80-97",1,12,,"","Female","Self/Head",43,"Widow/ Widower","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Too expensive","",,"","","","No",,
"70-75-80-97",2,12,,"","Female","Child/Adopted Child",24,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Too expensive","",,"","","","No",,
"70-75-80-97",3,12,,"","Female","Child/Adopted Child",25,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"70-75-80-97",4,12,,"","Female","Child/Adopted Child",21,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"70-75-80-97",5,12,,"","Female","Child/Adopted Child",19,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"70-75-80-97",6,12,,"","Female","Child/Adopted Child",12,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"70-75-80-97",7,12,,"","Female","Grandchild",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"70-75-80-97",8,12,,"","Female","Child/Adopted Child",10,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"70-75-80-97",9,12,,"","Male","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"70-75-80-97",10,12,,"","Male","Grandchild",1,,,"",,"",,"No","Other","still young",,"","","",,,
"70-75-80-97",11,12,,"","Female","Grandchild",1,,,"",,"",,"No","Other","still young",,"","","",,,
"70-75-80-97",12,12,,"","Female","Grandchild",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"37-91-43-52",1,12,,"","Male","Self/Head",37,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Not willing to attend further","",,"","","","Yes","Yes","No"
"37-91-43-52",2,12,,"","Female","Wife/Husband",29,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Had to help with family","",,"","","","No",,
"37-91-43-52",3,12,,"","Female","Child/Adopted Child",14,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"37-91-43-52",4,12,,"","Female","Child/Adopted Child",12,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"37-91-43-52",5,12,,"","Male","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"37-91-43-52",6,12,,"","Female","Child/Adopted Child",1,,,"",,"",,"No","Other","still young",,"","","",,,
"93-94-95-33",1,12,,"","Female","Wife/Husband",33,"Married monogamously","Subia","","Catholic","","Primary 8","No","Too expensive","",,"","","","No",,
"93-94-95-33",2,12,,"","Male","Self/Head",39,"Married monogamously","Lozi","","Other➡️ Please specify","New Apostolic church","Primary 8","No","Too expensive","",,"","","","No",,
"50-37-72-10",1,12,,"","Female","Self/Head",26,"Divorced /Separated","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Other","Lack of Support,there was no one to pay for her school",,"","","","Yes","No","Yes"
"50-37-72-10",2,12,,"","Male","Child/Adopted Child",12,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","Yes",,"",,"","","","No",,
"50-37-72-10",3,12,,"","Female","Brother/Sister-In-Law",17,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","No","Not willing to attend further","",,"","","","No",,
"50-37-72-10",4,12,,"","Male","Child/Adopted Child",11,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","Yes",,"",,"","","","No",,
"50-37-72-10",5,12,,"","Female","Child/Adopted Child",4,,,"",,"",,"No","Other","still a kid to attend school",,"","","",,,
"50-37-72-10",6,12,,"","Female","Child/Adopted Child",2,,,"",,"",,"No","Other","Still a toddler",,"","","",,,
"29-63-76-51",1,12,,"","Female","Self/Head",32,"Never Married","Lozi","","Catholic","","Secondary school Year 1","No","Too expensive","",,"","","","No",,
"29-63-76-51",2,12,,"","Female","Sister/Brother",46,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Too expensive","",,"","","","No",,
"71-36-35-44",1,12,,"","Male","Self/Head",38,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Had to help with family","",,"","","","Yes","Yes","Yes"
"71-36-35-44",2,12,,"","Female","Wife/Husband",36,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","Yes","No","Yes"
"71-36-35-44",3,12,,"","Male","Child/Adopted Child",17,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","Yes","No","Yes"
"71-36-35-44",4,12,,"","Male","Child/Adopted Child",14,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","Yes","No","Yes"
"71-36-35-44",5,12,,"","Female","Child/Adopted Child",6,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"71-36-35-44",6,12,,"","Female","Child/Adopted Child",6,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"71-36-35-44",7,12,,"","Female","Child/Adopted Child",12,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"20-65-14-78",1,12,,"","Male","Self/Head",28,"Divorced /Separated","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"20-65-14-78",2,12,,"","Male","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"20-65-14-78",3,12,,"","Male","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"20-65-14-78",4,12,,"","Female","Child/Adopted Child",4,,,"",,"",,"No","Other","Still Young",,"","","",,,
"60-95-57-22",1,12,,"","Male","Self/Head",75,"Married monogamously","Lozi","","Catholic","","University level",,,"",,"University of Namibia","1994","Education","Yes","Yes","Yes"
"60-95-57-22",2,12,,"","Female","Wife/Husband",71,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","University level",,,"",,"university of Namibia","2009","Education","Yes","Yes","Yes"
"60-95-57-22",3,12,,"","Female","Grandchild",13,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"60-95-57-22",4,12,,"","Female","Grandchild",12,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"60-95-57-22",5,12,,"","Female","Grandchild",8,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"60-95-57-22",6,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","he is still a toddler",,"","","",,,
"17-61-49-75",1,12,,"","Female","Self/Head",59,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","No","Too far away","",,"","","","No",,
"17-61-49-75",2,12,,"","Male","Child/Adopted Child",31,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"17-61-49-75",5,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","Too young",,"","","",,,
"17-61-49-75",6,12,,"","Female","Grandchild",1,,,"",,"",,"No","Other","Too young",,"","","",,,
"17-61-49-75",7,12,,"","Male","Child/Adopted Child",36,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"02-95-98-52",1,12,,"","Male","Self/Head",38,"Married monogamously","Subia","","Catholic","","Secondary school Year 3","No","Poor academic progress","",,"","","","No",,
"02-95-98-52",2,12,,"","Female","Wife/Husband",26,"Married monogamously","Lozi","","Catholic","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"02-95-98-52",3,12,,"","Male","Child/Adopted Child",5,,,"",,"","No formal education","No","Other","still young",,"","","",,,
"02-95-98-52",4,12,,"","Female","Child/Adopted Child",2,,,"",,"",,"No","Other","still young",,"","","",,,
"77-54-37-57",1,12,,"","Male","Self/Head",93,"Married monogamously","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too far away","",,"","","","No",,
"77-54-37-57",2,12,,"","Female","Wife/Husband",91,"Married monogamously","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","No","Not willing to attend further","",,"","","","No",,
"77-54-37-57",3,12,,"","Female","Grandchild",19,"Never Married","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Pregnancy","",,"","","","No",,
"77-54-37-57",4,12,,"","Female","Grandchild",1,,,"",,"",,"No","Other","young",,"","","",,,
"49-81-42-49",1,12,,"","Female","Self/Head",47,"Married monogamously","Subia","","Catholic","","Primary 7","No","Other","no support",,"","","","Yes","Yes","No"
"49-81-42-49",2,12,,"","Male","Wife/Husband",59,"Married monogamously","Subia","","Other➡️ Please specify","seventh day Adventist church","Secondary school Year 2","No","Had to help with family","",,"","","","No",,
"49-81-42-49",3,12,,"","Male","Child/Adopted Child",11,"Never Married","Subia","","Other➡️ Please specify","seventh day Adventist church","Primary 5","Yes",,"",,"","","","No",,
"49-81-42-49",4,12,,"","Male","Child/Adopted Child",7,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"49-81-42-49",5,12,,"","Male","Grandchild",8,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"49-81-42-49",6,12,,"","Female","Grandchild",3,,,"",,"",,"No","Other","young",,"","","",,,
"49-81-42-49",7,12,,"","Female","Grandchild",3,,,"",,"",,"No","Other","young",,"","","",,,
"07-97-99-00",1,12,,"","Male","Self/Head",46,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"07-97-99-00",2,12,,"","Female","Wife/Husband",38,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"07-97-99-00",3,12,,"","Female","Child/Adopted Child",30,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"07-97-99-00",4,12,,"","Female","Child/Adopted Child",34,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"07-97-99-00",5,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","Too young to attend school",,"","","",,,
"61-38-38-57",1,12,,"","Male","Self/Head",69,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Other","He didn't have anyone to pay for his studies",,"","","","Yes","No","Yes"
"61-38-38-57",2,12,,"","Female","Wife/Husband",66,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","No","Other","Her parents were not serious about taking her to school",,"","","","Yes","No","Yes"
"61-38-38-57",3,6,"New arrivals - To look for work","","Female","Child/Adopted Child",31,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","No","Pregnancy","",,"","","","No",,
"61-38-38-57",4,12,,"","Female","Grandchild",5,,,"",,"","No formal education","No","Other","she is still a kid to attend school",,"","","",,,
"61-38-38-57",5,12,,"","Female","Grandchild",1,,,"",,"",,"No","Other","She is still a toddler",,"","","",,,
"80-45-81-35",1,12,,"","Female","Self/Head",39,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Too expensive","",,"","","","No",,
"80-45-81-35",2,12,,"","Male","Child/Adopted Child",18,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"80-45-81-35",3,8,"Members that left - Education","","Female","Child/Adopted Child",10,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"80-45-81-35",4,12,,"","Male","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"80-45-81-35",5,12,,"","Female","Child/Adopted Child",1,,,"",,"",,"No","Other","still young",,"","","",,,
"80-45-81-35",6,12,,"","Female","Sister/Brother",26,"Divorced /Separated","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","Yes","Yes","No"
"47-70-03-35",1,12,,"","Female","Self/Head",42,"Widow/ Widower","Lozi","","Other➡️ Please specify","seventh day Adventist church","No formal education","No","Too far away","",,"","","","Yes","No","Yes"
"47-70-03-35",2,12,,"","Male","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"47-70-03-35",3,12,,"","Male","Child/Adopted Child",10,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"73-01-72-24",1,3,"Members that left - Other economic reasons","","Female","Self/Head",35,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"73-01-72-24",2,12,,"","Female","Niece/Nephew",25,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"73-01-72-24",3,12,,"","Male","Niece/Nephew",18,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","Yes",,"",,"","","","No",,
"73-01-72-24",4,12,,"","Female","Child/Adopted Child",17,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"73-01-72-24",5,12,,"","Female","Child/Adopted Child",12,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"73-01-72-24",6,12,,"","Female","Child/Adopted Child",8,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"73-01-72-24",7,12,,"","Female","Other Relative",4,,,"",,"",,"No","Other","Still young 6 is the eligible at to be in school",,"","","",,,
"70-18-85-80",1,12,,"","Male","Self/Head",44,"Married monogamously","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Poor academic progress","",,"","","","No",,
"70-18-85-80",2,12,,"","Female","Wife/Husband",38,"Married monogamously","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Not willing to attend further","",,"","","","No",,
"70-18-85-80",3,12,,"","Male","Child/Adopted Child",23,"Never Married","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Not willing to attend further","",,"","","","No",,
"70-18-85-80",4,12,,"","Male","Child/Adopted Child",23,"Never Married","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Not willing to attend further","",,"","","","No",,
"70-18-85-80",5,12,,"","Female","Child/Adopted Child",17,"Never Married","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"70-18-85-80",6,12,,"","Male","Child/Adopted Child",10,,,"",,"","Primary 5","Yes",,"",,"","","",,,
"70-18-85-80",7,2,"New arrivals - New born","","Male","Child/Adopted Child",0,,,"",,"",,"No","Other","still young",,"","","",,,
"59-96-51-48",1,12,,"","Male","Self/Head",65,"Married monogamously","Other, Specify","mbukushu","Other➡️ Please specify","Pentecostal","Secondary school Year 4","No","Not willing to attend further","",,"","","","Yes","No","Yes"
"59-96-51-48",2,12,,"","Female","Wife/Husband",59,"Married monogamously","Lozi","","Other➡️ Please specify","Pentecostal","No formal education","No","Had to help with family","",,"","","","No",,
"59-96-51-48",3,12,,"","Female","Child/Adopted Child",26,"Divorced /Separated","Lozi","","Other➡️ Please specify","Pentecostal","Secondary school Year 3","No","Pregnancy","",,"","","","No",,
"59-96-51-48",4,12,,"","Male","Child/Adopted Child",17,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","Yes",,"",,"","","","No",,
"59-96-51-48",5,12,,"","Male","Grandchild",9,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"59-96-51-48",6,12,,"","Female","Grandchild",24,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Pregnancy","",,"","","","No",,
"59-96-51-48",7,12,,"","Female","Sister/Brother",22,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Not willing to attend further","",,"","","","No",,
"59-96-51-48",8,12,,"","Male","Grandchild",7,,,"",,"","No formal education","No","Other","he was late for registration and it was full",,"","","",,,
"59-96-51-48",9,12,,"","Male","Grandchild",5,,,"",,"","No formal education","No","Other","still young, he will start next year",,"","","",,,
"59-96-51-48",10,12,,"","Male","Child/Adopted Child",29,"Divorced /Separated","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","Yes",,"",,"","","","No",,
"59-96-51-48",11,12,,"","Male","Grandchild",15,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Had to help at home","",,"","","","Yes","No","Yes"
"47-24-68-80",1,12,,"","Male","Self/Head",46,"Married monogamously","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Had to help with family","",,"","","","No",,
"47-24-68-80",2,12,,"","Female","Wife/Husband",39,"Married monogamously","Other, Specify","totela","Refuse to answer","","No formal education","No","Too far away","",,"","","","No",,
"47-24-68-80",3,12,,"","Male","Child/Adopted Child",23,"Never Married","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Other","no documents",,"","","","No",,
"47-24-68-80",4,12,,"","Male","Child/Adopted Child",15,"Never Married","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"47-24-68-80",5,12,,"","Female","Child/Adopted Child",11,"Never Married","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"47-24-68-80",6,12,,"","Female","Child/Adopted Child",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"47-24-68-80",7,12,,"","Female","Child/Adopted Child",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",150,"","","",,,
"98-95-69-34",1,12,,"","Male","Self/Head",81,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Not willing to attend further","",,"","","","Yes","No","Yes"
"98-95-69-34",2,12,,"","Female","Wife/Husband",70,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Adult Literacy","No","Too far away","",,"","","","No",,
"98-95-69-34",3,12,,"","Male","Other Relative",12,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Other","he is disabled",,"","","","No",,
"98-95-69-34",4,12,,"","Male","Child/Adopted Child",47,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Not willing to attend further","",,"","","","No",,
"94-61-58-26",1,12,,"","Female","Self/Head",58,"Widow/ Widower","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Not willing to attend further","",,"","","","Yes","Yes","Yes"
"94-61-58-26",2,12,,"","Female","Child/Adopted Child",32,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","University level",,,"",,"University of Namibia","2023","Education","No",,
"94-61-58-26",3,12,,"","Male","Child/Adopted Child",28,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"94-61-58-26",4,12,,"","Female","Grandchild",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",5000,"","","",,,
"94-61-58-26",5,12,,"","Male","Grandchild",13,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"94-61-58-26",6,12,,"","Male","Grandchild",11,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"94-61-58-26",7,12,,"","Male","Servant Or Servant's Relative",30,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too expensive","",,"","","","No",,
