interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"33-52-73-44",74,74,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"17-65-44-15",80,80,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"77-00-14-73",78,78,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"78-98-94-60",60,60,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"50-51-12-24",,,,"",,"",,,,,,,,,,,,
"45-72-98-81",200,200,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"98-20-22-18",,,,"",,"",,,,,,,,,,,,
"12-87-62-64",,,,"",,"",,,,,,,,,,,,
"02-24-60-64",40,40,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"35-93-85-84",,,,"",,"",,,,,,,,,,,,
"25-08-98-52",180,180,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"46-54-30-66",33,33,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"19-66-62-79",33,33,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"38-52-59-99",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"18-01-52-21",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"52-91-87-71",180,180,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"86-58-98-12",,,,"",,"",,,,,,,,,,,,
"18-53-78-30",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"21-70-10-93",200,200,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"51-51-64-02",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"65-04-27-87",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"26-67-17-34",,,,"",,"",,,,,,,,,,,,
"12-55-61-25",38,38,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"70-21-00-12",,,,"",,"",,,,,,,,,,,,
"09-96-00-56",33,33,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"93-46-32-90",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"39-76-52-63",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"44-39-76-83",,,,"",,"",,,,,,,,,,,,
"57-92-68-31",35,35,"Direct individuals not in a market","","No","","Yes","No","No","No","Yes","No","No","Yes","No","No","No",
"70-75-80-97",,,,"",,"",,,,,,,,,,,,
"37-91-43-52",,,,"",,"",,,,,,,,,,,,
"93-94-95-33",,,,"",,"",,,,,,,,,,,,
"50-37-72-10",27,27,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"29-63-76-51",,,,"",,"",,,,,,,,,,,,
"71-36-35-44",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"20-65-14-78",,,,"",,"",,,,,,,,,,,,
"60-95-57-22",12,12,"Direct individuals not in a market","","Yes","MAIZE","No",,,,,,,,,,,
"17-61-49-75",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"02-95-98-52",,,,"",,"",,,,,,,,,,,,
"77-54-37-57",37,37,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"49-81-42-49",120,120,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"07-97-99-00",,,,"",,"",,,,,,,,,,,,
"61-38-38-57",32,32,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"80-45-81-35",,,,"",,"",,,,,,,,,,,,
"47-70-03-35",,,,"",,"",,,,,,,,,,,,
"73-01-72-24",50,50,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"70-18-85-80",1,31,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"59-96-51-48",20,23,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"47-24-68-80",31,31,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"98-95-69-34",12,12,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"94-61-58-26",12,12,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"84-70-48-38",,,,"",,"",,,,,,,,,,,,
"46-07-52-30",,,,"",,"",,,,,,,,,,,,
"65-50-88-07",30,30,"Market in this village","","No","","No",,,,,,,,,,,
"05-43-02-62",50,50,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","No","No","Yes","No","No","No",
"83-84-84-67",,,,"",,"",,,,,,,,,,,,
"16-35-19-29",,,,"",,"",,,,,,,,,,,,
"83-90-14-37",15,5,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"56-16-94-47",15,15,"Market in this village","","No","","No",,,,,,,,,,,
"16-24-71-47",,,,"",,"",,,,,,,,,,,,
"22-33-09-47",,,,"",,"",,,,,,,,,,,,
"89-17-95-50",65,65,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","No","No","Yes","No","No","No",
"71-12-87-82",,,,"",,"",,,,,,,,,,,,
"93-78-86-25",,,,"",,"",,,,,,,,,,,,
"34-03-26-96",10,10,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"83-62-75-30",140,140,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"39-30-68-16",,,,"",,"",,,,,,,,,,,,
"25-67-10-82",5,5,,"","No","","No",,,,,,,,,,,
"87-90-13-56",5,5,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"38-81-07-74",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"29-17-63-12",160,160,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"09-87-36-18",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"37-47-43-04",60,60,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"19-94-92-45",43,43,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"01-51-77-20",51,51,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"14-21-66-73",45,45,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"10-12-38-23",,,,"",,"",,,,,,,,,,,,
"06-71-23-79",25,25,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"09-86-92-43",54,54,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"65-52-71-81",43,43,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"88-09-14-40",65,65,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"51-32-55-02",20,20,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"25-85-18-57",40,18,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"08-01-73-79",60,60,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"30-31-42-54",.8,15,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"59-41-41-82",60,60,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"86-80-66-75",60,60,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"36-82-19-46",44,44,"Others ➡️ Specify","she doesn't sell","No","","No",,,,,,,,,,,
"87-16-84-48",42,42,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
